,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"225,248,000","162,648,000","131,310,000","83,402,000"
Current Assets,"96,334,000","75,101,000","60,197,000","45,781,000"
"Cash, Cash Equivalents & Short Term Investments","55,021,000","41,250,000","30,986,000","25,981,000"
Cash And Cash Equivalents,"36,092,000","31,750,000","20,522,000","19,334,000"
Other Short Term Investments,"18,929,000","9,500,000","10,464,000","6,647,000"
Receivables,"20,816,000","16,677,000","13,164,000","8,339,000"
Accounts receivable,"20,816,000","16,677,000","13,164,000","8,339,000"
Gross Accounts Receivable,"21,534,000","17,172,000","13,512,000","8,576,000"
Allowance For Doubtful Accounts Receivable,"-718,000","-495,000","-348,000","-237,000"
Inventory,"20,497,000","17,174,000","16,047,000","11,461,000"
Total non-current assets,"128,914,000","87,547,000","71,113,000","37,621,000"
Net PPE,"97,846,000","61,797,000","48,866,000","29,114,000"
Gross PPE,"144,821,000","95,770,000","68,573,000","42,441,000"
Properties,0,0,0,0
Land And Improvements,"39,223,000","31,741,000","23,718,000","13,998,000"
Machinery Furniture Equipment,"71,310,000","54,591,000","38,387,000","25,989,000"
Other Properties,"28,252,000","2,577,000","2,390,000","649,000"
Construction in Progress,"6,036,000","6,861,000","4,078,000","1,805,000"
Accumulated Depreciation,"-46,975,000","-33,973,000","-19,707,000","-13,327,000"
Goodwill And Other Intangible Assets,"18,803,000","18,658,000","16,721,000","4,638,000"
Goodwill,"14,754,000","14,548,000","13,350,000","3,784,000"
Other Intangible Assets,"4,049,000","4,110,000","3,371,000","854,000"
Other Non Current Assets,"12,265,000","7,092,000","5,526,000","3,869,000"
Total Liabilities Net Minority Interest,"163,188,000","119,099,000","103,601,000","64,117,000"
Current Liabilities,"87,812,000","68,391,000","57,883,000","43,816,000"
Payables And Accrued Expenses,"79,622,000","61,855,000","52,786,000","39,048,000"
Payables,"47,183,000","38,192,000","34,616,000","25,309,000"
Accounts Payable,"47,183,000","38,192,000","34,616,000","25,309,000"
Current Accrued Expenses,"32,439,000","23,663,000","18,170,000","13,739,000"
Current Deferred Liabilities,"8,190,000","6,536,000","5,097,000","4,768,000"
Current Deferred Revenue,"8,190,000","6,536,000","5,097,000","4,768,000"
Total Non Current Liabilities Net Minority Interest,"75,376,000","50,708,000","45,718,000","20,301,000"
Long Term Debt And Capital Lease Obligation,"63,205,000","39,787,000","37,926,000","15,213,000"
Long Term Debt,"23,414,000","23,495,000","24,743,000","7,694,000"
Long Term Capital Lease Obligation,"39,791,000","16,292,000","13,183,000","7,519,000"
Non Current Deferred Liabilities,-,"2,386,000","1,994,000","1,787,000"
Non Current Deferred Taxes Liabilities,-,"2,386,000","1,994,000","1,787,000"
Other Non Current Liabilities,"12,171,000","8,535,000","5,798,000","3,301,000"
Total Equity Gross Minority Interest,"62,060,000","43,549,000","27,709,000","19,285,000"
Stockholders' Equity,"62,060,000","43,549,000","27,709,000","19,285,000"
Capital Stock,"5,000","5,000","5,000","5,000"
Preferred Stock,0,0,0,0
Common Stock,"5,000","5,000","5,000","5,000"
Additional Paid in Capital,"33,658,000","26,791,000","21,389,000","17,186,000"
Retained Earnings,"31,220,000","19,625,000","8,636,000","4,916,000"
Treasury Stock,"1,837,000","1,837,000","1,837,000","1,837,000"
Gains Losses Not Affecting Retained Earnings,"-986,000","-1,035,000","-484,000","-985,000"
Total Capitalization,"85,474,000","67,044,000","52,452,000","26,979,000"
Common Stock Equity,"62,060,000","43,549,000","27,709,000","19,285,000"
Capital Lease Obligations,"39,791,000","16,292,000","13,183,000","7,519,000"
Net Tangible Assets,"43,257,000","24,891,000","10,988,000","14,647,000"
Working Capital,"8,522,000","6,710,000","2,314,000","1,965,000"
Invested Capital,"85,474,000","67,044,000","52,452,000","26,979,000"
Tangible Book Value,"43,257,000","24,891,000","10,988,000","14,647,000"
Total Debt,"63,205,000","39,787,000","37,926,000","15,213,000"
Net Debt,-,-,"4,221,000",-
Share Issued,"521,000","514,000","507,000","500,000"
Ordinary Shares Number,"498,000","491,000","484,000","477,000"
Treasury Shares Number,"23,000","23,000","23,000","23,000"
