,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"321,782,000","280,522,000","232,887,000","177,866,000","135,987,000"
Operating Revenue,"321,782,000","280,522,000","232,887,000","177,866,000","135,987,000"
Cost of Revenue,"239,893,000","205,768,000","173,183,000","137,183,000","105,884,000"
Gross Profit,"81,889,000","74,754,000","59,704,000","40,683,000","30,103,000"
Operating Expense,"65,020,000","60,213,000","47,283,000","36,577,000","25,917,000"
Selling General and Administrative,"25,887,000","24,081,000","18,150,000","13,743,000","9,665,000"
General & Administrative Expense,"5,791,000","5,203,000","4,336,000","3,674,000","2,432,000"
Other G and A,"5,791,000","5,203,000","4,336,000","3,674,000","2,432,000"
Selling & Marketing Expense,"20,096,000","18,878,000","13,814,000","10,069,000","7,233,000"
Research & Development,"38,653,000","35,931,000","28,837,000","22,620,000","16,085,000"
Other Operating Expenses,"480,000","201,000","296,000","214,000","167,000"
Operating Income,"16,869,000","14,541,000","12,421,000","4,106,000","4,186,000"
Net Non Operating Interest Income Expense,"-885,000","-768,000","-977,000","-646,000","-384,000"
Interest Income Non Operating,"771,000","832,000","440,000","202,000","100,000"
Interest Expense Non Operating,"1,656,000","1,600,000","1,417,000","848,000","484,000"
Other Income Expense,"305,000","203,000","-183,000","346,000","90,000"
Gain on Sale of Security,-,"203,000","-183,000","346,000","90,000"
Other Non Operating Income Expenses,"305,000","203,000","-183,000","346,000","90,000"
Pretax Income,"16,289,000","13,976,000","11,261,000","3,806,000","3,892,000"
Tax Provision,"3,009,000","2,374,000","1,197,000","769,000","1,425,000"
Earnings from Equity Interest Net of Tax,"-100,000","-14,000","9,000","-4,000","-96,000"
Net Income Common Stockholders,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Net Income,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Net Income Including Non-Controlling Interests,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Net Income Continuous Operations,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Diluted NI Available to Com Stockholders,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Basic EPS,-,0.0235,0.0207,0.0063,0.005
Diluted EPS,-,0.023,0.0201,0.0062,0.0049
Basic Average Shares,-,"494,000","487,000","480,000","474,000"
Diluted Average Shares,-,"504,000","500,000","493,000","484,000"
Total Operating Income as Reported,"16,869,000","14,541,000","12,421,000","4,106,000","4,186,000"
Total Expenses,"304,913,000","265,981,000","220,466,000","173,760,000","131,801,000"
Net Income from Continuing & Discontinued Operation,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Normalized Income,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Interest Income,"771,000","832,000","440,000","202,000","100,000"
Interest Expense,"1,656,000","1,600,000","1,417,000","848,000","484,000"
Net Interest Income,"-885,000","-768,000","-977,000","-646,000","-384,000"
EBIT,"17,945,000","15,576,000","12,678,000","4,654,000","4,376,000"
EBITDA,"40,788,000",-,-,-,-
Reconciled Cost of Revenue,"239,893,000","205,768,000","173,183,000","137,183,000","105,884,000"
Reconciled Depreciation,"22,843,000","21,789,000","15,341,000","11,478,000","8,116,000"
Net Income from Continuing Operation Net Minority Interest,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Total Unusual Items Excluding Goodwill,-,"203,000","-183,000","346,000","90,000"
Total Unusual Items,-,"203,000","-183,000","346,000","90,000"
Normalized EBITDA,"40,788,000","37,365,000","28,019,000","16,132,000","12,492,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
