,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"130,396,000","155,900,000","160,338,000","156,776,000","151,800,000"
Operating Revenue,"130,396,000","155,900,000","160,338,000","156,766,000","151,799,000"
Cost of Revenue,"115,548,000","134,693,000","136,269,000","131,332,000","126,584,000"
Gross Profit,"14,848,000","21,207,000","24,069,000","25,444,000","25,216,000"
Operating Expense,"19,883,000","20,633,000","20,866,000","20,631,000","21,100,000"
Selling General and Administrative,"9,990,000","11,161,000","11,403,000","11,527,000","12,196,000"
General & Administrative Expense,-,-,-,"11,527,000",-
Other G and A,-,-,-,"11,527,000",-
Other Operating Expenses,"9,893,000","9,472,000","9,463,000","9,104,000","8,904,000"
Operating Income,"-5,035,000","574,000","3,203,000","4,813,000","4,116,000"
Net Non Operating Interest Income Expense,"-544,000","-240,000","-528,000","-672,000","-600,000"
Interest Income Non Operating,"693,000","809,000","700,000","461,000","294,000"
Interest Expense Non Operating,"1,237,000","1,049,000","1,228,000","1,133,000","894,000"
Other Income Expense,"3,062,000","-974,000","1,670,000","4,007,000","3,280,000"
Gain on Sale of Security,"279,000","144,000","115,000","-22,000","-9,000"
Earnings from Equity Interest,"3,352,000","52,000","165,000","1,208,000","1,919,000"
Special Income Charges,"-3,000","-55,000",0,0,"156,000"
Other Special Charges,"3,000","55,000",-,-,"-156,000"
Other Non Operating Income Expenses,"-566,000","-1,115,000","1,390,000","2,821,000","1,214,000"
Pretax Income,"-2,517,000","-640,000","4,345,000","8,148,000","6,796,000"
Tax Provision,"-393,000","-724,000","650,000","520,000","2,189,000"
Net Income Common Stockholders,"-2,123,000","47,000","3,677,000","7,602,000","4,596,000"
Net Income,"-2,123,000","47,000","3,677,000","7,602,000","4,596,000"
Net Income Including Non-Controlling Interests,"-2,124,000","84,000","3,695,000","7,628,000","4,607,000"
Net Income Continuous Operations,"-2,124,000","84,000","3,695,000","7,628,000","4,607,000"
Minority Interests,"1,000","-37,000","-18,000","-26,000","-11,000"
Diluted NI Available to Com Stockholders,"-2,123,000","47,000","3,677,000","7,602,000","4,596,000"
Basic EPS,-,0,0,0.0019,0.0012
Diluted EPS,-,0,0,0.0019,0.0012
Basic Average Shares,-,"3,972,000","3,953,763","3,980,105","3,973,000"
Diluted Average Shares,-,"4,004,000","3,996,739","4,001,053","3,999,000"
Total Operating Income as Reported,"-5,035,000","574,000",-,-,-
Total Expenses,"135,431,000","155,326,000","157,135,000","151,963,000","147,684,000"
Net Income from Continuing & Discontinued Operation,"-2,123,000","47,000","3,677,000","7,602,000","4,596,000"
Normalized Income,"-2,355,906","-17,970","3,579,250","7,622,592","4,496,334"
Interest Income,"693,000","809,000","700,000","461,000","294,000"
Interest Expense,"1,237,000","1,049,000","1,228,000","1,133,000","894,000"
Net Interest Income,"-544,000","-240,000","-528,000","-672,000","-600,000"
EBIT,"-1,280,000","409,000","5,573,000","9,281,000","7,690,000"
EBITDA,"7,021,000",-,-,-,-
Reconciled Cost of Revenue,"115,548,000","134,693,000","136,269,000","131,332,000","126,584,000"
Reconciled Depreciation,"8,301,000","8,490,000","8,308,000","8,453,000","8,717,000"
Net Income from Continuing Operation Net Minority Interest,"-2,123,000","47,000","3,677,000","7,602,000","4,596,000"
Total Unusual Items Excluding Goodwill,"276,000","89,000","115,000","-22,000","147,000"
Total Unusual Items,"276,000","89,000","115,000","-22,000","147,000"
Normalized EBITDA,"6,745,000","8,810,000","13,766,000","17,756,000","16,260,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"43,094","24,030","17,250","-1,408","47,334"
