,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Operating Cash Flow,"28,709,000","25,255,000","27,753,000","28,337,000","31,530,000"
Cash Flow from Continuing Operating Activities,"28,709,000","25,255,000","27,753,000","28,337,000","31,530,000"
Net Income from Continuing Operations,"15,369,000","15,201,000","7,179,000","10,523,000","14,293,000"
Operating Gains Losses,-,"15,000","4,850,000","3,136,000",-
Gain Loss On Sale of Business,-,"15,000","4,850,000",-,-
Earnings Losses from Equity Investments,-,"-1,886,000","3,516,000",-,-
Depreciation Amortization Depletion,"11,064,000","10,987,000","10,678,000","10,529,000","10,080,000"
Depreciation & amortization,"11,064,000","10,987,000","10,678,000","10,529,000","10,080,000"
Deferred Tax,"280,000","320,000","-499,000","-304,000","761,000"
Deferred Income Tax,"280,000","320,000","-499,000","-304,000","761,000"
Unrealized Gain Loss On Investment Securities,"-1,886,000","-1,886,000","3,516,000",-,-
Other non-cash items,"819,000","945,000","1,734,000","1,210,000","206,000"
Change in working capital,"3,048,000","-327,000","295,000","3,243,000","6,190,000"
Change in Receivables,"108,000","154,000","-368,000","-1,074,000","-402,000"
Change in Inventory,"2,342,000","-300,000","-1,311,000","-140,000","1,021,000"
Change in Payables And Accrued Expense,"598,000","-181,000","1,974,000","4,457,000","5,571,000"
Change in Payable,"1,007,000","-367,000","1,791,000","3,529,000","4,434,000"
Change in Tax Payable,"610,000","-93,000","-40,000","-557,000","492,000"
Change in Income Tax Payable,"610,000","-93,000","-40,000","-557,000","492,000"
Change in Account Payable,"397,000","-274,000","1,831,000","4,086,000","3,942,000"
Change in Accrued Expense,"-409,000","186,000","183,000","928,000","1,137,000"
Investing Cash Flow,"-9,689,000","-9,128,000","-24,036,000","-9,060,000","-13,987,000"
Cash Flow from Continuing Investing Activities,"-9,689,000","-9,128,000","-24,036,000","-9,060,000","-13,987,000"
Net PPE Purchase And Sale,"-9,913,000","-10,384,000","-9,825,000","-9,673,000","-10,163,000"
Purchase of PPE,"-10,252,000","-10,705,000","-10,344,000","-10,051,000","-10,619,000"
Sale of PPE,"339,000","321,000","519,000","378,000","456,000"
Net Business Purchase And Sale,"-10,000","777,000","-13,780,000","671,000","-1,801,000"
Purchase of Business,"-10,000","-56,000","-14,656,000","-375,000","-2,463,000"
Sale of Business,0,"833,000","876,000","1,046,000","662,000"
Net Investment Purchase And Sale,-,-,0,0,"-1,901,000"
Purchase of Investment,-,-,0,0,"-1,901,000"
Net Other Investing Changes,"234,000","479,000","-431,000","-58,000","-122,000"
Financing Cash Flow,"-12,888,000","-14,299,000","-2,537,000","-19,875,000","-18,929,000"
Cash Flow from Continuing Financing Activities,"-12,888,000","-14,299,000","-2,537,000","-19,875,000","-18,929,000"
Net Issuance Payments of Debt,"-744,000","-1,071,000","12,035,000","-4,496,000","-3,591,000"
Net Long Term Debt Issuance,"-29,000","3,585,000","12,088,000","-8,644,000","-1,918,000"
Long Term Debt Issuance,"1,514,000","5,492,000","15,872,000","7,476,000","137,000"
Long Term Debt Payments,"-1,543,000","-1,907,000","-3,784,000","-16,120,000","-2,055,000"
Net Short Term Debt Issuance,"-715,000","-4,656,000","-53,000","4,148,000","-1,673,000"
Net Common Stock Issuance,"-4,305,000","-5,717,000","-7,410,000","-8,296,000","-8,298,000"
Common Stock Payments,"-4,305,000","-5,717,000","-7,410,000","-8,296,000","-8,298,000"
Cash Dividends Paid,"-6,057,000","-6,048,000","-6,102,000","-6,124,000","-6,216,000"
Common Stock Dividend Paid,"-6,057,000","-6,048,000","-6,102,000","-6,124,000","-6,216,000"
Net Other Financing Charges,"-1,782,000","-1,463,000","-1,060,000","-959,000","-824,000"
End Cash Position,"15,424,000","9,515,000","7,756,000","6,756,000","6,867,000"
Changes in Cash,"6,132,000","1,828,000","1,180,000","-598,000","-1,386,000"
Effect of Exchange Rate Changes,"-438,000","-69,000","-438,000","487,000","-452,000"
Beginning Cash Position,"9,292,000","7,756,000","7,014,000","6,867,000","8,705,000"
Income Tax Paid Supplemental Data,-,"3,616,000","3,982,000","6,179,000","4,507,000"
Interest Paid Supplemental Data,-,"2,464,000","2,348,000","2,450,000","2,351,000"
Capital Expenditure,"-10,252,000","-10,705,000","-10,344,000","-10,051,000","-10,619,000"
Issuance of Debt,"1,514,000","5,492,000","15,872,000","7,476,000","137,000"
Repayment of Debt,"-1,543,000","-1,907,000","-3,784,000","-16,120,000","-2,055,000"
Repurchase of Capital Stock,"-4,305,000","-5,717,000","-7,410,000","-8,296,000","-8,298,000"
Free Cash Flow,"18,457,000","14,550,000","17,409,000","18,286,000","20,911,000"
