,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"89,115,000","59,352,000","70,786,000","66,099,000"
Current Assets,"49,519,000","16,945,000","21,223,000","16,187,000"
"Cash, Cash Equivalents & Short Term Investments","39,924,000","8,061,000","9,789,000","6,423,000"
Cash And Cash Equivalents,"39,924,000","7,289,000","9,303,000","5,100,000"
Other Short Term Investments,0,"772,000","486,000","1,323,000"
Receivables,"5,428,000","5,384,000","5,088,000","4,758,000"
Accounts receivable,"5,428,000","5,384,000","5,088,000","4,758,000"
Gross Accounts Receivable,"5,474,000",-,-,-
Allowance For Doubtful Accounts Receivable,"-46,000",-,-,-
Inventory,"1,813,000","1,605,000","1,605,000","1,444,000"
Raw Materials,"386,000","270,000","173,000","141,000"
Work in Process,"942,000","862,000","822,000","1,080,000"
Finished Goods,"485,000","473,000","610,000","223,000"
Prepaid Assets,"2,354,000","1,895,000","4,741,000","3,562,000"
Total non-current assets,"39,596,000","42,407,000","49,563,000","49,912,000"
Net PPE,"2,962,000","2,883,000","2,803,000","2,604,000"
Gross PPE,"8,188,000","8,396,000","8,071,000","7,526,000"
Properties,0,0,0,0
Land And Improvements,"72,000","73,000","48,000","46,000"
Buildings And Improvements,"1,613,000","1,603,000","1,428,000","1,344,000"
Machinery Furniture Equipment,"6,012,000","6,362,000","5,991,000","5,726,000"
Construction in Progress,"491,000","358,000","604,000","410,000"
Accumulated Depreciation,"-5,226,000","-5,513,000","-5,268,000","-4,922,000"
Goodwill And Other Intangible Assets,"34,253,000","36,896,000","43,344,000","44,313,000"
Goodwill,"15,604,000","15,663,000","15,785,000","15,416,000"
Other Intangible Assets,"18,649,000","21,233,000","27,559,000","28,897,000"
Investments And Advances,"93,000","1,420,000","2,090,000","1,783,000"
Long Term Equity Investment,-,"734,000",-,-
Investments in Other Ventures Under Equity Method,-,"734,000",-,-
Investment in Financial Assets,-,"427,000",-,-
Available for Sale Securities,-,"295,000",-,-
Held To Maturity Securities,-,"132,000",-,-
Other Investments,-,"1,460,000",-,-
Other Non Current Assets,"2,288,000","1,208,000","1,326,000","1,212,000"
Total Liabilities Net Minority Interest,"97,287,000","67,798,000","65,689,000","61,463,000"
Current Liabilities,"15,585,000","17,239,000","16,641,000","9,781,000"
Payables And Accrued Expenses,"11,832,000","11,931,000","10,226,000","9,379,000"
Payables,"3,223,000","3,153,000","2,617,000","2,435,000"
Accounts Payable,"1,452,000","1,546,000","1,474,000","1,407,000"
Dividends Payable,"1,771,000","1,607,000","1,143,000","1,028,000"
Current Accrued Expenses,"8,609,000","8,778,000","7,609,000","6,944,000"
Current Debt And Capital Lease Obligation,"3,753,000","5,308,000","6,415,000","402,000"
Current Debt,"3,753,000","5,308,000","6,415,000","402,000"
Total Non Current Liabilities Net Minority Interest,"81,702,000","50,559,000","49,048,000","51,682,000"
Long Term Debt And Capital Lease Obligation,"62,975,000","35,002,000","30,953,000","36,440,000"
Long Term Debt,"62,975,000","35,002,000","30,953,000","36,440,000"
Non Current Deferred Liabilities,"1,130,000","1,067,000","2,490,000","6,890,000"
Non Current Deferred Taxes Liabilities,"1,130,000","1,067,000","2,490,000","6,890,000"
Tradeand Other Payables Non Current,"3,453,000","4,311,000","4,675,000",-
Employee Benefits,"2,949,000","1,840,000","2,740,000","2,085,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"2,949,000","1,840,000","2,740,000","2,085,000"
Other Non Current Liabilities,"11,195,000","8,339,000","8,190,000","6,267,000"
Total Equity Gross Minority Interest,"-8,172,000","-8,446,000","5,097,000","4,636,000"
Stockholders' Equity,"-8,172,000","-8,446,000","5,097,000","4,636,000"
Capital Stock,"18,000","18,000","18,000","18,000"
Common Stock,"18,000","18,000","18,000","18,000"
Additional Paid in Capital,"15,193,000","14,756,000","14,270,000","13,678,000"
Retained Earnings,"4,717,000","3,368,000","5,459,000","4,378,000"
Treasury Stock,"24,504,000","24,108,000","11,923,000","10,852,000"
Gains Losses Not Affecting Retained Earnings,"-3,596,000","-2,480,000","-2,727,000","-2,586,000"
Total Capitalization,"54,803,000","26,556,000","36,050,000","41,076,000"
Common Stock Equity,"-8,172,000","-8,446,000","5,097,000","4,636,000"
Net Tangible Assets,"-42,425,000","-45,342,000","-38,247,000","-39,677,000"
Working Capital,"33,934,000","-294,000","4,582,000","6,406,000"
Invested Capital,"58,556,000","31,864,000","42,465,000","41,478,000"
Tangible Book Value,"-42,425,000","-45,342,000","-38,247,000","-39,677,000"
Total Debt,"66,728,000","40,310,000","37,368,000","36,842,000"
Net Debt,"26,804,000","33,021,000","28,065,000","31,742,000"
Share Issued,"1,781,583","1,776,511","1,768,739","1,754,900"
Ordinary Shares Number,"1,478,911","1,478,824","1,592,131","1,592,513"
Treasury Shares Number,"302,671","297,686","176,608","162,388"
