,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"14,122,000","13,324,000","13,427,000","9,960,000","7,041,000"
Cash Flow from Continuing Operating Activities,"14,122,000","13,324,000","13,427,000","9,960,000","7,041,000"
Net Income from Continuing Operations,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Operating Gains Losses,-,"-330,000",-,-,"298,000"
Gain Loss On Sale of PPE,-,"-330,000",-,-,-
Net Foreign Currency Exchange Gain Loss,-,-,0,0,"298,000"
Depreciation Amortization Depletion,"2,073,000","2,017,000","1,765,000","1,501,000","1,189,000"
Depreciation & amortization,"2,073,000","2,017,000","1,765,000","1,501,000","1,189,000"
Depreciation,"461,000","464,000","471,000","425,000","425,000"
Amortization,"1,612,000","1,553,000","1,294,000","1,076,000","764,000"
Amortization of Intangibles,"1,612,000","1,553,000","1,294,000","1,076,000","764,000"
Asset Impairment Charge,-,"1,030,000","5,070,000","354,000",-
Stock based compensation,"460,000","430,000","421,000","365,000","353,000"
Other non-cash items,"3,406,000","3,624,000","1,610,000","2,422,000","937,000"
Change in working capital,"-953,000","-1,329,000","-1,126,000","9,000","-1,689,000"
Change in Receivables,"-783,000","-74,000","-591,000","-391,000","-71,000"
Changes in Account Receivables,"-783,000","-74,000","-591,000","-391,000","-71,000"
Change in Inventory,"-210,000","-231,000","-226,000","93,000","-38,000"
Change in Prepaid Assets,"190,000","97,000","-499,000","-118,000","-393,000"
Change in Payables And Accrued Expense,"-150,000","-1,121,000","190,000","425,000","-1,187,000"
Investing Cash Flow,"494,000","596,000","-1,006,000","-274,000","-6,074,000"
Cash Flow from Continuing Investing Activities,"494,000","596,000","-1,006,000","-274,000","-6,074,000"
Net PPE Purchase And Sale,"-570,000","-552,000","-638,000","-529,000","-479,000"
Purchase of PPE,"-570,000","-552,000","-638,000","-529,000","-479,000"
Net Business Purchase And Sale,"-827,000","-1,135,000","-736,000","-308,000","-2,757,000"
Purchase of Business,"-827,000","-1,135,000","-736,000","-308,000","-2,757,000"
Net Investment Purchase And Sale,"1,729,000","2,116,000","368,000","563,000","-2,956,000"
Purchase of Investment,"-402,000","-583,000","-1,792,000","-2,230,000","-5,315,000"
Sale of Investment,"2,131,000","2,699,000","2,160,000","2,793,000","2,359,000"
Net Other Investing Changes,-,"167,000",-,-,"118,000"
Financing Cash Flow,"21,669,000","18,708,000","-14,396,000","-5,512,000","-3,928,000"
Cash Flow from Continuing Financing Activities,"21,669,000","18,708,000","-14,396,000","-5,512,000","-3,928,000"
Net Issuance Payments of Debt,"-266,000","26,247,000","3,229,000","-3,000","5,588,000"
Net Long Term Debt Issuance,"29,187,000","29,946,000","-72,000","-25,000","5,617,000"
Long Term Debt Issuance,"34,482,000","31,482,000","5,963,000",0,"11,627,000"
Long Term Debt Payments,"-5,295,000","-1,536,000","-6,035,000","-25,000","-6,010,000"
Net Short Term Debt Issuance,"-306,000","-3,699,000","3,301,000","22,000","-29,000"
Short Term Debt Issuance,-,-,"3,301,000",-,-
Short Term Debt Payments,"-306,000","-3,699,000",-,-,-
Net Common Stock Issuance,"-652,000","-629,000","-12,014,000","-1,410,000","-6,033,000"
Common Stock Payments,"-652,000","-629,000","-12,014,000","-1,410,000","-6,033,000"
Cash Dividends Paid,"-6,541,000","-6,366,000","-5,580,000","-4,107,000","-3,717,000"
Common Stock Dividend Paid,"-6,541,000","-6,366,000","-5,580,000","-4,107,000","-3,717,000"
Proceeds from Stock Option Exercised,"16,000","8,000","73,000","254,000","268,000"
Net Other Financing Charges,"-601,000","-552,000","-104,000","-246,000","-34,000"
End Cash Position,"41,182,000","39,924,000","7,289,000","9,303,000","5,100,000"
Changes in Cash,"36,285,000","32,628,000","-1,975,000","4,174,000","-2,961,000"
Effect of Exchange Rate Changes,"-40,000","7,000","-39,000","29,000","-338,000"
Beginning Cash Position,"4,897,000","7,289,000","9,303,000","5,100,000","8,399,000"
Income Tax Paid Supplemental Data,-,"1,447,000",-,"1,696,000","3,563,000"
Interest Paid Supplemental Data,-,"1,794,000","1,215,000","1,099,000","986,000"
Capital Expenditure,"-570,000","-552,000","-638,000","-529,000","-479,000"
Issuance of Debt,"34,482,000","31,482,000","9,264,000",0,"11,627,000"
Repayment of Debt,"-5,601,000","-5,235,000","-6,035,000","-25,000","-6,010,000"
Repurchase of Capital Stock,"-652,000","-629,000","-12,014,000","-1,410,000","-6,033,000"
Free Cash Flow,"13,552,000","12,772,000","12,789,000","9,431,000","6,562,000"
