,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"34,057,000","33,266,000","32,753,000","28,216,000","25,638,000"
Operating Revenue,"34,057,000","33,266,000","32,753,000","28,216,000","25,638,000"
Cost of Revenue,"7,687,000","7,439,000","7,718,000","7,040,000","5,833,000"
Gross Profit,"26,370,000","25,827,000","25,035,000","21,176,000","19,805,000"
Operating Expense,"12,564,000","12,844,000","18,652,000","11,584,000","10,421,000"
Selling General and Administrative,"6,957,000","6,942,000","7,399,000","6,275,000","5,855,000"
Research & Development,"6,497,000","6,792,000","10,753,000","5,309,000","4,566,000"
Other Operating Expenses,-,"-890,000","500,000",-,-
Operating Income,"13,806,000","12,983,000","6,383,000","9,592,000","9,384,000"
Net Non Operating Interest Income Expense,"-1,612,000","-1,509,000","-1,144,000","-1,004,000","-965,000"
Interest Income Non Operating,"348,000","275,000","204,000","146,000","82,000"
Interest Expense Non Operating,"1,960,000","1,784,000","1,348,000","1,150,000","1,047,000"
Total Other Finance Cost,-,"1,509,000","1,144,000","1,004,000","965,000"
Other Income Expense,"-3,214,000","-3,048,000","-42,000","-861,000","-535,000"
Gain on Sale of Security,"-41,000","-42,000","-24,000","-348,000","-303,000"
Special Income Charges,"-230,000","-385,000","-424,000","-327,000","-200,000"
Other Special Charges,"992,000","385,000","424,000","327,000","200,000"
Other Non Operating Income Expenses,"-2,943,000","-3,006,000","-18,000","-513,000","-232,000"
Pretax Income,"8,980,000","8,426,000","5,197,000","7,727,000","7,884,000"
Tax Provision,"544,000","544,000","-490,000","2,418,000","1,931,000"
Net Income Common Stockholders,"8,394,000","7,842,000","5,657,000","5,283,000","5,923,000"
Net Income,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Net Income Including Non-Controlling Interests,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Net Income Continuous Operations,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Otherunder Preferred Stock Dividend,"42,000","40,000","30,000","26,000","30,000"
Diluted NI Available to Com Stockholders,"8,394,000","7,842,000","5,657,000","5,283,000","5,923,000"
Basic EPS,-,0.0053,0.0038,0.0033,0.0037
Diluted EPS,-,0.0053,0.0037,0.0033,0.0036
Basic Average Shares,-,"1,478,911","1,478,824","1,592,131","1,592,513"
Diluted Average Shares,-,"1,484,000","1,546,000","1,603,000","1,631,000"
Total Operating Income as Reported,"13,576,000","12,983,000","6,383,000","9,592,000","9,384,000"
Total Expenses,"20,251,000","20,283,000","26,370,000","18,624,000","16,254,000"
Net Income from Continuing & Discontinued Operation,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Normalized Income,"8,690,583","7,921,270","5,704,520","5,549,120","6,183,280"
Interest Income,"348,000","275,000","204,000","146,000","82,000"
Interest Expense,"1,960,000","1,784,000","1,348,000","1,150,000","1,047,000"
Net Interest Income,"-1,612,000","-1,509,000","-1,144,000","-1,004,000","-965,000"
EBIT,"10,940,000","10,210,000","6,545,000","8,877,000","8,931,000"
EBITDA,"13,013,000",-,-,-,-
Reconciled Cost of Revenue,"7,687,000","7,439,000","7,718,000","7,040,000","5,833,000"
Reconciled Depreciation,"2,073,000","2,017,000","1,765,000","1,501,000","1,189,000"
Net Income from Continuing Operation Net Minority Interest,"8,436,000","7,882,000","5,687,000","5,309,000","5,953,000"
Total Unusual Items Excluding Goodwill,"-271,000","-42,000","-24,000","-348,000","-303,000"
Total Unusual Items,"-271,000","-42,000","-24,000","-348,000","-303,000"
Normalized EBITDA,"13,284,000","12,269,000","8,334,000","10,726,000","10,423,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-16,417","-2,730","-6,480","-107,880","-72,720"
