,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"67,887,000","67,173,000","76,250,000","52,666,000"
Current Assets,"15,667,000","14,632,000","20,147,000","26,776,000"
"Cash, Cash Equivalents & Short Term Investments","4,140,000","4,086,000","9,610,000","18,775,000"
Cash And Cash Equivalents,"3,860,000","3,844,000","9,407,000","18,620,000"
Other Short Term Investments,"280,000","242,000","203,000","155,000"
Receivables,"5,425,000","5,182,000","5,249,000","3,248,000"
Accounts receivable,"5,425,000","5,182,000","5,249,000","3,248,000"
Gross Accounts Receivable,"5,809,000","5,496,000","5,543,000","3,498,000"
Allowance For Doubtful Accounts Receivable,"-384,000","-314,000","-294,000","-250,000"
Inventory,"4,316,000","3,796,000","3,601,000","2,434,000"
Raw Materials,"972,000","890,000","790,000","516,000"
Work in Process,"560,000","499,000","472,000","294,000"
Finished Goods,"2,784,000","2,407,000","2,339,000","1,624,000"
Prepaid Assets,"1,786,000","1,559,000","1,667,000","1,806,000"
Assets Held for Sale Current,-,"9,000","20,000","513,000"
Total non-current assets,"52,220,000","52,541,000","56,103,000","25,890,000"
Net PPE,"8,038,000","7,563,000","7,607,000","5,705,000"
Gross PPE,"16,799,000","15,706,000","15,265,000","12,366,000"
Properties,0,0,0,0
Land And Improvements,"519,000","501,000","526,000","408,000"
Buildings And Improvements,"3,702,000","3,555,000","3,613,000","2,602,000"
Machinery Furniture Equipment,"11,468,000","10,756,000","10,394,000","8,394,000"
Construction in Progress,"1,110,000","894,000","732,000","962,000"
Accumulated Depreciation,"-8,761,000","-8,143,000","-7,658,000","-6,661,000"
Goodwill And Other Intangible Assets,"40,220,000","42,196,000","45,493,000","12,222,000"
Goodwill,"23,195,000","23,254,000","24,020,000","7,683,000"
Other Intangible Assets,"17,025,000","18,942,000","21,473,000","4,539,000"
Investments And Advances,"883,000","897,000","883,000","2,947,000"
Non Current Deferred Assets,"3,079,000","1,868,000","1,944,000","2,263,000"
Non Current Deferred Taxes Assets,"3,079,000","1,868,000","1,944,000","2,263,000"
Other Non Current Assets,-,"17,000","176,000","2,753,000"
Total Liabilities Net Minority Interest,"36,586,000","36,451,000","45,152,000","31,949,000"
Current Liabilities,"10,863,000","9,012,000","8,912,000","6,660,000"
Payables And Accrued Expenses,"9,385,000","8,805,000","8,198,000","5,090,000"
Payables,"4,325,000","4,009,000","3,324,000","1,867,000"
Accounts Payable,"3,252,000","2,975,000","2,402,000","1,178,000"
Total Tax Payable,"226,000","305,000","309,000","188,000"
Income Tax Payable,"226,000","305,000","309,000","188,000"
Dividends Payable,"635,000","563,000","489,000","391,000"
Other Payable,"212,000","166,000","124,000","110,000"
Current Accrued Expenses,"5,060,000","4,796,000","4,874,000","3,223,000"
Current Debt And Capital Lease Obligation,"1,478,000","207,000","714,000","1,325,000"
Current Debt,"1,478,000","207,000","714,000","1,325,000"
Other Current Liabilities,-,-,-,"245,000"
Total Non Current Liabilities Net Minority Interest,"25,723,000","27,439,000","36,240,000","25,289,000"
Long Term Debt And Capital Lease Obligation,"17,416,000","19,359,000","27,210,000","20,681,000"
Long Term Debt,"16,661,000","19,359,000","27,210,000","20,681,000"
Long Term Capital Lease Obligation,"755,000",-,-,-
Non Current Deferred Liabilities,"1,546,000","2,056,000","2,006,000","356,000"
Non Current Deferred Taxes Liabilities,"1,546,000","2,056,000","2,006,000","356,000"
Employee Benefits,"2,817,000","2,040,000","2,169,000","2,154,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"2,817,000","2,040,000","2,169,000","2,154,000"
Liabilities Held for Sale Non Current,-,-,0,"59,000"
Other Non Current Liabilities,"3,944,000","3,984,000","4,855,000","2,039,000"
Total Equity Gross Minority Interest,"31,301,000","30,722,000","31,098,000","20,717,000"
Stockholders' Equity,"31,088,000","30,524,000","30,897,000","20,538,000"
Capital Stock,"23,853,000","23,512,000","23,206,000","13,027,000"
Preferred Stock,0,0,0,0
Common Stock,"23,853,000","23,512,000","23,206,000","13,027,000"
Additional Paid in Capital,-,"23,512,000","23,206,000","13,027,000"
Retained Earnings,"25,847,000","24,560,000","23,978,000","25,565,000"
Treasury Stock,"10,147,000","9,962,000","10,225,000","10,791,000"
Gains Losses Not Affecting Retained Earnings,"-8,465,000","-7,586,000","-6,062,000","-7,263,000"
Minority Interest,"213,000","198,000","201,000","179,000"
Total Capitalization,"47,749,000","49,883,000","58,107,000","41,219,000"
Common Stock Equity,"31,088,000","30,524,000","30,897,000","20,538,000"
Capital Lease Obligations,"755,000",-,-,-
Net Tangible Assets,"-9,132,000","-11,672,000","-14,596,000","8,316,000"
Working Capital,"4,804,000","5,620,000","11,235,000","20,116,000"
Invested Capital,"49,227,000","50,090,000","58,821,000","42,544,000"
Tangible Book Value,"-9,132,000","-11,672,000","-14,596,000","8,316,000"
Total Debt,"18,894,000","19,566,000","27,924,000","22,006,000"
Net Debt,"14,279,000","15,722,000","18,517,000","3,386,000"
Share Issued,"1,976,855","1,971,189","1,965,908","1,707,475"
Ordinary Shares Number,"1,762,503","1,755,619","1,743,602","1,472,869"
Treasury Shares Number,"214,352","215,570","222,306","234,606"
