,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"6,401,000","6,136,000","6,300,000","5,570,000","3,203,000"
Cash Flow from Continuing Operating Activities,"6,401,000","6,136,000","6,300,000","5,570,000","3,203,000"
Net Income from Continuing Operations,"3,110,000","3,687,000","2,368,000","477,000","1,375,000"
Operating Gains Losses,-,"247,000","293,000","-1,161,000","1,513,000"
Gain Loss On Sale of Business,-,0,0,"-1,208,000",0
Net Foreign Currency Exchange Gain Loss,-,-,0,0,"480,000"
Gain Loss On Investment Securities,-,"184,000","126,000","47,000","86,000"
Earnings Losses from Equity Investments,-,-,0,0,"947,000"
Depreciation Amortization Depletion,"3,163,000","3,014,000","3,278,000","3,021,000","1,353,000"
Depreciation & amortization,"3,163,000","3,014,000","3,278,000","3,021,000","1,353,000"
Depreciation,"1,082,000","1,078,000","1,100,000","1,046,000","803,000"
Amortization,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Amortization of Intangibles,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Stock based compensation,"527,000","519,000","477,000","406,000","310,000"
Other non-cash items,-,-,"32,000","912,000","165,000"
Change in working capital,"-1,316,000","-1,331,000","-148,000","1,915,000","-1,513,000"
Change in Receivables,"187,000","-275,000","-190,000","-207,000","-177,000"
Changes in Account Receivables,"187,000","-275,000","-190,000","-207,000","-177,000"
Change in Inventory,"-1,040,000","-593,000","-514,000","249,000","-98,000"
Change in Prepaid Assets,-,"-138,000","23,000","109,000","113,000"
Change in Payables And Accrued Expense,-,"-325,000","533,000","1,764,000","-1,351,000"
Change in Payable,-,"-325,000","533,000","1,764,000","-1,351,000"
Change in Tax Payable,-,"-545,000","-214,000","1,149,000","-699,000"
Change in Income Tax Payable,-,"-545,000","-214,000","1,149,000","-699,000"
Change in Account Payable,-,"220,000","747,000","615,000","-652,000"
Investing Cash Flow,"-1,933,000","-1,815,000","-1,356,000","-9,618,000","-248,000"
Cash Flow from Continuing Investing Activities,"-1,933,000","-1,815,000","-1,356,000","-9,618,000","-248,000"
Net PPE Purchase And Sale,"-1,837,000","-1,638,000","-1,394,000","-1,135,000","-1,121,000"
Purchase of PPE,"-1,837,000","-1,638,000","-1,394,000","-1,135,000","-1,121,000"
Net Business Purchase And Sale,"6,000","-122,000","48,000","-8,437,000","-55,000"
Purchase of Business,"-42,000","-170,000",0,"-17,183,000","-80,000"
Sale of Business,"48,000","48,000","48,000","8,746,000","25,000"
Net Investment Purchase And Sale,"-116,000","-82,000","-58,000","-81,000","886,000"
Purchase of Investment,-,"-103,000","-131,000","-210,000","-2,823,000"
Sale of Investment,-,"21,000","73,000","129,000","3,709,000"
Net Other Investing Changes,"14,000","27,000","48,000","35,000","42,000"
Financing Cash Flow,"-2,775,000","-4,289,000","-10,391,000","-5,281,000","11,147,000"
Cash Flow from Continuing Financing Activities,"-2,775,000","-4,289,000","-10,391,000","-5,281,000","11,147,000"
Net Issuance Payments of Debt,"190,000","-1,599,000","-8,450,000","-2,942,000","13,155,000"
Net Long Term Debt Issuance,"199,000","-1,599,000","-8,424,000","-1,908,000","14,922,000"
Long Term Debt Issuance,"3,121,000","1,842,000","4,009,000","6,742,000","14,934,000"
Long Term Debt Payments,"-2,922,000","-3,441,000","-12,433,000","-8,650,000","-12,000"
Net Short Term Debt Issuance,"-9,000",0,"-26,000","-1,034,000","-1,767,000"
Net Common Stock Issuance,"-737,000","-718,000","-238,000","-117,000","-522,000"
Common Stock Payments,"-737,000","-718,000","-238,000","-117,000","-522,000"
Net Preferred Stock Issuance,-,0,0,"-710,000",-
Preferred Stock Payments,-,0,0,"-710,000",-
Cash Dividends Paid,"-2,417,000","-2,270,000","-1,974,000","-1,849,000","-1,539,000"
Common Stock Dividend Paid,"-2,417,000","-2,270,000","-1,974,000","-1,849,000","-1,539,000"
Proceeds from Stock Option Exercised,"200,000","298,000","271,000","350,000","248,000"
Net Other Financing Charges,-,-,-,"-13,000","-195,000"
End Cash Position,"4,830,000","3,860,000","3,844,000","9,407,000","18,620,000"
Changes in Cash,"1,693,000","32,000","-5,447,000","-9,329,000","14,102,000"
Effect of Exchange Rate Changes,"-67,000","-16,000","-116,000","116,000","-483,000"
Beginning Cash Position,"3,137,000","3,844,000","9,407,000","18,620,000","5,001,000"
Income Tax Paid Supplemental Data,-,"930,000","740,000","570,000","620,000"
Interest Paid Supplemental Data,-,"677,000","845,000","917,000","181,000"
Capital Expenditure,"-1,837,000","-1,638,000","-1,394,000","-1,135,000","-1,121,000"
Issuance of Debt,"3,121,000","1,842,000","4,009,000","6,742,000","14,934,000"
Repayment of Debt,"-2,922,000","-3,441,000","-12,433,000","-8,650,000","-12,000"
Repurchase of Capital Stock,"-737,000","-718,000","-238,000","-827,000","-522,000"
Free Cash Flow,"4,564,000","4,498,000","4,906,000","4,435,000","2,082,000"
