,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"31,444,000","31,904,000","30,578,000","27,390,000","20,853,000"
Operating Revenue,"31,387,000","31,847,000","28,583,000","27,390,000","20,853,000"
Cost of Revenue,"13,336,000","13,231,000","12,706,000","12,337,000","9,024,000"
Gross Profit,"18,108,000","18,673,000","17,872,000","15,053,000","11,829,000"
Operating Expense,"14,091,000","14,141,000","14,222,000","13,327,000","8,644,000"
Selling General and Administrative,"9,677,000","9,765,000","9,744,000","9,117,000","6,672,000"
Research & Development,"2,333,000","2,440,000","2,300,000","2,235,000","1,422,000"
Depreciation Amortization Depletion,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Depreciation & amortization,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Amortization,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Amortization of Intangibles,"2,081,000","1,936,000","2,178,000","1,975,000","550,000"
Operating Income,"4,017,000","4,532,000","3,650,000","1,726,000","3,185,000"
Net Non Operating Interest Income Expense,"-528,000","-576,000","-721,000","-780,000","-332,000"
Interest Income Non Operating,"76,000","94,000","105,000","124,000","99,000"
Interest Expense Non Operating,"604,000","670,000","826,000","904,000","431,000"
Total Other Finance Cost,-,"576,000","721,000","780,000","332,000"
Other Income Expense,"13,000","121,000","-56,000","1,285,000","-1,440,000"
Gain on Sale of Security,"-9,000","-7,000","-28,000","34,000","-495,000"
Special Income Charges,-,"-63,000","-167,000",-,0
Other Special Charges,-,"63,000","167,000",-,-
Other Non Operating Income Expenses,"85,000","191,000","139,000","1,251,000","-945,000"
Pretax Income,"3,502,000","4,077,000","2,873,000","2,231,000","1,413,000"
Tax Provision,"412,000","390,000","539,000","1,878,000","350,000"
Net Income Common Stockholders,"3,110,000","3,687,000","2,368,000","477,000","1,400,000"
Net Income,"3,110,000","3,687,000","2,368,000","477,000","1,400,000"
Net Income Including Non-Controlling Interests,"3,110,000","3,687,000","2,368,000","477,000","1,400,000"
Net Income Continuous Operations,"3,090,000","3,687,000","2,334,000","353,000","1,063,000"
Net Income Discontinuous Operations,"20,000",0,"34,000","124,000","337,000"
Diluted NI Available to Com Stockholders,"3,110,000","3,687,000","2,368,000","477,000","1,400,000"
Basic EPS,-,0.0021,0.0013,0,0
Diluted EPS,-,0.0021,0.0013,0,0
Basic Average Shares,-,"1,762,503","1,755,619","1,743,602","1,472,869"
Diluted Average Shares,-,"1,781,000","1,770,000","1,749,000","1,483,000"
Total Operating Income as Reported,"4,017,000","4,532,000","3,650,000","1,726,000","3,185,000"
Total Expenses,"27,427,000","27,372,000","26,928,000","25,664,000","17,668,000"
Net Income from Continuing & Discontinued Operation,"3,110,000","3,687,000","2,368,000","477,000","1,400,000"
Normalized Income,"3,097,941","3,750,280","2,492,340","332,600","1,435,240"
Interest Income,"76,000","94,000","105,000","124,000","99,000"
Interest Expense,"604,000","670,000","826,000","904,000","431,000"
Net Interest Income,"-528,000","-576,000","-721,000","-780,000","-332,000"
EBIT,"4,106,000","4,747,000","3,699,000","3,135,000","1,844,000"
EBITDA,"7,269,000",-,-,-,-
Reconciled Cost of Revenue,"12,254,000","12,153,000","11,606,000","11,291,000","8,221,000"
Reconciled Depreciation,"3,163,000","3,014,000","3,278,000","3,021,000","1,353,000"
Net Income from Continuing Operation Net Minority Interest,"3,090,000","3,687,000","2,334,000","353,000","1,063,000"
Total Unusual Items Excluding Goodwill,"-9,000","-70,000","-195,000","34,000","-495,000"
Total Unusual Items,"-9,000","-70,000","-195,000","34,000","-495,000"
Normalized EBITDA,"7,278,000","7,831,000","7,172,000","6,122,000","3,692,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,059","-6,720","-36,660","13,600","-122,760"
