,ttm,8/31/2019,8/31/2018,8/31/2017
Total Revenue,"44,547,418","43,215,013","41,603,428","36,765,478"
Operating Revenue,"44,547,418","43,215,013","39,573,450","34,850,182"
Cost of Revenue,"30,577,184","29,900,325","29,160,515","25,734,986"
Gross Profit,"13,970,234","13,314,688","12,442,913","11,030,492"
Operating Expense,"7,429,800","7,009,614","6,601,872","6,397,883"
Selling General and Administrative,"7,429,800","7,009,614","6,601,872","6,397,883"
General & Administrative Expense,"2,784,580","2,562,158","2,403,315","2,643,570"
Salaries and Wages,-,-,0,"509,793"
Other G and A,"2,784,580","2,562,158","2,403,315","2,133,777"
Selling & Marketing Expense,"4,645,220","4,447,456","4,198,557","3,754,313"
Operating Income,"6,540,434","6,305,074","5,841,041","4,632,609"
Net Non Operating Interest Income Expense,"62,377","64,545","36,798","22,395"
Interest Income Non Operating,"88,870","87,508","56,337","37,940"
Interest Expense Non Operating,"26,493","22,963","19,539","15,545"
Other Income Expense,"-51,083","-117,822","-69,746","-38,972"
Special Income Charges,-,0,0,-252
Gain on Sale of Business,-,0,0,-252
Other Non Operating Income Expenses,"-51,083","-117,822","-69,746","-38,720"
Pretax Income,"6,551,728","6,251,797","5,808,093","4,616,032"
Tax Provision,"1,526,291","1,405,556","1,593,499","981,100"
Net Income Common Stockholders,"4,950,337","4,779,112","4,059,907","3,445,149"
Net Income,"4,950,337","4,779,112","4,059,907","3,445,149"
Net Income Including Non-Controlling Interests,"5,025,437","4,846,241","4,214,594","3,634,932"
Net Income Continuous Operations,"5,025,437","4,846,241","4,214,594","3,634,932"
Minority Interests,"-75,100","-67,129","-154,687","-189,783"
Average Dilution Earnings,"6,272","6,694","95,063","149,131"
Diluted NI Available to Com Stockholders,"4,956,609","4,785,806","4,154,970","3,594,280"
Basic EPS,-,0.0075,0.0065,0.0056
Diluted EPS,-,0.0074,0.0063,0.0054
Basic Average Shares,-,"638,098","628,452","620,104"
Diluted Average Shares,-,"650,205","655,296","660,463"
Total Operating Income as Reported,"6,540,434","6,305,074","5,841,041","4,632,609"
Total Expenses,"38,006,984","36,909,939","35,762,387","32,132,869"
Net Income from Continuing & Discontinued Operation,"4,950,337","4,779,112","4,059,907","3,445,149"
Normalized Income,"4,950,337","4,779,112","4,059,907","3,445,347"
Interest Income,"88,870","87,508","56,337","37,940"
Interest Expense,"26,493","22,963","19,539","15,545"
Net Interest Income,"62,377","64,545","36,798","22,395"
EBIT,"6,578,221","6,274,760","5,827,632","4,631,577"
EBITDA,"8,104,623",-,-,-
Reconciled Cost of Revenue,"30,577,184","29,900,325","29,160,515","25,734,986"
Reconciled Depreciation,"1,526,402","892,760","926,776","801,789"
Net Income from Continuing Operation Net Minority Interest,"4,678,209","4,779,112","4,059,907","3,445,149"
Total Unusual Items Excluding Goodwill,-,0,0,-252
Total Unusual Items,-,0,0,-252
Normalized EBITDA,"8,104,623","7,167,520","6,754,408","5,433,618"
Tax Rate for Calcs,0,0,0,0
Tax Effect of Unusual Items,0,0,0,-53.676
