,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"119,950,000","112,249,000","112,422,000","108,610,000"
Total Investments,"88,362,000","81,260,000","82,803,000","81,799,000"
Fixed Maturity Investments,"59,044,000","57,170,000","58,992,000","57,839,000"
Equity Investments,"8,162,000","5,036,000","6,621,000","5,666,000"
Net Loan,"4,817,000","4,670,000","4,534,000","4,486,000"
Mortgage & Consumer Loans,"4,817,000","4,670,000","4,534,000","4,486,000"
Long Term Equity Investment,"8,078,000","7,505,000","6,740,000","5,814,000"
Investments in Other Ventures Under Equity Method,"8,078,000","7,505,000","6,740,000","5,814,000"
Other Short Term Investments,"4,256,000","3,027,000","1,944,000","4,288,000"
Other Invested Assets,"4,005,000","3,852,000","3,972,000","3,706,000"
Cash And Cash Equivalents,"338,000","499,000","617,000","436,000"
Receivables,"15,683,000","15,719,000","14,707,000","14,342,000"
Accounts receivable,"15,683,000","15,719,000","14,707,000","14,342,000"
Accrued Investment Income,"600,000","600,000","569,000","567,000"
Deferred Policy Acquisition Costs,"4,699,000","4,784,000","4,191,000","3,954,000"
Net PPE,"1,145,000","1,045,000","1,072,000","1,065,000"
Goodwill And Other Intangible Assets,"3,026,000","3,243,000","2,181,000","1,219,000"
Goodwill,"2,545,000","2,530,000","2,181,000","1,219,000"
Other Intangible Assets,"481,000","713,000",-,-
Separate Account Assets,"3,044,000","2,805,000","3,444,000","3,393,000"
Other Assets,"3,053,000","2,294,000","2,838,000","1,835,000"
Total Liabilities Net Minority Interest,"93,952,000","90,937,000","89,871,000","88,037,000"
Policy Holders Liabilities,"67,064,000","66,364,000","66,185,000","65,027,000"
Unearned Premiums,"15,343,000","14,510,000","13,473,000","12,583,000"
Future Policy Benefits,"34,029,000","33,483,000","33,278,000","32,184,000"
Policyholder Funds,"17,692,000","18,371,000","19,434,000","20,260,000"
Payables And Accrued Expenses,"6,912,000","7,155,000","6,471,000","6,184,000"
Payables,"6,912,000","7,155,000","6,471,000","6,184,000"
Accounts Payable,"6,912,000","7,155,000","6,471,000","6,184,000"
Current Accrued Expenses,"9,147,000","7,737,000","6,639,000","6,599,000"
Long Term Debt And Capital Lease Obligation,"6,631,000","6,451,000","6,350,000","6,347,000"
Long Term Debt,"6,631,000","6,451,000","6,350,000","6,347,000"
Non Current Deferred Liabilities,"1,154,000","425,000","782,000","487,000"
Non Current Deferred Taxes Liabilities,"1,154,000","425,000","782,000","487,000"
Separate Account Business,"3,044,000","2,805,000","3,444,000","3,393,000"
Other Liabilities,"9,147,000","7,737,000","6,639,000","6,599,000"
Total Equity Gross Minority Interest,"25,998,000","21,312,000","22,551,000","20,573,000"
Stockholders' Equity,"25,998,000","21,312,000","22,551,000","20,573,000"
Capital Stock,"2,257,000","1,939,000","1,755,000","1,755,000"
Preferred Stock,"2,248,000","1,930,000","1,746,000","1,746,000"
Common Stock,"9,000","9,000","9,000","9,000"
Additional Paid in Capital,"3,463,000","3,310,000","3,313,000","3,303,000"
Retained Earnings,"48,074,000","45,708,000","43,162,000","40,678,000"
Treasury Stock,"29,746,000","28,085,000","25,982,000","24,741,000"
Gains Losses Not Affecting Retained Earnings,"1,950,000","-1,557,000","306,000","-416,000"
Unrealized Gain Loss,"70,000","75,000","85,000","57,000"
Minimum Pension Liabilities,"122,000","-1,491,000","-1,347,000","-1,419,000"
Foreign Currency Translation Adjustments,"-59,000","-64,000","-9,000","-50,000"
Other Equity Adjustments,"1,817,000","-77,000","1,577,000","996,000"
Other Equity Interest,-,"-3,000","-3,000","-6,000"
Total Capitalization,"32,629,000","27,763,000","28,901,000","26,920,000"
Preferred Stock Equity,"2,248,000","1,930,000","1,746,000","1,746,000"
Common Stock Equity,"23,750,000","19,382,000","20,805,000","18,827,000"
Net Tangible Assets,"22,972,000","18,069,000","20,370,000","19,354,000"
Invested Capital,"30,381,000","25,833,000","27,155,000","25,174,000"
Tangible Book Value,"20,724,000","16,139,000","18,624,000","17,608,000"
Total Debt,"6,631,000","6,451,000","6,350,000","6,347,000"
Net Debt,"6,293,000","5,952,000","5,733,000","5,911,000"
Share Issued,"900,000","900,000","900,000","900,000"
Ordinary Shares Number,"319,000","332,000","355,000","366,000"
Preferred Shares Number,81,56.8,72.2,72.2
Treasury Shares Number,"581,000","568,000","545,000","534,000"
