,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"5,129,000","5,129,000","5,175,000","4,314,000","3,993,000"
Cash Flow from Continuing Operating Activities,"5,129,000","5,129,000","5,175,000","4,314,000","3,993,000"
Net Income from Continuing Operations,"4,847,000","4,847,000","2,252,000","3,189,000","1,877,000"
Operating Gains Losses,"-1,777,000","-1,777,000","871,000","-465,000","85,000"
Gain Loss On Sale of Business,"-6,000","-6,000","-6,000","-20,000","-5,000"
Gain Loss On Investment Securities,"-1,885,000","-1,885,000","877,000","-445,000","90,000"
Pension And Employee Benefit Expense,"114,000","114,000","468,000",-,-
Depreciation & amortization,"647,000","647,000","511,000","483,000","382,000"
Asset Impairment Charge,"106,000","106,000",0,"125,000",-
Interest Credited On Policyholder Deposits,"654,000","640,000","654,000","690,000","726,000"
Change in working capital,"666,000","666,000","887,000","292,000","923,000"
Change in Receivables,"21,000","21,000","-1,052,000","-342,000","-306,000"
Changes in Account Receivables,"21,000","21,000","-1,052,000","-342,000","-306,000"
Change in Loss And Loss Adjustment Expense Reserves,"-508,000","-508,000","469,000","302,000","631,000"
Change in Unearned Premiums,"801,000","801,000","915,000","463,000","362,000"
Change in Deferred Acquisition Costs,"-85,000","-85,000","-296,000","-214,000","-165,000"
Change in Other Working Capital,"437,000","437,000","851,000","83,000","401,000"
Investing Cash Flow,"-2,807,000","-2,807,000","-1,719,000","-1,210,000","-2,526,000"
Cash Flow from Continuing Investing Activities,"-2,807,000","-2,807,000","-1,719,000","-1,210,000","-2,526,000"
Net Investment Purchase And Sale,"-1,631,000","-1,631,000","166,000","806,000","-1,499,000"
Purchase of Investment,"-39,884,000","-39,884,000","-44,363,000","-36,149,000","-37,322,000"
Sale of Investment,"38,253,000","38,253,000","44,529,000","36,955,000","35,823,000"
Net Proceeds Payment for Loan,"-149,000","-149,000","-135,000","-46,000","-145,000"
Proceeds from Loans,"695,000","695,000","529,000","600,000","501,000"
Payment for Loans,"-844,000","-844,000","-664,000","-646,000","-646,000"
Net PPE Purchase And Sale,"-433,000","-433,000","-277,000","-299,000","-313,000"
Purchase of PPE,"-433,000","-433,000","-277,000","-299,000","-313,000"
Net Business Purchase And Sale,"-594,000","-594,000","-1,473,000","-1,671,000","-569,000"
Purchase of Business,"-1,332,000","-1,332,000","-1,679,000","-1,440,000","-1,450,000"
Sale of Business,"756,000","756,000","764,000","1,125,000","881,000"
Financing Cash Flow,"-3,372,000","-2,483,000","-3,574,000","-2,923,000","-1,526,000"
Cash Flow from Continuing Financing Activities,"-3,372,000","-2,483,000","-3,574,000","-2,923,000","-1,526,000"
Net Issuance Payments of Debt,"174,000","174,000","98,000",0,"1,219,000"
Net Long Term Debt Issuance,"174,000","174,000","98,000",-,"1,219,000"
Long Term Debt Issuance,"491,000","491,000","498,000",0,"1,236,000"
Long Term Debt Payments,"-317,000","-317,000","-400,000",0,"-17,000"
Net Common Stock Issuance,"-1,735,000","-1,735,000","-2,303,000","-1,495,000","-1,337,000"
Common Stock Payments,"-1,735,000","-1,735,000","-2,303,000","-1,495,000","-1,337,000"
Net Preferred Stock Issuance,"282,000","282,000","172,000",-,0
Preferred Stock Issuance,"1,414,000","1,414,000","557,000",-,0
Preferred Stock Payments,"-1,132,000","-1,132,000","-385,000",-,-
Cash Dividends Paid,"-787,000","-787,000","-748,000","-641,000","-602,000"
Common Stock Dividend Paid,"-653,000","-653,000","-614,000","-525,000","-486,000"
Preferred Stock Dividend Paid,"-134,000","-134,000","-134,000","-116,000","-116,000"
Proceeds from Stock Option Exercised,"120,000","120,000","73,000","135,000","164,000"
Net Other Financing Charges,"-537,000","-537,000","-866,000","-922,000","-970,000"
End Cash Position,"338,000","338,000","499,000","617,000","436,000"
Changes in Cash,"-161,000","-161,000","-118,000","181,000","-59,000"
Beginning Cash Position,"499,000","499,000","617,000","436,000","495,000"
Capital Expenditure,"-433,000","-433,000","-277,000","-299,000","-313,000"
Issuance of Capital Stock,"1,414,000","1,414,000","557,000",-,0
Issuance of Debt,"491,000","491,000","498,000",0,"1,236,000"
Repayment of Debt,"-317,000","-317,000","-400,000",0,"-17,000"
Repurchase of Capital Stock,"-2,867,000","-2,867,000","-2,688,000","-1,495,000","-1,337,000"
Free Cash Flow,"4,696,000","4,696,000","4,898,000","4,015,000","3,680,000"
