,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"6,028,000","4,556,000","3,540,000","3,321,000"
Current Assets,"4,597,000","3,540,000","2,622,000","2,530,000"
"Cash, Cash Equivalents & Short Term Investments","1,503,000","1,156,000","1,185,000","1,264,000"
Cash And Cash Equivalents,"1,466,000","1,078,000","1,185,000","1,264,000"
Cash,"1,465,000","315,000","108,000","67,000"
Cash Equivalents,"1,000","763,000","1,077,000","1,197,000"
Other Short Term Investments,"37,000","78,000",-,-
Receivables,"1,859,000","1,235,000","400,000","311,000"
Accounts receivable,"1,859,000","1,235,000","400,000","311,000"
Inventory,"982,000","845,000","739,000","751,000"
Raw Materials,"94,000","134,000","34,000","11,000"
Work in Process,"691,000","354,000","468,000","564,000"
Finished Goods,"197,000","357,000","237,000","176,000"
Prepaid Assets,"253,000","109,000","110,000","95,000"
Assets Held for Sale Current,-,-,-,0
Other Current Assets,-,"195,000","188,000","109,000"
Total non-current assets,"1,431,000","1,016,000","918,000","791,000"
Net PPE,"705,000","348,000","261,000","164,000"
Gross PPE,"1,473,000","1,055,000","1,001,000","881,000"
Properties,0,0,0,0
Machinery Furniture Equipment,"951,000","798,000","758,000","714,000"
Other Properties,"205,000",-,-,-
Construction in Progress,"114,000","78,000","56,000","19,000"
Leases,"203,000","179,000","187,000","148,000"
Accumulated Depreciation,"-768,000","-707,000","-740,000","-717,000"
Goodwill And Other Intangible Assets,"499,000","515,000","528,000","521,000"
Goodwill,"289,000","289,000","289,000","289,000"
Other Intangible Assets,"210,000","226,000","239,000","232,000"
Investments And Advances,"58,000","58,000","58,000","59,000"
Long Term Equity Investment,"58,000","58,000","58,000","59,000"
Other Non Current Assets,"169,000","95,000","71,000","47,000"
Total Liabilities Net Minority Interest,"3,201,000","3,290,000","2,929,000","2,905,000"
Current Liabilities,"2,359,000","1,984,000","1,486,000","1,346,000"
Payables And Accrued Expenses,"2,000,000","1,588,000","1,131,000","1,098,000"
Payables,"1,201,000","1,089,000","837,000","847,000"
Accounts Payable,"988,000","528,000","384,000","440,000"
Due to Related Parties Current,"213,000","533,000","412,000","383,000"
Other Payable,-,"28,000","41,000","24,000"
Current Accrued Expenses,"799,000","499,000","294,000","251,000"
Pension & Other Post Retirement Benefit Plans Current,"285,000","236,000","206,000","116,000"
Current Debt And Capital Lease Obligation,"43,000","136,000","70,000",-
Current Debt,-,"136,000","70,000",-
Current Capital Lease Obligation,"43,000",-,-,-
Current Deferred Liabilities,"2,000",-,"22,000","63,000"
Current Deferred Revenue,"2,000",-,"22,000","63,000"
Other Current Liabilities,"29,000","24,000","57,000","69,000"
Total Non Current Liabilities Net Minority Interest,"842,000","1,306,000","1,443,000","1,559,000"
Long Term Debt And Capital Lease Obligation,"685,000","1,114,000","1,325,000","1,435,000"
Long Term Debt,"486,000","1,114,000","1,325,000","1,435,000"
Long Term Capital Lease Obligation,"199,000",-,-,-
Other Non Current Liabilities,"157,000","192,000","118,000","124,000"
Total Equity Gross Minority Interest,"2,827,000","1,266,000","611,000","416,000"
Stockholders' Equity,"2,827,000","1,266,000","611,000","416,000"
Capital Stock,"12,000","10,000","9,000","9,000"
Common Stock,"12,000","10,000","9,000","9,000"
Additional Paid in Capital,"9,963,000","8,750,000","8,464,000","8,334,000"
Retained Earnings,"-7,095,000","-7,436,000","-7,760,000","-7,803,000"
Treasury Stock,"53,000","50,000","108,000","119,000"
Gains Losses Not Affecting Retained Earnings,0,"-8,000","6,000","-5,000"
Total Capitalization,"3,313,000","2,380,000","1,936,000","1,851,000"
Common Stock Equity,"2,827,000","1,266,000","611,000","416,000"
Capital Lease Obligations,"242,000",-,-,-
Net Tangible Assets,"2,328,000","751,000","83,000","-105,000"
Working Capital,"2,238,000","1,556,000","1,136,000","1,184,000"
Invested Capital,"3,313,000","2,516,000","2,006,000","1,851,000"
Tangible Book Value,"2,328,000","751,000","83,000","-105,000"
Total Debt,"728,000","1,250,000","1,395,000","1,435,000"
Net Debt,-,"172,000","210,000","171,000"
Share Issued,"1,175,000","1,010,000","979,000","949,000"
Ordinary Shares Number,"1,170,000","1,005,000","967,000","935,000"
Treasury Shares Number,"5,000","5,000","12,000","14,000"
