,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,211,000","12,890,000","12,924,000","12,075,000","11,735,000"
Total Premiums Earned,"636,000","1,214,000","1,426,000","1,394,000","1,491,000"
Net Investment Income,"1,365,000","1,471,000","1,586,000","1,463,000","1,570,000"
Net Realized Gain Loss on Investments,"-34,000","-8,000","10,000","46,000","6,000"
Fee Revenue & Other Income,"10,244,000","10,213,000","9,902,000","9,172,000","8,668,000"
Fees And Commissions,"8,916,000","8,934,000","8,653,000","8,162,000","7,573,000"
Other Income Expense,"1,328,000","1,279,000","1,249,000","1,010,000","1,095,000"
Total Expenses,"9,211,000","10,658,000","10,440,000","9,861,000","10,143,000"
Loss Adjustment Expense,"1,042,000","2,576,000","2,302,000","2,233,000","2,646,000"
Net Policyholder Benefits And Claims,"1,042,000","2,576,000","2,302,000","2,233,000","2,646,000"
Policyholder Benefits Gross,"1,042,000","2,576,000","2,302,000","2,233,000","2,646,000"
Policyholder Interest,"632,000","669,000","674,000","656,000","623,000"
Policy Acquisition Expense,"369,000","179,000","322,000","267,000","415,000"
Selling General and Administrative,"7,085,000","7,097,000","6,808,000","6,450,000","6,179,000"
General & Administrative Expense,"3,188,000","3,287,000","3,171,000","3,051,000","2,977,000"
Other G and A,"3,188,000","3,287,000","3,171,000","3,051,000","2,977,000"
Selling & Marketing Expense,"3,897,000","3,810,000","3,637,000","3,399,000","3,202,000"
Net Non Operating Interest Income Expense,"-296,000","-350,000","-334,000","-255,000","-280,000"
Interest Expense Non Operating,"296,000","350,000","334,000","255,000","280,000"
Special Income Charges,-,"213,000",-,-,-
Other Special Charges,-,"-213,000",-,-,-
Pretax Income,"3,000,000","2,232,000","2,484,000","2,214,000","1,592,000"
Tax Provision,"497,000","339,000","386,000","734,000","278,000"
Net Income Common Stockholders,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Net Income,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Net Income Including Non-Controlling Interests,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Net Income Continuous Operations,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Net Income Discontinuous Operations,-,-,-,-,0
Minority Interests,-,-,-,0,0
Diluted NI Available to Com Stockholders,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Basic EPS,-,0.0141,0.0144,0.0096,0.0079
Diluted EPS,-,0.0139,0.0142,0.0094,0.0078
Basic Average Shares,-,"134,100","145,600","154,100","166,300"
Diluted Average Shares,-,"136,000","147,700","156,700","168,200"
Net Income from Continuing & Discontinued Operation,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Normalized Income,"2,503,000","1,712,376","2,098,000","1,480,000","1,314,000"
EBIT,"3,296,000","2,582,000","2,818,000","2,469,000","1,872,000"
Reconciled Depreciation,"188,000","183,000","198,000","234,000","248,000"
Net Income from Continuing Operation Net Minority Interest,"2,503,000","1,893,000","2,098,000","1,480,000","1,314,000"
Total Unusual Items Excluding Goodwill,-,"213,000",-,-,-
Total Unusual Items,-,"213,000",-,-,-
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"32,376",0,0,0
Interest Expense,"296,000","350,000","334,000","255,000","280,000"
