,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"51,220,000","38,514,000","30,723,000","18,434,000","16,443,000"
Cash Flow from Continuing Operating Activities,"51,220,000","38,514,000","30,723,000","18,434,000","16,443,000"
Net Income from Continuing Operations,"13,180,000","11,588,000","10,073,000","3,033,000","2,371,000"
Depreciation Amortization Depletion,"22,843,000","21,789,000","15,341,000","11,478,000","8,116,000"
Depreciation & amortization,"22,843,000","21,789,000","15,341,000","11,478,000","8,116,000"
Deferred Tax,"1,063,000","796,000","441,000","-29,000","-246,000"
Deferred Income Tax,"1,063,000","796,000","441,000","-29,000","-246,000"
Stock based compensation,"7,977,000","6,864,000","5,418,000","4,215,000","2,975,000"
Excess Tax Benefit from Stock Based Compensation,-,-,-,-,"-829,000"
Other non-cash items,"134,000","-85,000","493,000","-90,000","140,000"
Change in working capital,"6,023,000","-2,438,000","-1,043,000","-173,000","3,916,000"
Change in Receivables,"-6,679,000","-7,681,000","-4,615,000","-4,786,000","-3,367,000"
Changes in Account Receivables,"-6,679,000","-7,681,000","-4,615,000","-4,786,000","-3,367,000"
Change in Inventory,"-1,177,000","-3,278,000","-1,314,000","-3,583,000","-1,426,000"
Change in Payables And Accrued Expense,"12,592,000","6,810,000","3,735,000","7,458,000","6,754,000"
Change in Payable,"11,482,000","8,193,000","3,263,000","7,175,000","5,030,000"
Change in Account Payable,"11,482,000","8,193,000","3,263,000","7,175,000","5,030,000"
Change in Accrued Expense,"1,110,000","-1,383,000","472,000","283,000","1,724,000"
Change in Other Working Capital,"1,287,000","1,711,000","1,151,000","738,000","1,955,000"
Investing Cash Flow,"-35,307,000","-24,281,000","-12,369,000","-27,819,000","-9,876,000"
Cash Flow from Continuing Investing Activities,"-35,307,000","-24,281,000","-12,369,000","-27,819,000","-9,876,000"
Net PPE Purchase And Sale,"-19,367,000","-12,689,000","-11,323,000","-10,058,000","-6,737,000"
Purchase of PPE,"-24,263,000","-16,861,000","-13,427,000","-11,955,000","-6,737,000"
Sale of PPE,"4,896,000","4,172,000","2,104,000","1,897,000",-
Net Business Purchase And Sale,"-1,386,000","-2,461,000","-2,186,000","-13,972,000","-116,000"
Purchase of Business,"-1,386,000","-2,461,000","-2,186,000","-13,972,000","-116,000"
Net Investment Purchase And Sale,"-14,554,000","-9,131,000","1,140,000","-3,789,000","-3,023,000"
Purchase of Investment,"-49,195,000","-31,812,000","-7,100,000","-13,777,000","-7,756,000"
Sale of Investment,"34,641,000","22,681,000","8,240,000","9,988,000","4,733,000"
Financing Cash Flow,"-714,000","-10,066,000","-7,686,000","9,860,000","-2,911,000"
Cash Flow from Continuing Financing Activities,"-714,000","-10,066,000","-7,686,000","9,860,000","-2,911,000"
Net Issuance Payments of Debt,"-714,000","-10,066,000","-7,686,000","9,860,000","-3,740,000"
Net Long Term Debt Issuance,"-1,283,000","-10,066,000","-7,686,000","9,860,000","-3,740,000"
Long Term Debt Issuance,"12,101,000","2,273,000","768,000","16,231,000","621,000"
Long Term Debt Payments,"-13,384,000","-12,339,000","-8,454,000","-6,371,000","-4,361,000"
Net Other Financing Charges,-,-,-,-,"829,000"
End Cash Position,"38,164,000","36,410,000","32,173,000","20,522,000","19,334,000"
Changes in Cash,"15,199,000","4,167,000","10,668,000","475,000","3,656,000"
Effect of Exchange Rate Changes,"-322,000","70,000","-351,000","713,000","-212,000"
Beginning Cash Position,"22,965,000","32,173,000","21,856,000","19,334,000","15,890,000"
Income Tax Paid Supplemental Data,"1,221,000","881,000","1,184,000","957,000","412,000"
Interest Paid Supplemental Data,"1,610,000","1,561,000","1,429,000","647,000","496,000"
Capital Expenditure,"-24,263,000","-16,861,000","-13,427,000","-11,955,000","-6,737,000"
Issuance of Debt,"14,844,000","2,273,000","768,000","16,231,000","621,000"
Repayment of Debt,"-15,558,000","-12,339,000","-8,454,000","-6,371,000","-4,361,000"
Free Cash Flow,"26,957,000","21,653,000","17,296,000","6,479,000","9,706,000"
