,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"29,405,000","26,422,000","26,088,000","26,615,000"
Current Assets,"16,476,000","14,372,000","13,677,000","13,146,000"
"Cash, Cash Equivalents & Short Term Investments","12,762,000","10,994,000","10,910,000","10,206,000"
Cash And Cash Equivalents,"790,000","656,000","756,000","431,000"
Other Short Term Investments,"11,972,000","10,338,000","10,154,000","9,775,000"
Receivables,"3,204,000","2,885,000","2,620,000","2,689,000"
Accounts receivable,"3,112,000","2,760,000","2,478,000","2,589,000"
Taxes Receivable,"88,000","113,000","114,000","100,000"
Due from Related Parties Current,"4,000","12,000","28,000",-
Prepaid Assets,"97,000","97,000","126,000","125,000"
Current Deferred Assets,"335,000","329,000",-,"87,000"
Assets Held for Sale Current,-,-,0,-
Other Current Assets,"78,000","67,000","21,000","39,000"
Total non-current assets,"12,929,000","12,050,000","12,411,000","13,469,000"
Net PPE,"1,650,000","588,000","564,000","765,000"
Gross PPE,"2,809,000","1,733,000","1,733,000","2,325,000"
Properties,0,0,0,0
Machinery Furniture Equipment,"1,202,000","1,200,000","1,215,000","1,665,000"
Other Properties,"1,066,000","45,000","90,000","115,000"
Construction in Progress,"183,000","154,000","79,000","93,000"
Leases,"358,000","334,000","349,000","452,000"
Accumulated Depreciation,"-1,159,000","-1,145,000","-1,169,000","-1,560,000"
Goodwill And Other Intangible Assets,"8,948,000","9,320,000","10,091,000","10,970,000"
Goodwill,"8,165,000","8,171,000","8,358,000","8,747,000"
Other Intangible Assets,"783,000","1,149,000","1,733,000","2,223,000"
Investments And Advances,"53,000","54,000","57,000","119,000"
Non Current Accounts Receivable,"102,000","100,000","84,000","82,000"
Non Current Deferred Assets,"816,000","717,000","389,000","505,000"
Non Current Deferred Taxes Assets,"645,000","561,000","389,000","322,000"
Non Current Prepaid Assets,"1,216,000","1,133,000","1,060,000","858,000"
Defined Pension Benefit,"1,216,000","1,133,000","1,060,000","858,000"
Other Non Current Assets,"144,000","138,000","166,000","170,000"
Total Liabilities Net Minority Interest,"25,956,000","22,203,000","21,440,000","21,083,000"
Current Liabilities,"15,571,000","13,296,000","12,755,000","12,495,000"
Payables And Accrued Expenses,"2,032,000","2,026,000","2,100,000","1,879,000"
Payables,"2,032,000","2,026,000","2,100,000","1,879,000"
Accounts Payable,"1,939,000","1,943,000","1,961,000","1,801,000"
Total Tax Payable,"93,000","83,000","139,000","78,000"
Current Debt And Capital Lease Obligation,"922,000","251,000","299,000","336,000"
Current Debt,"712,000","251,000","299,000","336,000"
Other Current Borrowings,"712,000","251,000","299,000","336,000"
Current Capital Lease Obligation,"210,000",-,-,-
Current Deferred Liabilities,"270,000","251,000","311,000","393,000"
Current Deferred Revenue,"270,000","251,000","311,000","393,000"
Other Current Liabilities,"12,347,000","10,768,000","10,045,000","9,887,000"
Total Non Current Liabilities Net Minority Interest,"10,385,000","8,907,000","8,685,000","8,588,000"
Long Term Debt And Capital Lease Obligation,"7,647,000","6,162,000","5,820,000","6,038,000"
Long Term Debt,"6,627,000","5,993,000","5,667,000","5,869,000"
Long Term Capital Lease Obligation,"1,020,000","169,000","153,000","169,000"
Non Current Deferred Liabilities,"261,000","246,000","176,000","241,000"
Non Current Deferred Taxes Liabilities,"199,000","181,000","127,000","101,000"
Non Current Deferred Revenue,"62,000","65,000","49,000","140,000"
Tradeand Other Payables Non Current,"525,000","585,000","529,000","288,000"
Employee Benefits,"1,787,000","1,692,000","1,856,000","1,830,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"1,738,000","1,636,000","1,789,000","1,774,000"
Liabilities Held for Sale Non Current,-,-,0,-
Other Non Current Liabilities,"165,000","222,000","304,000","191,000"
Total Equity Gross Minority Interest,"3,449,000","4,219,000","4,648,000","5,532,000"
Stockholders' Equity,"3,375,000","4,151,000","4,583,000","5,475,000"
Capital Stock,"2,000","2,000","2,000","3,000"
Common Stock,"2,000","2,000","2,000","3,000"
Additional Paid in Capital,"6,152,000","5,965,000","5,775,000","5,577,000"
Retained Earnings,"1,254,000","2,093,000","2,302,000","3,807,000"
Gains Losses Not Affecting Retained Earnings,"-4,033,000","-3,909,000","-3,496,000","-3,912,000"
Minority Interest,"74,000","68,000","65,000","57,000"
Total Capitalization,"10,002,000","10,144,000","10,250,000","11,344,000"
Common Stock Equity,"3,375,000","4,151,000","4,583,000","5,475,000"
Capital Lease Obligations,"1,230,000","169,000","153,000","169,000"
Net Tangible Assets,"-5,573,000","-5,169,000","-5,508,000","-5,495,000"
Working Capital,"905,000","1,076,000","922,000","651,000"
Invested Capital,"10,714,000","10,395,000","10,549,000","11,680,000"
Tangible Book Value,"-5,573,000","-5,169,000","-5,508,000","-5,495,000"
Total Debt,"8,569,000","6,413,000","6,119,000","6,374,000"
Net Debt,"6,549,000","5,588,000","5,210,000","5,774,000"
Share Issued,"232,100","240,100","247,600","262,000"
Ordinary Shares Number,"232,100","240,100","247,600","262,000"
