,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"19,845,000","17,835,000","18,668,000","17,452,000"
Current Assets,"7,292,000","6,106,000","6,520,000","4,830,000"
"Cash, Cash Equivalents & Short Term Investments","5,794,000","4,225,000","4,713,000","3,245,000"
Cash And Cash Equivalents,"5,794,000","4,225,000","4,713,000","3,245,000"
Cash,"437,000","268,000","269,000","286,000"
Cash Equivalents,"5,357,000","3,957,000","4,444,000","2,959,000"
Receivables,"848,000","1,035,000","918,000","732,000"
Accounts receivable,"848,000","1,035,000","918,000","732,000"
Gross Accounts Receivable,"980,000","1,225,000","1,197,000","993,000"
Allowance For Doubtful Accounts Receivable,"-132,000","-190,000","-279,000","-261,000"
Inventory,"32,000","43,000","46,000","49,000"
Raw Materials,-,"3,000","1,000","9,000"
Finished Goods,-,"40,000","45,000","40,000"
Other Current Assets,"618,000","803,000","843,000","804,000"
Total non-current assets,"12,553,000","11,729,000","12,148,000","12,622,000"
Net PPE,"253,000","282,000","294,000","258,000"
Gross PPE,"1,002,000","1,052,000","979,000","805,000"
Properties,0,0,0,0
Land And Improvements,"1,000","1,000","1,000","1,000"
Buildings And Improvements,"4,000","4,000","4,000","4,000"
Machinery Furniture Equipment,"745,000","799,000","750,000","638,000"
Leases,"252,000","248,000","224,000","162,000"
Accumulated Depreciation,"-749,000","-770,000","-685,000","-547,000"
Goodwill And Other Intangible Assets,"10,349,000","10,562,000","10,955,000","11,680,000"
Goodwill,"9,764,000","9,762,000","9,763,000","9,768,000"
Other Intangible Assets,"585,000","800,000","1,192,000","1,912,000"
Non Current Deferred Assets,"1,293,000","403,000","459,000","283,000"
Non Current Deferred Taxes Assets,"1,293,000","403,000","459,000","283,000"
Other Non Current Assets,"658,000","482,000","440,000","401,000"
Total Liabilities Net Minority Interest,"7,040,000","6,478,000","9,206,000","8,333,000"
Current Liabilities,"2,915,000","2,642,000","3,663,000","2,656,000"
Payables And Accrued Expenses,"1,540,000","1,149,000","1,734,000","1,028,000"
Payables,"292,000","253,000","323,000","222,000"
Accounts Payable,"292,000","253,000","323,000","222,000"
Current Accrued Expenses,"1,248,000","896,000","1,411,000","806,000"
Current Deferred Liabilities,"1,375,000","1,493,000","1,929,000","1,628,000"
Current Deferred Revenue,"1,375,000","1,493,000","1,929,000","1,628,000"
Total Non Current Liabilities Net Minority Interest,"4,125,000","3,836,000","5,543,000","5,677,000"
Long Term Debt And Capital Lease Obligation,"2,675,000","2,671,000","4,390,000","4,887,000"
Long Term Debt,"2,675,000","2,671,000","4,390,000","4,887,000"
Non Current Deferred Liabilities,"505,000","18,000","21,000","44,000"
Non Current Deferred Taxes Liabilities,"505,000","18,000","21,000","44,000"
Other Non Current Liabilities,"945,000","1,147,000","1,132,000","746,000"
Total Equity Gross Minority Interest,"12,805,000","11,357,000","9,462,000","9,119,000"
Stockholders' Equity,"12,805,000","11,357,000","9,462,000","9,119,000"
Capital Stock,0,0,0,0
Common Stock,0,0,0,0
Additional Paid in Capital,"11,174,000","10,963,000","10,747,000","10,442,000"
Retained Earnings,"7,813,000","6,558,000","4,916,000","4,869,000"
Treasury Stock,"5,563,000","5,563,000","5,563,000","5,563,000"
Gains Losses Not Affecting Retained Earnings,"-619,000","-601,000","-638,000","-629,000"
Total Capitalization,"15,480,000","14,028,000","13,852,000","14,006,000"
Common Stock Equity,"12,805,000","11,357,000","9,462,000","9,119,000"
Net Tangible Assets,"2,456,000","795,000","-1,493,000","-2,561,000"
Working Capital,"4,377,000","3,464,000","2,857,000","2,174,000"
Invested Capital,"15,480,000","14,028,000","13,852,000","14,006,000"
Tangible Book Value,"2,456,000","795,000","-1,493,000","-2,561,000"
Total Debt,"2,675,000","2,671,000","4,390,000","4,887,000"
Net Debt,-,-,-,"1,642,000"
Share Issued,"1,197,437","1,192,094","1,186,182","1,174,163"
Ordinary Shares Number,"768,760","763,418","757,505","745,487"
Treasury Shares Number,"428,676","428,676","428,676","428,676"
