,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"1,529,000","1,831,000","1,790,000","2,213,000","2,155,000"
Cash Flow from Continuing Operating Activities,"1,529,000","1,831,000","1,790,000","2,213,000","2,155,000"
Net Income from Continuing Operations,"1,561,000","1,503,000","1,813,000","273,000","966,000"
Operating Gains Losses,-,-,"40,000",-,"63,000"
Depreciation Amortization Depletion,"501,000","553,000","998,000","1,199,000","1,150,000"
Depreciation & amortization,"501,000","553,000","998,000","1,199,000","1,150,000"
Depreciation,"303,000","328,000","509,000","888,000","829,000"
Amortization,"198,000","225,000","489,000","311,000","321,000"
Amortization of Intangibles,"198,000","225,000","489,000","311,000","321,000"
Deferred Tax,"-427,000","-352,000","20,000","-181,000","-9,000"
Deferred Income Tax,"-427,000","-352,000","20,000","-181,000","-9,000"
Provision & Write Off of Assets,-,"6,000","6,000","33,000","42,000"
Unrealized Gain Loss On Investment Securities,0,"-38,000",-,-,-
Stock based compensation,"146,000","166,000","209,000","176,000","147,000"
Other non-cash items,"84,000","115,000","7,000","52,000","54,000"
Change in working capital,"-304,000","-122,000","-1,303,000","661,000","-258,000"
Change in Receivables,"-7,000","182,000","-114,000","-165,000","84,000"
Changes in Account Receivables,"-7,000","182,000","-114,000","-165,000","84,000"
Change in Inventory,-,"7,000","-5,000","-26,000","32,000"
Change in Payables And Accrued Expense,"-275,000","-46,000","-639,000","1,030,000","33,000"
Change in Payable,"-10,000","31,000","-65,000","85,000","-50,000"
Change in Account Payable,"-10,000","31,000","-65,000","85,000","-50,000"
Change in Accrued Expense,"-265,000","-77,000","-574,000","945,000","83,000"
Change in Other Current Assets,"-123,000","-111,000","-423,000","-398,000","-372,000"
Change in Other Working Capital,"94,000","-154,000","-122,000","220,000","-35,000"
Investing Cash Flow,"-45,000","-22,000","-230,000","-197,000","-1,177,000"
Cash Flow from Continuing Investing Activities,"-45,000","-22,000","-230,000","-197,000","-1,177,000"
Capital Expenditure Reported,"-117,000","-116,000","-131,000","-155,000","-136,000"
Net Business Purchase And Sale,-,-,0,0,"-4,588,000"
Purchase of Business,-,-,0,0,"-4,588,000"
Net Investment Purchase And Sale,"66,000","88,000","-93,000","-55,000",0
Purchase of Investment,"-74,000","-65,000","-209,000","-135,000",0
Sale of Investment,"140,000","153,000","116,000","80,000",0
Net Other Investing Changes,-,"6,000","-6,000","13,000","3,547,000"
Financing Cash Flow,"-254,000","-237,000","-2,020,000","-624,000","500,000"
Cash Flow from Continuing Financing Activities,"-254,000","-237,000","-2,020,000","-624,000","500,000"
Net Issuance Payments of Debt,-,0,"-1,740,000","-510,000","774,000"
Net Long Term Debt Issuance,-,0,"-1,740,000","-510,000","774,000"
Long Term Debt Issuance,-,0,0,"3,741,000","6,878,000"
Long Term Debt Payments,-,0,"-1,740,000","-4,251,000","-6,104,000"
Net Common Stock Issuance,"101,000","105,000","99,000","178,000","106,000"
Common Stock Issuance,"101,000","105,000","99,000","178,000","106,000"
Cash Dividends Paid,"-316,000","-283,000","-259,000","-226,000","-195,000"
Common Stock Dividend Paid,"-316,000","-283,000","-259,000","-226,000","-195,000"
Net Other Financing Charges,"-72,000","-59,000","-120,000","-66,000","-185,000"
End Cash Position,"5,930,000","5,798,000","4,229,000","4,713,000","3,245,000"
Changes in Cash,"1,230,000","1,572,000","-460,000","1,392,000","1,478,000"
Effect of Exchange Rate Changes,"-20,000","-3,000","-31,000","76,000","-56,000"
Beginning Cash Position,"4,700,000","4,229,000","4,720,000","3,245,000","1,823,000"
Capital Expenditure,"-117,000","-116,000","-131,000","-155,000","-136,000"
Issuance of Capital Stock,"101,000","105,000","99,000","178,000","106,000"
Issuance of Debt,-,0,0,"3,741,000","6,878,000"
Repayment of Debt,-,0,"-1,740,000","-4,251,000","-6,104,000"
Free Cash Flow,"1,412,000","1,715,000","1,659,000","2,058,000","2,019,000"
