,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"22,682,000","21,223,000","19,482,000","18,482,000"
Current Assets,"1,285,000","781,000","720,000","784,000"
"Cash, Cash Equivalents & Short Term Investments","60,000","130,000","55,000","75,000"
Cash And Cash Equivalents,"60,000","130,000","55,000","75,000"
Receivables,"466,000","487,000","484,000","532,000"
Accounts receivable,"294,000","301,000","272,000","269,000"
Gross Accounts Receivable,"335,000",-,-,-
Allowance For Doubtful Accounts Receivable,"-41,000",-,-,-
Unbilled Receivables,"172,000","186,000","212,000","263,000"
Inventory,"44,000","41,000","41,000","39,000"
Materials & Supplies,"44,000","41,000","41,000","39,000"
Restricted Cash,"31,000","28,000","27,000","20,000"
Assets Held for Sale Current,"566,000",-,-,-
Other Current Assets,"118,000","95,000","113,000","118,000"
Total non-current assets,"21,397,000","20,442,000","18,762,000","17,698,000"
Net PPE,"18,335,000","17,409,000","16,246,000","14,992,000"
Gross PPE,"24,044,000","23,204,000","21,716,000","19,954,000"
Net Utility Plant,"22,919,000","21,893,000","20,561,000","19,083,000"
Water Production,"22,919,000","21,893,000","20,561,000","19,083,000"
Construction in Progress,"801,000","593,000","585,000","419,000"
Other Properties,"324,000","718,000","570,000","452,000"
Accumulated Depreciation,"-5,709,000","-5,795,000","-5,470,000","-4,962,000"
Goodwill And Other Intangible Assets,"1,568,000","1,659,000","1,379,000","1,345,000"
Goodwill,"1,501,000","1,575,000","1,379,000","1,345,000"
Other Intangible Assets,"67,000","84,000",-,-
Regulatory Assets,"1,128,000","1,156,000","1,061,000","1,289,000"
Defined Pension Benefit,"159,000","155,000",-,-
Other Non Current Assets,"207,000","63,000","76,000","72,000"
Total Liabilities Net Minority Interest,"16,561,000","15,359,000","14,097,000","13,264,000"
Current Liabilities,"2,045,000","2,094,000","2,325,000","2,392,000"
Payables And Accrued Expenses,"929,000","863,000","931,000","857,000"
Payables,"249,000","220,000","228,000","185,000"
Accounts Payable,"203,000","175,000","195,000","154,000"
Total Tax Payable,"46,000","45,000","33,000","31,000"
Current Accrued Expenses,"680,000","643,000","703,000","672,000"
Interest Payable,"84,000","87,000","73,000","63,000"
Current Debt And Capital Lease Obligation,"814,000","1,035,000","1,227,000","1,423,000"
Current Debt,"814,000","1,035,000","1,227,000","1,423,000"
Other Current Liabilities,"302,000","196,000","167,000","112,000"
Total Non Current Liabilities Net Minority Interest,"14,516,000","13,265,000","11,772,000","10,872,000"
Total Deferred Credits & Other Non Current Liabilities,"5,788,000","5,696,000","5,282,000","5,123,000"
Long Term Provisions,"240,000","252,000","271,000","300,000"
Non Current Deferred Liabilities,"1,893,000","1,740,000","1,573,000","2,619,000"
Non Current Deferred Taxes Liabilities,"1,893,000","1,740,000","1,573,000","2,619,000"
Regulatory Liabilities,"1,806,000","1,907,000","1,664,000","403,000"
Employee Benefits,"411,000","390,000","424,000","506,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"411,000","390,000","424,000","506,000"
Preferred Securities Outside Stock Equity,"5,000","7,000","8,000","10,000"
Other Non Current Liabilities,"1,433,000","1,400,000","1,342,000","1,285,000"
Long Term Debt And Capital Lease Obligation,"8,728,000","7,569,000","6,490,000","5,749,000"
Long Term Debt,"8,639,000","7,569,000","6,490,000","5,749,000"
Long Term Capital Lease Obligation,"89,000",-,-,-
Total Equity Gross Minority Interest,"6,121,000","5,864,000","5,385,000","5,218,000"
Stockholders' Equity,"6,121,000","5,864,000","5,385,000","5,218,000"
Capital Stock,"2,000","2,000","2,000","2,000"
Common Stock,"2,000","2,000","2,000","2,000"
Retained Earnings,"-207,000","-464,000","-723,000","-873,000"
Additional Paid in Capital,"6,700,000","6,657,000","6,432,000","6,388,000"
Treasury Stock,"338,000","297,000","247,000","213,000"
Gains Losses Not Affecting Retained Earnings,"-36,000","-34,000","-79,000","-86,000"
Total Capitalization,"14,760,000","13,433,000","11,875,000","10,967,000"
Common Stock Equity,"6,121,000","5,864,000","5,385,000","5,218,000"
Capital Lease Obligations,"89,000",-,-,-
Net Tangible Assets,"4,553,000","4,205,000","4,006,000","3,873,000"
Working Capital,"-760,000","-1,313,000","-1,605,000","-1,608,000"
Invested Capital,"15,574,000","14,468,000","13,102,000","12,390,000"
Tangible Book Value,"4,553,000","4,205,000","4,006,000","3,873,000"
Total Debt,"9,542,000","8,604,000","7,717,000","7,172,000"
Net Debt,"9,393,000","8,474,000","7,662,000","7,097,000"
Share Issued,"185,904","185,367","182,509","181,799"
Ordinary Shares Number,"180,813","180,684","178,445","178,097"
Treasury Shares Number,"5,091","4,683","4,064","3,702"
