,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"1,383,000","1,383,000","1,386,000","1,449,000","1,276,000"
Cash Flow from Continuing Operating Activities,"1,383,000","1,383,000","1,386,000","1,449,000","1,276,000"
Net Income from Continuing Operations,"621,000","621,000","565,000","426,000","468,000"
Operating Gains Losses,"51,000","51,000","3,000","41,000","44,000"
Pension And Employee Benefit Expense,"17,000","17,000","23,000","57,000","54,000"
Depreciation Amortization Depletion,"582,000","582,000","545,000","492,000","470,000"
Depreciation & amortization,"582,000","582,000","545,000","492,000","470,000"
Deferred Tax,"208,000","208,000","195,000","462,000","282,000"
Deferred Income Tax,"208,000","208,000","195,000","462,000","282,000"
Asset Impairment Charge,0,0,"57,000",-,-
Provision & Write Off of Assets,"28,000","28,000","33,000","29,000","27,000"
Other non-cash items,"-41,000","-72,000","-2,000","-102,000","-89,000"
Change in working capital,"-66,000","-35,000","-10,000","101,000","74,000"
Change in Receivables,"-25,000","-25,000","-17,000","21,000","-31,000"
Changes in Account Receivables,"-25,000","-25,000","-17,000","21,000","-31,000"
Change in Payables And Accrued Expense,"66,000","66,000","25,000","38,000","60,000"
Change in Other Working Capital,"-107,000","-76,000","-18,000","42,000","45,000"
Investing Cash Flow,"-1,945,000","-1,945,000","-2,036,000","-1,672,000","-1,587,000"
Cash Flow from Continuing Investing Activities,"-1,945,000","-1,945,000","-2,036,000","-1,672,000","-1,587,000"
Capital Expenditure Reported,"-1,654,000","-1,654,000","-1,586,000","-1,434,000","-1,311,000"
Net PPE Purchase And Sale,"-104,000","-104,000","-87,000","-76,000","-84,000"
Purchase of PPE,"-104,000","-104,000","-87,000","-76,000","-84,000"
Net Business Purchase And Sale,"-235,000","-235,000","-398,000","-177,000","-204,000"
Purchase of Business,"-235,000","-235,000","-398,000","-177,000","-204,000"
Net Other Investing Changes,"48,000","48,000","35,000","15,000","12,000"
Financing Cash Flow,"494,000","494,000","726,000","207,000","341,000"
Cash Flow from Continuing Financing Activities,"494,000","494,000","726,000","207,000","341,000"
Net Issuance Payments of Debt,"857,000","857,000","892,000","554,000","630,000"
Net Long Term Debt Issuance,"1,035,000","1,035,000","832,000","499,000","409,000"
Long Term Debt Issuance,"1,530,000","1,530,000","1,358,000","1,395,000","553,000"
Long Term Debt Payments,"-495,000","-495,000","-526,000","-896,000","-144,000"
Net Short Term Debt Issuance,"-178,000","-178,000","60,000","55,000","221,000"
Short Term Debt Issuance,-,-,"60,000","55,000","221,000"
Short Term Debt Payments,"-178,000","-178,000",-,0,0
Net Common Stock Issuance,"-36,000","-36,000","138,000","-54,000","-65,000"
Common Stock Issuance,0,0,"183,000",-,-
Common Stock Payments,"-36,000","-36,000","-45,000","-54,000","-65,000"
Cash Dividends Paid,"-353,000","-353,000","-319,000","-289,000","-261,000"
Common Stock Dividend Paid,"-353,000","-353,000","-319,000","-289,000","-261,000"
Proceeds from Stock Option Exercised,"15,000","15,000","16,000","26,000","26,000"
Net Other Financing Charges,"11,000","11,000","-1,000","-30,000","11,000"
End Cash Position,"91,000","91,000","159,000","83,000","75,000"
Changes in Cash,"-68,000","-68,000","76,000","-16,000","30,000"
Beginning Cash Position,"159,000","159,000","83,000","99,000","45,000"
Income Tax Paid Supplemental Data,"12,000","12,000","38,000","30,000","16,000"
Interest Paid Supplemental Data,"383,000","383,000","332,000","338,000","327,000"
Capital Expenditure,"-1,758,000","-1,758,000","-1,673,000","-1,510,000","-1,395,000"
Issuance of Capital Stock,0,0,"183,000",-,-
Issuance of Debt,"1,530,000","1,530,000","1,418,000","1,450,000","774,000"
Repayment of Debt,"-673,000","-673,000","-526,000","-896,000","-144,000"
Repurchase of Capital Stock,"-36,000","-36,000","-45,000","-54,000","-65,000"
Free Cash Flow,"-375,000","-375,000","-287,000","-61,000","-119,000"
