,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"133,625,000","117,359,000","92,333,000","89,997,000"
Current Assets,"102,229,000","87,830,000","65,161,000","62,488,000"
"Cash, Cash Equivalents & Short Term Investments","10,030,000","8,564,000","9,992,000","10,029,000"
Cash And Cash Equivalents,"9,485,000","7,637,000","8,813,000","8,801,000"
Other Short Term Investments,"545,000","927,000","1,179,000","1,228,000"
Receivables,"12,471,000","14,364,000","10,825,000","9,260,000"
Accounts receivable,"3,337,000","3,936,000","9,763,000","7,804,000"
Other Receivables,"9,207,000","10,485,000","1,124,000","1,521,000"
Receivables Adjustments Allowances,"-73,000","-57,000","-62,000","-65,000"
Inventory,"76,622,000","62,567,000","44,344,000","43,199,000"
Raw Materials,"1,187,000","2,129,000","13,889,000","12,801,000"
Work in Process,"9,419,000","7,685,000","5,688,000","5,446,000"
Finished Goods,"66,016,000","52,753,000","52,861,000","52,048,000"
Inventories Adjustments Allowances,-,-,"-28,094,000","-27,096,000"
Other Current Assets,"3,106,000","2,335,000",-,-
Total non-current assets,"31,396,000","29,529,000","27,172,000","27,509,000"
Net PPE,"12,502,000","12,645,000","12,672,000","12,807,000"
Gross PPE,"31,844,000","31,213,000","30,313,000","29,690,000"
Properties,0,0,0,0
Land And Improvements,"527,000","546,000","530,000","535,000"
Buildings And Improvements,"14,288,000","14,109,000","14,125,000","13,796,000"
Machinery Furniture Equipment,"15,723,000","15,221,000","14,577,000","13,569,000"
Construction in Progress,"1,306,000","1,337,000","1,081,000","1,790,000"
Accumulated Depreciation,"-19,342,000","-18,568,000","-17,641,000","-16,883,000"
Goodwill And Other Intangible Assets,"11,398,000","11,269,000","8,132,000","7,864,000"
Goodwill,"8,060,000","7,840,000","5,559,000","5,324,000"
Other Intangible Assets,"3,338,000","3,429,000","2,573,000","2,540,000"
Investments And Advances,"1,092,000","1,087,000","1,260,000","1,317,000"
Non Current Accounts Receivable,"2,136,000","2,418,000","2,740,000","3,773,000"
Non Current Deferred Assets,"683,000","284,000","341,000","332,000"
Non Current Deferred Taxes Assets,"683,000","284,000","341,000","332,000"
Other Non Current Assets,"3,585,000","1,826,000","2,027,000","1,416,000"
Total Liabilities Net Minority Interest,"141,925,000","116,949,000","91,921,000","89,120,000"
Current Liabilities,"97,312,000","81,590,000","56,269,000","50,134,000"
Payables And Accrued Expenses,"31,572,000","19,756,000","19,624,000","18,747,000"
Payables,"17,382,000","14,561,000","13,587,000","12,145,000"
Accounts Payable,"15,553,000","12,916,000","12,202,000","11,190,000"
Total Tax Payable,"670,000","485,000","380,000","89,000"
Income Tax Payable,"670,000","485,000","380,000","89,000"
Dividends Payable,"1,159,000","1,160,000","1,005,000","866,000"
Current Accrued Expenses,"14,190,000","5,195,000","6,037,000","6,602,000"
Current Provisions,"1,267,000","1,127,000","1,211,000","1,414,000"
Pension & Other Post Retirement Benefit Plans Current,"5,582,000","6,841,000","6,659,000","5,720,000"
Current Debt And Capital Lease Obligation,"7,340,000","3,190,000","1,335,000","384,000"
Current Debt,"7,269,000","3,133,000","1,283,000","327,000"
Commercial Paper,"6,109,000","1,895,000","600,000",-
Other Current Borrowings,"1,160,000","1,238,000","683,000","327,000"
Current Capital Lease Obligation,"71,000","57,000","52,000","57,000"
Current Deferred Liabilities,"51,551,000","50,676,000","27,440,000","23,869,000"
Current Deferred Revenue,"51,551,000","50,676,000","27,440,000","23,869,000"
Total Non Current Liabilities Net Minority Interest,"44,613,000","35,359,000","35,652,000","38,986,000"
Long Term Debt And Capital Lease Obligation,"19,962,000","10,657,000","9,782,000","9,568,000"
Long Term Debt,"19,804,000","10,558,000","9,696,000","9,487,000"
Long Term Capital Lease Obligation,"158,000","99,000","86,000","81,000"
Non Current Deferred Liabilities,"413,000","1,736,000","1,839,000","1,338,000"
Non Current Deferred Taxes Liabilities,"413,000","1,736,000","1,839,000","1,338,000"
Employee Benefits,"20,816,000","19,907,000","22,016,000","25,859,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"20,816,000","19,907,000","22,016,000","25,859,000"
Other Non Current Liabilities,"3,422,000","3,059,000","2,015,000","2,221,000"
Total Equity Gross Minority Interest,"-8,300,000","410,000","412,000","877,000"
Stockholders' Equity,"-8,617,000","339,000","355,000","817,000"
Capital Stock,"5,061,000","5,061,000","5,061,000","5,061,000"
Common Stock,"5,061,000","5,061,000","5,061,000","5,061,000"
Additional Paid in Capital,"6,745,000","6,768,000","6,804,000","4,762,000"
Retained Earnings,"50,644,000","55,941,000","45,320,000","40,714,000"
Treasury Stock,"54,914,000","52,348,000","43,454,000","36,097,000"
Gains Losses Not Affecting Retained Earnings,"-16,153,000","-15,083,000","-13,376,000","-13,623,000"
Minority Interest,"317,000","71,000","57,000","60,000"
Total Capitalization,"11,187,000","10,897,000","10,051,000","10,304,000"
Common Stock Equity,"-8,617,000","339,000","355,000","817,000"
Capital Lease Obligations,"229,000","156,000","138,000","138,000"
Net Tangible Assets,"-20,015,000","-10,930,000","-7,777,000","-7,047,000"
Working Capital,"4,917,000","6,240,000","8,892,000","12,354,000"
Invested Capital,"18,456,000","14,030,000","11,334,000","10,631,000"
Tangible Book Value,"-20,015,000","-10,930,000","-7,777,000","-7,047,000"
Total Debt,"27,302,000","13,847,000","11,117,000","9,952,000"
Net Debt,"17,588,000","6,054,000","2,166,000","1,013,000"
Share Issued,"1,012,261","1,012,261","1,012,261","1,012,261"
Ordinary Shares Number,"562,909","567,641","591,039","617,152"
Treasury Shares Number,"449,352","444,620","421,222","395,110"
