,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"-14,226,000","-2,446,000","15,322,000","13,344,000","10,499,000"
Cash Flow from Continuing Operating Activities,"-14,226,000","-2,446,000","15,322,000","13,344,000","10,499,000"
Net Income from Continuing Operations,"-2,879,000","-636,000","10,460,000","8,197,000","4,895,000"
Operating Gains Losses,"-483,000","-691,000","-75,000","-21,000","7,000"
Depreciation Amortization Depletion,"2,307,000","2,271,000","2,114,000","2,069,000","1,910,000"
Depreciation & amortization,"2,307,000","2,271,000","2,114,000","2,069,000","1,910,000"
Asset Impairment Charge,"653,000","443,000","93,000","113,000","90,000"
Stock based compensation,"223,000","212,000","202,000","202,000","190,000"
Excess Tax Benefit from Stock Based Compensation,-,-,-,0,0
Other non-cash items,"1,014,000","584,000","244,000","289,000","362,000"
Change in working capital,"-15,061,000","-4,629,000","2,284,000","2,495,000","3,045,000"
Change in Receivables,"1,781,000","2,004,000","-2,501,000","-804,000","-584,000"
Changes in Account Receivables,"158,000","603,000","-795,000","-1,821,000","112,000"
Change in Inventory,"-13,899,000","-12,391,000","568,000","-1,085,000","3,755,000"
Change in Payables And Accrued Expense,"-247,000","9,381,000","1,119,000","703,000","1,348,000"
Change in Payable,"-3,583,000","1,600,000","2,000","130,000","622,000"
Change in Account Payable,"-3,583,000","1,600,000","2,000","130,000","622,000"
Change in Accrued Expense,"3,336,000","7,781,000","1,117,000","573,000","726,000"
Change in Other Current Assets,"638,000","-682,000","98,000",-,-
Change in Other Working Capital,"-3,334,000","-2,941,000","3,000,000","3,681,000","-1,474,000"
Investing Cash Flow,"-13,363,000","-1,530,000","-4,621,000","-2,062,000","-3,380,000"
Cash Flow from Continuing Investing Activities,"-13,363,000","-1,530,000","-4,621,000","-2,062,000","-3,380,000"
Net PPE Purchase And Sale,"-1,589,000","-1,500,000","-1,602,000","-1,647,000","-2,575,000"
Purchase of PPE,"-1,688,000","-1,834,000","-1,722,000","-1,739,000","-2,613,000"
Sale of PPE,"99,000","334,000","120,000","92,000","38,000"
Net Intangibles Purchase And Sale,-,"-127,000","-69,000","-131,000",-
Purchase of Intangibles,-,"-127,000","-69,000","-131,000",-
Net Business Purchase And Sale,-,"-455,000","-3,230,000","-324,000","-297,000"
Purchase of Business,-,"-455,000","-3,230,000","-324,000","-297,000"
Net Investment Purchase And Sale,"-12,175,000","101,000","291,000","38,000","-510,000"
Purchase of Investment,"-13,719,000","-1,658,000","-2,607,000","-3,601,000","-1,719,000"
Sale of Investment,"1,544,000","1,759,000","2,898,000","3,639,000","1,209,000"
Net Other Investing Changes,"471,000","451,000","-11,000","2,000","2,000"
Financing Cash Flow,"38,385,000","5,739,000","-11,722,000","-11,350,000","-9,587,000"
Cash Flow from Continuing Financing Activities,"38,385,000","5,739,000","-11,722,000","-11,350,000","-9,587,000"
Net Issuance Payments of Debt,"42,007,000","13,218,000","1,365,000","1,124,000","-34,000"
Net Long Term Debt Issuance,"42,007,000","13,218,000","1,365,000","1,124,000","-34,000"
Long Term Debt Issuance,"56,021,000","25,389,000","8,548,000","2,077,000","1,325,000"
Long Term Debt Payments,"-14,014,000","-12,171,000","-7,183,000","-953,000","-1,359,000"
Net Common Stock Issuance,-,"-2,651,000","-9,000,000","-9,236,000","-7,001,000"
Common Stock Payments,-,"-2,651,000","-9,000,000","-9,236,000","-7,001,000"
Cash Dividends Paid,"-3,471,000","-4,630,000","-3,946,000","-3,417,000","-2,756,000"
Common Stock Dividend Paid,"-3,471,000","-4,630,000","-3,946,000","-3,417,000","-2,756,000"
Proceeds from Stock Option Exercised,"38,000","58,000","81,000","311,000","321,000"
Net Other Financing Charges,"-189,000","-256,000","-222,000","-132,000","-117,000"
End Cash Position,"19,963,000","9,485,000","7,637,000","8,813,000","8,801,000"
Changes in Cash,"10,796,000","1,763,000","-1,021,000","-68,000","-2,468,000"
Effect of Exchange Rate Changes,"-14,000","-5,000","-53,000","80,000","-33,000"
Beginning Cash Position,"9,167,000","7,813,000","8,887,000","8,801,000","11,302,000"
Other Cash Adjustment Outside Change in Cash,"-43,000","-86,000","-176,000",-,-
Capital Expenditure,"-1,795,000","-1,961,000","-1,791,000","-1,870,000","-2,613,000"
Issuance of Debt,"56,021,000","25,389,000","8,548,000","2,077,000","1,325,000"
Repayment of Debt,"-14,014,000","-12,171,000","-7,183,000","-953,000","-1,359,000"
Repurchase of Capital Stock,-,"-2,651,000","-9,000,000","-9,236,000","-7,001,000"
Free Cash Flow,"-16,021,000","-4,407,000","13,531,000","11,474,000","7,886,000"
