,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"66,606,000","76,559,000","101,127,000","93,392,000","94,571,000"
Operating Revenue,"66,606,000","76,559,000","101,127,000","93,392,000","94,571,000"
Cost of Revenue,"65,384,000","72,093,000","81,490,000","76,066,000","80,790,000"
Gross Profit,"1,222,000","4,466,000","19,637,000","17,326,000","13,781,000"
Operating Expense,"6,911,000","7,128,000","7,836,000","7,273,000","8,243,000"
Selling General and Administrative,"4,087,000","3,909,000","4,567,000","4,094,000","3,616,000"
General & Administrative Expense,"4,087,000","3,909,000","4,567,000","4,094,000","3,616,000"
Other G and A,"4,087,000","3,909,000","4,567,000","4,094,000","3,616,000"
Research & Development,"2,824,000","3,219,000","3,269,000","3,179,000","4,627,000"
Operating Income,"-5,689,000","-2,662,000","11,801,000","10,053,000","5,538,000"
Net Non Operating Interest Income Expense,"-1,260,000","-722,000","-475,000","-360,000","-306,000"
Interest Expense Non Operating,"1,260,000","722,000","475,000","360,000","306,000"
Other Income Expense,"858,000","1,125,000","278,000","354,000","336,000"
Gain on Sale of Security,"-56,000","-4,000","111,000","204,000","303,000"
Special Income Charges,"483,000","691,000","75,000","21,000","-7,000"
Gain on Sale of PPE,"483,000","691,000","75,000","21,000","-7,000"
Other Non Operating Income Expenses,"431,000","438,000","92,000","129,000","40,000"
Pretax Income,"-6,091,000","-2,259,000","11,604,000","10,047,000","5,568,000"
Tax Provision,"-3,212,000","-1,623,000","1,144,000","1,850,000","673,000"
Net Income Common Stockholders,"-2,847,000","-636,000","10,453,000","8,191,000","4,892,000"
Net Income,"-2,847,000","-636,000","10,460,000","8,197,000","4,895,000"
Net Income Including Non-Controlling Interests,"-2,879,000","-636,000","10,460,000","8,197,000","4,895,000"
Net Income Continuous Operations,"-2,879,000","-636,000","10,460,000","8,197,000","4,895,000"
Otherunder Preferred Stock Dividend,-,-,"7,000","6,000","3,000"
Diluted NI Available to Com Stockholders,"-2,847,000","-636,000","10,453,000","8,191,000","4,892,000"
Basic EPS,-,-0.0011,0.0181,0.0136,0.0077
Diluted EPS,-,-0.0011,0.0179,0.0134,0.0076
Basic Average Shares,-,"567,857","579,501","602,721","635,714"
Diluted Average Shares,-,"567,857","586,200","610,700","643,800"
Total Operating Income as Reported,"-5,262,000","-1,975,000","11,987,000","10,278,000","5,834,000"
Total Expenses,"72,295,000","79,221,000","89,326,000","83,339,000","89,033,000"
Net Income from Continuing & Discontinued Operation,"-2,847,000","-636,000","10,460,000","8,197,000","4,895,000"
Normalized Income,"-3,158,710","-1,137,510","10,292,414","8,013,400","4,634,816"
Interest Expense,"1,260,000","722,000","475,000","360,000","306,000"
Net Interest Income,"-1,260,000","-722,000","-475,000","-360,000","-306,000"
EBIT,"-4,831,000","-1,537,000","12,079,000","10,407,000","5,874,000"
EBITDA,"-2,524,000",-,-,-,-
Reconciled Cost of Revenue,"65,384,000","72,093,000","81,490,000","76,066,000","80,790,000"
Reconciled Depreciation,"2,307,000","2,271,000","2,114,000","2,069,000","1,910,000"
Net Income from Continuing Operation Net Minority Interest,"-2,847,000","-636,000","10,460,000","8,197,000","4,895,000"
Total Unusual Items Excluding Goodwill,"427,000","687,000","186,000","225,000","296,000"
Total Unusual Items,"427,000","687,000","186,000","225,000","296,000"
Normalized EBITDA,"-2,951,000","47,000","14,007,000","12,251,000","7,488,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"115,290","185,490","18,414","41,400","35,816"
