,ttm,6/30/2020,6/30/2019,6/30/2018,6/30/2017
Operating Cash Flow,"1,960,000","1,960,000","2,722,000","2,768,000","1,184,000"
Cash Flow from Continuing Operating Activities,"1,960,000","1,960,000","2,722,000","2,768,000","1,184,000"
Net Income from Continuing Operations,"-3,693,000","-3,693,000","1,365,000","259,000","1,294,000"
Operating Gains Losses,"-563,000","-563,000",-,"2,000","4,000"
Gain Loss On Investment Securities,-,-,-,-,"4,000"
Earnings Losses from Equity Investments,"-579,000","-579,000",-,-,-
Depreciation Amortization Depletion,"913,000","913,000","1,000,000","1,032,000","717,000"
Depreciation & amortization,"913,000","913,000","1,000,000","1,032,000","717,000"
Asset Impairment Charge,"7,000","7,000","-485,000","1,423,000","18,000"
Provision & Write Off of Assets,"-855,000","-855,000","5,000","-901,000","354,000"
Stock based compensation,"90,000","90,000","82,000","85,000","96,000"
Other non-cash items,-,-,-,"-2,000","-5,000"
Change in working capital,"6,061,000","6,061,000","755,000","870,000","-1,294,000"
Change in Receivables,"82,000","82,000","-751,000","-871,000","-665,000"
Changes in Account Receivables,"82,000","82,000","-751,000","-871,000","-665,000"
Change in Inventory,"-409,000","-409,000","-551,000","-1,211,000","-673,000"
Change in Payables And Accrued Expense,"6,388,000","6,388,000","2,057,000","2,952,000","44,000"
Change in Payable,"-162,000","-162,000","1,864,000","2,574,000","564,000"
Change in Account Payable,"-162,000","-162,000","1,864,000","2,574,000","564,000"
Change in Accrued Expense,"6,550,000","6,550,000","193,000","378,000","-520,000"
Investing Cash Flow,"493,000","493,000","338,000","-5,608,000","-405,000"
Cash Flow from Continuing Investing Activities,"493,000","493,000","338,000","-5,608,000","-405,000"
Net PPE Purchase And Sale,"-373,000","-373,000","435,000","478,000","-384,000"
Purchase of PPE,"-375,000","-375,000","-328,000","-384,000","-387,000"
Sale of PPE,"2,000","2,000","763,000","862,000","3,000"
Net Business Purchase And Sale,0,0,"-82,000","-6,142,000","-132,000"
Purchase of Business,0,0,"-82,000","-6,142,000","-132,000"
Net Investment Purchase And Sale,"866,000","866,000","-15,000","56,000","111,000"
Purchase of Investment,"-20,000","-20,000","-18,000","-9,000","-194,000"
Sale of Investment,"886,000","886,000","3,000","65,000","305,000"
Financing Cash Flow,"-2,200,000","-2,200,000","-2,293,000","-2,276,000","3,746,000"
Cash Flow from Continuing Financing Activities,"-2,200,000","-2,200,000","-2,293,000","-2,276,000","3,746,000"
Net Issuance Payments of Debt,"-1,401,000","-1,401,000","-1,102,000","-1,001,000","4,864,000"
Net Long Term Debt Issuance,"-1,399,000","-1,399,000","-1,102,000","-951,000","4,861,000"
Long Term Debt Issuance,0,0,0,"3,000","5,171,000"
Long Term Debt Payments,"-1,399,000","-1,399,000","-1,102,000","-954,000","-310,000"
Net Short Term Debt Issuance,"-2,000","-2,000",0,"-50,000","3,000"
Net Common Stock Issuance,"-350,000","-350,000","-600,000","-550,000","-600,000"
Common Stock Payments,"-350,000","-350,000","-600,000","-550,000","-600,000"
Cash Dividends Paid,"-569,000","-569,000","-577,000","-581,000","-577,000"
Common Stock Dividend Paid,"-569,000","-569,000","-577,000","-581,000","-577,000"
Net Other Financing Charges,"120,000","120,000","-14,000","-144,000","59,000"
End Cash Position,"2,771,000","2,771,000","2,531,000","1,763,000","6,879,000"
Changes in Cash,"253,000","253,000","767,000","-5,116,000","4,525,000"
Effect of Exchange Rate Changes,"-13,000","-13,000","1,000","4,000","-2,000"
Beginning Cash Position,"2,531,000","2,531,000","1,763,000","6,879,000","2,356,000"
Other Cash Adjustment Outside Change in Cash,0,0,0,"-4,000",-
Income Tax Paid Supplemental Data,"368,000","368,000","311,000","425,000","686,000"
Interest Paid Supplemental Data,"226,000","226,000","285,000","320,000","200,000"
Capital Expenditure,"-375,000","-375,000","-328,000","-384,000","-387,000"
Issuance of Debt,0,0,0,"3,000","5,171,000"
Repayment of Debt,"-1,399,000","-1,399,000","-1,102,000","-954,000","-310,000"
Repurchase of Capital Stock,"-350,000","-350,000","-600,000","-550,000","-600,000"
Free Cash Flow,"1,585,000","1,585,000","2,394,000","2,384,000","797,000"
