,ttm,6/30/2020,6/30/2019,6/30/2018,6/30/2017
Total Revenue,"152,922,000","152,922,000","145,534,000","136,809,000","129,976,000"
Operating Revenue,"152,922,000","152,922,000","145,534,000","136,809,000","129,976,000"
Cost of Revenue,"146,054,000","146,054,000","138,700,000","129,628,000","123,432,000"
Gross Profit,"6,868,000","6,868,000","6,834,000","7,181,000","6,544,000"
Operating Expense,"5,096,000","5,096,000","5,101,000","5,303,000","4,302,000"
Selling General and Administrative,"4,572,000","4,572,000","4,480,000","4,596,000","3,775,000"
Depreciation Amortization Depletion,"524,000","524,000","621,000","707,000","527,000"
Depreciation & amortization,"524,000","524,000","621,000","707,000","527,000"
Amortization,"524,000","524,000","621,000","707,000","527,000"
Amortization of Intangibles,"524,000","524,000","621,000","707,000","527,000"
Operating Income,"1,772,000","1,772,000","1,733,000","1,878,000","2,242,000"
Net Non Operating Interest Income Expense,"-238,000","-238,000","-294,000","-329,000","-201,000"
Interest Expense Non Operating,"238,000","238,000","294,000","329,000","201,000"
Total Other Finance Cost,-,-,"294,000","329,000","201,000"
Other Income Expense,"-5,306,000","-5,306,000","312,000","-1,777,000","-117,000"
Earnings from Equity Interest,"579,000","579,000",-,-,-
Special Income Charges,"-5,886,000","-5,886,000","327,000","-1,754,000","-122,000"
Restructuring & Mergers Acquisition,"122,000","122,000","125,000","176,000","56,000"
Other Special Charges,"5,757,000","5,757,000","36,000","161,000","48,000"
Gain on Sale of Business,"-7,000","-7,000","488,000","-1,417,000","-18,000"
Gain on Sale of PPE,"-7,000","-7,000","488,000","-1,417,000","-18,000"
Other Non Operating Income Expenses,"1,000","1,000","-15,000","-23,000","5,000"
Pretax Income,"-3,772,000","-3,772,000","1,751,000","-228,000","1,924,000"
Tax Provision,"-79,000","-79,000","386,000","-487,000","630,000"
Net Income Common Stockholders,"-3,696,000","-3,696,000","1,363,000","256,000","1,288,000"
Net Income,"-3,696,000","-3,696,000","1,363,000","256,000","1,288,000"
Net Income Including Non-Controlling Interests,"-3,693,000","-3,693,000","1,365,000","259,000","1,294,000"
Net Income Continuous Operations,"-3,693,000","-3,693,000","1,365,000","259,000","1,294,000"
Net Income Discontinuous Operations,-,-,-,-,0
Minority Interests,"-3,000","-3,000","-2,000","-3,000","-6,000"
Diluted NI Available to Com Stockholders,"-3,696,000","-3,696,000","1,363,000","256,000","1,288,000"
Basic EPS,-,-,0.0046,0,0.0041
Diluted EPS,-,-,0.0045,0,0.004
Basic Average Shares,-,-,"300,000","313,000","317,000"
Diluted Average Shares,-,-,"301,000","315,000","320,000"
Total Operating Income as Reported,"-4,098,000","-4,098,000","2,060,000","126,000","2,120,000"
Total Expenses,"151,150,000","151,150,000","143,801,000","134,931,000","127,734,000"
Net Income from Continuing & Discontinued Operation,"-3,696,000","-3,696,000","1,363,000","256,000","1,288,000"
Normalized Income,"2,066,394","2,066,394","1,108,267","1,536,420","1,370,106"
Interest Expense,"238,000","238,000","294,000","329,000","201,000"
Net Interest Income,"-238,000","-238,000","-294,000","-329,000","-201,000"
EBIT,"-3,534,000","-3,534,000","2,045,000","101,000","2,125,000"
EBITDA,"-2,621,000",-,-,-,-
Reconciled Cost of Revenue,"145,665,000","145,665,000","138,321,000","129,303,000","123,242,000"
Reconciled Depreciation,"913,000","913,000","1,000,000","1,032,000","717,000"
Net Income from Continuing Operation Net Minority Interest,"-3,696,000","-3,696,000","1,363,000","256,000","1,288,000"
Total Unusual Items Excluding Goodwill,"-5,886,000","-5,886,000","327,000","-1,754,000","-122,000"
Total Unusual Items,"-5,886,000","-5,886,000","327,000","-1,754,000","-122,000"
Normalized EBITDA,"3,265,000","3,265,000","2,718,000","2,887,000","2,964,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-123,606","-123,606","72,267","-473,580","-39,894"
