,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"78,453,000","78,509,000","76,962,000","74,704,000"
Current Assets,"39,193,000","38,603,000","36,244,000","31,967,000"
"Cash, Cash Equivalents & Short Term Investments","8,284,000","7,857,000","8,261,000","7,168,000"
Receivables,"17,904,000","17,452,000","16,193,000","14,503,000"
Accounts receivable,"17,904,000","17,452,000","16,193,000","14,503,000"
Inventory,"11,266,000","11,529,000","10,018,000","8,614,000"
Raw Materials,"4,521,000","3,614,000","3,003,000","2,319,000"
Work in Process,"1,147,000","2,674,000","2,254,000","1,719,000"
Finished Goods,"5,598,000","5,241,000","4,761,000","4,576,000"
Prepaid Assets,"1,739,000","1,765,000","1,772,000","1,682,000"
Total non-current assets,"39,260,000","39,906,000","40,718,000","42,737,000"
Net PPE,"12,904,000","13,574,000","14,155,000","15,322,000"
Gross PPE,"29,217,000","29,781,000","31,538,000","31,940,000"
Properties,0,0,0,0
Land And Improvements,"664,000","671,000","664,000","667,000"
Buildings And Improvements,"6,710,000","6,977,000","7,515,000","7,383,000"
Machinery Furniture Equipment,"15,015,000","15,436,000","16,633,000","17,033,000"
Other Properties,"6,208,000","6,015,000","6,038,000","6,086,000"
Construction in Progress,"620,000","682,000","688,000","771,000"
Accumulated Depreciation,"-16,313,000","-16,207,000","-17,383,000","-16,618,000"
Goodwill And Other Intangible Assets,"7,761,000","8,114,000","8,311,000","8,369,000"
Goodwill,"6,196,000","6,217,000","6,200,000","6,020,000"
Other Intangible Assets,"1,565,000","1,897,000","2,111,000","2,349,000"
Non Current Accounts Receivable,"13,844,000","14,447,000","14,532,000","14,585,000"
Non Current Deferred Assets,"1,411,000","1,439,000","1,693,000","2,790,000"
Non Current Deferred Taxes Assets,"1,411,000","1,439,000","1,693,000","2,790,000"
Other Non Current Assets,"3,340,000","2,332,000","2,027,000","1,671,000"
Total Liabilities Net Minority Interest,"63,824,000","64,429,000","63,196,000","61,491,000"
Current Liabilities,"26,621,000","28,218,000","26,931,000","26,132,000"
Payables And Accrued Expenses,"11,903,000","13,503,000","12,732,000","9,365,000"
Payables,"6,524,000","7,546,000","6,953,000","5,066,000"
Accounts Payable,"5,957,000","7,051,000","6,487,000","4,614,000"
Dividends Payable,"567,000","495,000","466,000","452,000"
Current Accrued Expenses,"5,379,000","5,957,000","5,779,000","4,299,000"
Current Debt And Capital Lease Obligation,"11,376,000","11,553,000","11,031,000","13,965,000"
Current Debt,"11,376,000","11,553,000","11,031,000","13,965,000"
Current Notes Payable,-,-,"1,157,000","1,168,000"
Commercial Paper,-,-,"3,680,000","6,135,000"
Other Current Borrowings,"11,376,000","11,553,000","6,194,000","6,662,000"
Current Deferred Liabilities,"1,187,000","1,243,000","1,193,000","1,167,000"
Current Deferred Revenue,"1,187,000","1,243,000","1,193,000","1,167,000"
Other Current Liabilities,"2,155,000","1,919,000","1,975,000","1,635,000"
Total Non Current Liabilities Net Minority Interest,"37,203,000","36,211,000","36,265,000","35,359,000"
Long Term Debt And Capital Lease Obligation,"26,281,000","25,000,000","23,847,000","22,818,000"
Long Term Debt,"26,153,000","24,544,000","23,410,000","22,750,000"
Long Term Capital Lease Obligation,"128,000","456,000","437,000","68,000"
Employee Benefits,"6,599,000","7,455,000","8,365,000","9,357,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"6,599,000","7,455,000","8,365,000","9,357,000"
Other Non Current Liabilities,"4,323,000","3,756,000","4,053,000","3,184,000"
Total Equity Gross Minority Interest,"14,629,000","14,080,000","13,766,000","13,213,000"
Stockholders' Equity,"14,588,000","14,039,000","13,697,000","13,137,000"
Capital Stock,"5,935,000","5,827,000","5,593,000","5,277,000"
Common Stock,"5,935,000","5,827,000","5,593,000","5,277,000"
Retained Earnings,"34,437,000","30,427,000","26,301,000","27,377,000"
Treasury Stock,"24,217,000","20,531,000","17,005,000","17,478,000"
Gains Losses Not Affecting Retained Earnings,"-1,567,000","-1,684,000","-1,192,000","-2,039,000"
Minority Interest,"41,000","41,000","69,000","76,000"
Total Capitalization,"40,741,000","38,583,000","37,107,000","35,887,000"
Common Stock Equity,"14,588,000","14,039,000","13,697,000","13,137,000"
Capital Lease Obligations,"128,000","456,000","437,000","68,000"
Net Tangible Assets,"6,827,000","5,925,000","5,386,000","4,768,000"
Working Capital,"12,572,000","10,385,000","9,313,000","5,835,000"
Invested Capital,"52,117,000","50,136,000","48,138,000","49,852,000"
Tangible Book Value,"6,827,000","5,925,000","5,386,000","4,768,000"
Total Debt,"37,657,000","36,553,000","34,878,000","36,783,000"
Net Debt,"37,529,000","36,097,000","34,441,000","36,715,000"
Share Issued,"814,895","814,895","814,895","814,895"
Ordinary Shares Number,"550,083","575,543","597,626","586,486"
Treasury Shares Number,"264,812","239,352","217,269","228,409"
