,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"5,724,000","6,912,000","6,558,000","5,702,000","5,608,000"
Cash Flow from Continuing Operating Activities,"5,724,000","6,912,000","6,558,000","5,702,000","5,608,000"
Net Income from Continuing Operations,"4,143,000","6,094,000","6,148,000","759,000","-59,000"
Operating Gains Losses,-,"468,000","495,000","301,000","985,000"
Pension And Employee Benefit Expense,"336,000","468,000","495,000","301,000","985,000"
Depreciation Amortization Depletion,"2,511,000","2,577,000","2,766,000","2,877,000","3,034,000"
Depreciation & amortization,"2,511,000","2,577,000","2,766,000","2,877,000","3,034,000"
Deferred Tax,"30,000","28,000","220,000","1,213,000","-431,000"
Deferred Income Tax,"30,000","28,000","220,000","1,213,000","-431,000"
Asset Impairment Charge,-,-,0,0,"595,000"
Other non-cash items,"909,000","675,000","1,006,000","746,000","856,000"
Change in working capital,"-2,205,000","-2,930,000","-4,077,000","-194,000","628,000"
Change in Receivables,"1,513,000","171,000","-1,619,000","-1,151,000","829,000"
Change in Inventory,"616,000","274,000","-1,579,000","-1,295,000","1,109,000"
Change in Payables And Accrued Expense,"-2,472,000","-1,610,000","648,000","2,840,000","-1,109,000"
Change in Payable,"-1,814,000","-1,025,000","709,000","1,478,000","-200,000"
Change in Account Payable,"-1,814,000","-1,025,000","709,000","1,478,000","-200,000"
Change in Accrued Expense,"-658,000","-585,000","-61,000","1,362,000","-909,000"
Change in Other Current Assets,"20,000","-93,000","41,000","-192,000","224,000"
Change in Other Current Liabilities,"-1,856,000","-1,662,000","-1,385,000","-327,000","-388,000"
Change in Other Working Capital,"-26,000","-10,000","-183,000","-69,000","-37,000"
Investing Cash Flow,"-1,592,000","-1,928,000","-3,212,000","-994,000","-1,760,000"
Cash Flow from Continuing Investing Activities,"-1,592,000","-1,928,000","-3,212,000","-994,000","-1,760,000"
Capital Expenditure Reported,"-1,049,000","-1,056,000","-1,276,000","-898,000","-1,109,000"
Net PPE Purchase And Sale,"-280,000","-460,000","-704,000","-274,000","-920,000"
Purchase of PPE,"-1,393,000","-1,613,000","-1,640,000","-1,438,000","-1,819,000"
Sale of PPE,"1,113,000","1,153,000","936,000","1,164,000","899,000"
Net Business Purchase And Sale,"-39,000","-6,000","-376,000","41,000","-191,000"
Purchase of Business,"-93,000","-47,000","-392,000","-59,000","-191,000"
Sale of Business,"54,000","41,000","16,000","100,000",0
Net Investment Purchase And Sale,"-168,000","-23,000","-64,000","-116,000","303,000"
Purchase of Investment,"-678,000","-552,000","-506,000","-1,048,000","-391,000"
Sale of Investment,"510,000","529,000","442,000","932,000","694,000"
Net Other Investing Changes,"-56,000","-383,000","-792,000","253,000","157,000"
Financing Cash Flow,"-2,700,000","-4,538,000","-3,650,000","-3,653,000","-3,112,000"
Cash Flow from Continuing Financing Activities,"-2,700,000","-4,538,000","-3,650,000","-3,653,000","-3,112,000"
Net Issuance Payments of Debt,"2,456,000","1,406,000","1,840,000","-2,379,000","-1,310,000"
Net Long Term Debt Issuance,"2,635,000","1,544,000","1,078,000","679,000","-1,450,000"
Long Term Debt Issuance,"10,660,000","9,841,000","8,907,000","9,063,000","5,115,000"
Long Term Debt Payments,"-8,025,000","-8,297,000","-7,829,000","-8,384,000","-6,565,000"
Net Short Term Debt Issuance,"-179,000","-138,000","762,000","-3,058,000","140,000"
Net Common Stock Issuance,"-2,883,000","-3,809,000","-3,485,000","566,000","-23,000"
Common Stock Issuance,-,"238,000","313,000","566,000",-
Common Stock Payments,"-3,082,000","-4,047,000","-3,798,000",0,"-23,000"
Cash Dividends Paid,"-2,271,000","-2,132,000","-1,951,000","-1,831,000","-1,799,000"
Common Stock Dividend Paid,"-2,271,000","-2,132,000","-1,951,000","-1,831,000","-1,799,000"
Net Other Financing Charges,"-2,000","-3,000","-54,000","-9,000","20,000"
End Cash Position,"8,891,000","8,292,000","7,890,000","8,261,000","7,168,000"
Changes in Cash,"1,432,000","446,000","-304,000","1,055,000","736,000"
Effect of Exchange Rate Changes,"-100,000","-44,000","-126,000","38,000","-28,000"
Beginning Cash Position,"7,459,000","7,890,000","8,320,000","7,168,000","6,460,000"
Capital Expenditure,"-2,442,000","-2,669,000","-2,916,000","-2,336,000","-2,928,000"
Issuance of Capital Stock,-,"238,000","313,000","566,000",-
Issuance of Debt,"10,660,000","9,841,000","8,907,000","9,063,000","5,115,000"
Repayment of Debt,"-8,025,000","-8,297,000","-7,829,000","-8,384,000","-6,565,000"
Repurchase of Capital Stock,"-3,082,000","-4,047,000","-3,798,000",0,"-23,000"
Free Cash Flow,"3,282,000","4,243,000","3,642,000","3,366,000","2,680,000"
