,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"46,534,000","53,800,000","54,722,000","45,462,000","38,537,000"
Operating Revenue,"46,534,000","53,800,000","54,722,000","45,462,000","38,537,000"
Cost of Revenue,"32,761,000","37,384,000","37,719,000","31,695,000","28,905,000"
Gross Profit,"13,773,000","16,416,000","17,003,000","13,767,000","9,632,000"
Operating Expense,"7,715,000","8,126,000","8,710,000","9,361,000","8,539,000"
Selling General and Administrative,"4,834,000","5,162,000","5,478,000","5,177,000","4,686,000"
Research & Development,"1,514,000","1,693,000","1,850,000","1,905,000","1,951,000"
Other Operating Expenses,"1,367,000","1,271,000","1,382,000","2,279,000","1,902,000"
Operating Income,"6,058,000","8,290,000","8,293,000","4,406,000","1,093,000"
Net Non Operating Interest Income Expense,"-463,000","-421,000","-404,000","-531,000","-505,000"
Interest Expense Non Operating,"463,000","421,000","404,000","531,000","505,000"
Other Income Expense,"-34,000","-57,000","-67,000","207,000","-449,000"
Gain on Sale of Security,"40,000","200,000","-35,000","96,000","64,000"
Special Income Charges,-,-,0,0,"-595,000"
Impairment of Capital Assets,-,-,0,0,"595,000"
Other Non Operating Income Expenses,"-74,000","-257,000","-32,000","111,000","82,000"
Pretax Income,"5,561,000","7,812,000","7,822,000","4,082,000","139,000"
Tax Provision,"1,446,000","1,746,000","1,698,000","3,339,000","192,000"
Earnings from Equity Interest Net of Tax,"28,000","28,000","24,000","16,000","-6,000"
Net Income Common Stockholders,"4,142,000","6,093,000","6,147,000","754,000","-67,000"
Net Income,"4,142,000","6,093,000","6,147,000","754,000","-67,000"
Net Income Including Non-Controlling Interests,"4,143,000","6,094,000","6,148,000","759,000","-59,000"
Net Income Continuous Operations,"4,143,000","6,094,000","6,148,000","759,000","-59,000"
Minority Interests,"-1,000","-1,000","-1,000","-5,000","-8,000"
Diluted NI Available to Com Stockholders,"4,142,000","6,093,000","6,147,000","754,000","-67,000"
Basic EPS,-,0.0109,0.0104,0.0013,0
Diluted EPS,-,0.0107,0.0103,0.0013,0
Basic Average Shares,-,"561,600","591,400","591,800","584,300"
Diluted Average Shares,-,"567,500","599,400","599,300","584,300"
Total Operating Income as Reported,"6,058,000","8,290,000","8,293,000","4,406,000","498,000"
Total Expenses,"40,476,000","45,510,000","46,429,000","41,056,000","37,444,000"
Net Income from Continuing & Discontinued Operation,"4,142,000","6,093,000","6,147,000","754,000","-67,000"
Normalized Income,"4,112,401","5,937,800","6,173,565","684,592","251,600"
Interest Expense,"463,000","421,000","404,000","531,000","505,000"
Net Interest Income,"-463,000","-421,000","-404,000","-531,000","-505,000"
EBIT,"6,024,000","8,233,000","8,226,000","4,613,000","644,000"
EBITDA,"8,535,000",-,-,-,-
Reconciled Cost of Revenue,"32,761,000","37,384,000","37,719,000","31,695,000","28,905,000"
Reconciled Depreciation,"2,511,000","2,577,000","2,766,000","2,877,000","3,034,000"
Net Income from Continuing Operation Net Minority Interest,"4,142,000","6,093,000","6,147,000","754,000","-67,000"
Total Unusual Items Excluding Goodwill,"40,000","200,000","-35,000","96,000","-531,000"
Total Unusual Items,"40,000","200,000","-35,000","96,000","-531,000"
Normalized EBITDA,"8,495,000","10,610,000","11,027,000","7,394,000","4,209,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"10,401","44,800","-8,435","26,592","-212,400"
