,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Operating Cash Flow,"5,515,000","5,984,000","14,295,000","12,343,000","13,213,000"
Cash Flow from Continuing Operating Activities,"5,515,000","5,984,000","14,295,000","12,343,000","13,213,000"
Net Income from Continuing Operations,"10,300,000","10,913,000","13,066,000","9,366,000","9,790,000"
Operating Gains Losses,"-5,470,000","-4,691,000","-458,000","-609,000","-952,000"
Gain Loss On Sale of Business,-,"-4,794,000","-560,000","-289,000","-26,000"
Gain Loss On Sale of PPE,-,-,"-560,000",-,-
Earnings Losses from Equity Investments,"-676,000","103,000","102,000","-320,000","-926,000"
Depreciation Amortization Depletion,"4,726,000","4,160,000","3,011,000","2,782,000","2,527,000"
Depreciation & amortization,"4,726,000","4,160,000","3,011,000","2,782,000","2,527,000"
Deferred Tax,"-2,147,000","117,000","-1,573,000","334,000","1,214,000"
Deferred Income Tax,"605,000","117,000","-1,573,000","334,000","1,214,000"
Stock based compensation,"734,000","711,000","393,000","364,000","393,000"
Other non-cash items,"210,000","206,000","441,000","503,000","445,000"
Change in working capital,"-306,000","-6,186,000","-1,360,000","-1,185,000","-1,003,000"
Change in Receivables,"-291,000","55,000","-720,000","107,000","-393,000"
Change in Inventory,"-174,000","-223,000","-17,000","-5,000","186,000"
Change in Payables And Accrued Expense,"-2,014,000","191,000","235,000","-368,000","40,000"
Change in Other Current Assets,"-213,000","390,000","-1,450,000","-1,127,000","-238,000"
Change in Other Working Capital,"-6,985,000","-6,599,000","592,000","208,000","-598,000"
Dividend Received CFO,"803,000","754,000","775,000","788,000","799,000"
Investing Cash Flow,"-4,132,000","-4,118,000","-5,336,000","-4,111,000","-5,758,000"
Cash Flow from Continuing Investing Activities,"-15,110,000","-15,096,000","-5,336,000","-4,111,000","-5,758,000"
Net PPE Purchase And Sale,"-5,019,000","-4,876,000","-4,465,000","-3,623,000","-4,773,000"
Purchase of PPE,"-4,602,000","-4,876,000","-4,465,000","-3,623,000","-4,773,000"
Net Business Purchase And Sale,0,"-9,901,000","-1,581,000","-417,000","-805,000"
Purchase of Business,0,"-9,901,000","-1,581,000","-417,000","-850,000"
Sale of Business,-,-,-,-,"45,000"
Net Other Investing Changes,"-190,000","-319,000","710,000","-71,000","-180,000"
Cash from Discontinued Investing Activities,"11,176,000","10,978,000",-,-,-
Financing Cash Flow,"438,000","-1,090,000","-8,843,000","-8,959,000","-6,991,000"
Cash Flow from Continuing Financing Activities,"1,064,000","-464,000","-8,843,000","-8,959,000","-6,991,000"
Net Issuance Payments of Debt,"5,156,000","3,677,000","-2,583,000","3,703,000","2,940,000"
Net Long Term Debt Issuance,"-636,000","-641,000","-815,000","2,456,000","3,860,000"
Long Term Debt Issuance,"24,922,000","38,240,000","1,056,000","4,820,000","6,065,000"
Long Term Debt Payments,"-38,927,000","-38,881,000","-1,871,000","-2,364,000","-2,205,000"
Net Short Term Debt Issuance,"5,792,000","4,318,000","-1,768,000","1,247,000","-920,000"
Net Common Stock Issuance,-,0,"-3,577,000","-9,368,000","-7,499,000"
Common Stock Payments,-,0,"-3,577,000","-9,368,000","-7,499,000"
Cash Dividends Paid,"-3,172,000","-2,895,000","-2,515,000","-2,445,000","-2,313,000"
Common Stock Dividend Paid,"-3,172,000","-2,895,000","-2,515,000","-2,445,000","-2,313,000"
Proceeds from Stock Option Exercised,"407,000","318,000","210,000","276,000","259,000"
Net Other Financing Charges,"-1,604,000","-1,564,000","-378,000","-1,125,000","-378,000"
Cash from Discontinued Financing Activities,"-447,000","-626,000",-,-,-
Cash Flow from Discontinued Operation,"603,000","622,000",-,-,-
End Cash Position,"6,887,000","5,455,000","4,155,000","4,064,000","4,610,000"
Changes in Cash,"2,424,000","1,398,000","116,000","-727,000","464,000"
Effect of Exchange Rate Changes,"-13,000","-98,000","-25,000","31,000","-123,000"
Beginning Cash Position,"4,463,000","4,155,000","4,064,000","4,760,000","4,269,000"
Income Tax Paid Supplemental Data,-,"9,259,000","2,503,000","3,801,000","4,133,000"
Interest Paid Supplemental Data,-,"1,142,000","631,000","466,000","395,000"
Capital Expenditure,"-5,019,000","-4,876,000","-4,465,000","-3,623,000","-4,773,000"
Issuance of Debt,"38,291,000","38,240,000","1,056,000","4,820,000","6,065,000"
Repayment of Debt,"-38,927,000","-38,881,000","-1,871,000","-2,364,000","-2,205,000"
Repurchase of Capital Stock,-,0,"-3,577,000","-9,368,000","-7,499,000"
Free Cash Flow,"496,000","1,108,000","9,830,000","8,720,000","8,440,000"
