,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"258,537,000","256,540,000","257,808,000","237,951,000"
Current Assets,"114,047,000","114,649,000","115,902,000","108,461,000"
"Cash, Cash Equivalents & Short Term Investments","34,651,000","33,951,000","38,927,000","38,827,000"
Cash And Cash Equivalents,"17,504,000","16,718,000","18,492,000","15,905,000"
Cash,"14,662,000","14,497,000","16,063,000","13,651,000"
Cash Equivalents,"2,842,000","2,221,000","2,429,000","2,254,000"
Other Short Term Investments,"17,147,000","17,233,000","20,435,000","22,922,000"
Receivables,"62,888,000","65,548,000","62,809,000","57,368,000"
Accounts receivable,"62,888,000","65,548,000","62,809,000","57,368,000"
Gross Accounts Receivable,"62,951,000","65,642,000","62,809,000","57,760,000"
Allowance For Doubtful Accounts Receivable,"-63,000","-94,000","-412,000","-392,000"
Inventory,"10,786,000","11,220,000","10,277,000","8,898,000"
Raw Materials,"4,402,000","4,536,000","4,397,000","3,843,000"
Finished Goods,"6,384,000","6,684,000","6,779,000","5,943,000"
Inventories Adjustments Allowances,-,-,"-899,000","-888,000"
Assets Held for Sale Current,"2,383,000",-,-,-
Other Current Assets,"3,339,000","3,930,000","3,889,000","3,368,000"
Total non-current assets,"144,490,000","141,891,000","141,906,000","129,490,000"
Net PPE,"36,469,000","36,178,000","35,327,000","32,072,000"
Gross PPE,"67,489,000","66,421,000","65,189,000","59,876,000"
Properties,0,0,0,0
Land And Improvements,"421,000","445,000","411,000","391,000"
Buildings And Improvements,"11,900,000","11,477,000","11,096,000","10,308,000"
Machinery Furniture Equipment,"53,458,000","52,433,000","51,074,000","47,007,000"
Construction in Progress,"1,710,000","2,066,000","2,608,000","2,170,000"
Accumulated Depreciation,"-31,020,000","-30,243,000","-29,862,000","-27,804,000"
Goodwill And Other Intangible Assets,"466,000","442,000",-,-
Goodwill,"278,000","264,000",-,-
Other Intangible Assets,"188,000","178,000",-,-
Investments And Advances,"31,749,000","31,828,000","31,320,000","32,133,000"
Long Term Equity Investment,"2,519,000","2,709,000","3,085,000","3,304,000"
Investments in Associatesat Cost,"2,519,000","2,709,000","3,085,000","3,304,000"
Other Investments,"29,230,000","29,119,000","28,235,000","28,829,000"
Non Current Accounts Receivable,"53,703,000","55,544,000","56,182,000","49,924,000"
Non Current Deferred Assets,"11,863,000","10,412,000","10,973,000","9,705,000"
Non Current Deferred Taxes Assets,"11,863,000","10,412,000","10,973,000","9,705,000"
Other Non Current Assets,"10,240,000","7,487,000","8,104,000","5,656,000"
Total Liabilities Net Minority Interest,"225,307,000","220,574,000","222,890,000","208,764,000"
Current Liabilities,"98,132,000","95,569,000","94,600,000","90,281,000"
Payables And Accrued Expenses,"21,801,000","22,508,000","24,339,000","22,270,000"
Payables,"20,673,000","21,520,000","23,282,000","21,296,000"
Accounts Payable,"20,673,000","21,520,000","23,282,000","21,296,000"
Current Accrued Expenses,"1,128,000","988,000","1,057,000","974,000"
Interest Payable,"1,128,000","988,000","1,057,000","974,000"
Pension & Other Post Retirement Benefit Plans Current,"2,374,000","2,298,000","2,238,000","2,065,000"
Current Debt And Capital Lease Obligation,"54,313,000","53,493,000","51,621,000","49,669,000"
Current Debt,"53,946,000","53,493,000","51,621,000","49,669,000"
Other Current Borrowings,"53,946,000","53,493,000","51,621,000","49,669,000"
Current Capital Lease Obligation,"367,000",-,-,-
Current Deferred Liabilities,"2,091,000","2,095,000","2,107,000","3,866,000"
Current Deferred Revenue,"2,091,000","2,095,000","2,107,000","3,866,000"
Other Current Liabilities,"17,553,000","15,175,000","14,295,000","12,411,000"
Total Non Current Liabilities Net Minority Interest,"127,175,000","125,005,000","128,290,000","118,483,000"
Long Term Debt And Capital Lease Obligation,"102,408,000","100,720,000","102,666,000","93,301,000"
Long Term Debt,"101,361,000","100,720,000","102,666,000","93,301,000"
Long Term Capital Lease Obligation,"1,047,000",-,-,-
Non Current Deferred Liabilities,"4,681,000","4,582,000","4,644,000","4,378,000"
Non Current Deferred Taxes Liabilities,"490,000","597,000","815,000","691,000"
Non Current Deferred Revenue,"4,191,000","3,985,000","3,829,000","3,687,000"
Employee Benefits,"16,722,000","15,723,000","16,892,000","16,729,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"15,618,000","14,643,000","15,753,000","15,666,000"
Preferred Securities Outside Stock Equity,0,"100,000","98,000","96,000"
