,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"133,376,000","97,334,000","84,524,000","64,961,000"
Current Assets,"66,225,000","50,480,000","48,563,000","34,401,000"
"Cash, Cash Equivalents & Short Term Investments","54,855,000","41,114,000","41,711,000","29,449,000"
Cash And Cash Equivalents,"19,079,000","10,019,000","8,079,000","8,903,000"
Cash,"4,735,000","2,713,000","2,212,000","1,364,000"
Cash Equivalents,"14,344,000","7,306,000","5,867,000","7,539,000"
Other Short Term Investments,"35,776,000","31,095,000","33,632,000","20,546,000"
Receivables,"9,518,000","7,587,000","5,832,000","3,993,000"
Accounts receivable,"9,518,000","7,587,000","5,832,000","3,993,000"
Gross Accounts Receivable,"9,724,000","7,816,000","6,021,000","4,087,000"
Allowance For Doubtful Accounts Receivable,"-206,000","-229,000","-189,000","-94,000"
Prepaid Assets,"1,852,000","1,779,000","1,020,000","959,000"
Total non-current assets,"67,151,000","46,854,000","35,961,000","30,560,000"
Net PPE,"44,783,000","24,683,000","13,721,000","8,591,000"
Gross PPE,"55,446,000","31,573,000","18,337,000","11,803,000"
Properties,0,0,0,0
Land And Improvements,"1,097,000","899,000","798,000","696,000"
Buildings And Improvements,"11,226,000","7,401,000","4,909,000","3,109,000"
Machinery Furniture Equipment,"18,817,000","14,204,000","8,679,000","5,577,000"
Other Properties,"11,095,000",-,-,-
Construction in Progress,"10,099,000","7,228,000","2,992,000","1,890,000"
Leases,"3,112,000","1,841,000","959,000","531,000"
Accumulated Depreciation,"-10,663,000","-6,890,000","-4,616,000","-3,212,000"
Goodwill And Other Intangible Assets,"19,609,000","19,595,000","20,105,000","20,657,000"
Goodwill,"18,715,000","18,301,000","18,221,000","18,122,000"
Other Intangible Assets,"894,000","1,294,000","1,884,000","2,535,000"
Other Non Current Assets,"2,759,000","2,576,000","2,135,000","1,312,000"
Total Liabilities Net Minority Interest,"32,322,000","13,207,000","10,177,000","5,767,000"
Current Liabilities,"15,053,000","7,017,000","3,760,000","2,875,000"
Payables And Accrued Expenses,"9,505,000","3,383,000","1,685,000","913,000"
Payables,"2,873,000","1,852,000","1,000,000","582,000"
Accounts Payable,"1,363,000","820,000","380,000","302,000"
Total Tax Payable,"624,000","491,000","230,000",-
Other Payable,"886,000","541,000","390,000","280,000"
Current Accrued Expenses,"6,632,000","1,531,000","685,000","331,000"
Pension & Other Post Retirement Benefit Plans Current,"1,704,000","1,203,000","776,000","636,000"
Current Debt And Capital Lease Obligation,"1,077,000","500,000",-,-
Current Debt,"277,000","500,000",-,-
Current Notes Payable,"624,000","491,000",-,0
Line of Credit,"277,000","500,000",-,-
Current Capital Lease Obligation,"800,000",-,-,0
Current Deferred Liabilities,"269,000","147,000","98,000","90,000"
Current Deferred Revenue,"269,000","147,000","98,000","90,000"
Other Current Liabilities,"2,498,000","1,784,000","1,201,000","1,236,000"
Total Non Current Liabilities Net Minority Interest,"17,269,000","6,190,000","6,417,000","2,892,000"
Long Term Debt And Capital Lease Obligation,"9,524,000",-,-,0
Long Term Capital Lease Obligation,"9,524,000",-,-,0
Non Current Deferred Liabilities,"1,039,000","673,000",-,-
Non Current Deferred Taxes Liabilities,"1,039,000","673,000",-,-
Tradeand Other Payables Non Current,"5,651,000","4,655,000","5,372,000","2,431,000"
Other Non Current Liabilities,"1,055,000","862,000","1,045,000","461,000"
Total Equity Gross Minority Interest,"101,054,000","84,127,000","74,347,000","59,194,000"
Stockholders' Equity,"101,054,000","84,127,000","74,347,000","59,194,000"
Capital Stock,0,0,0,0
Common Stock,0,0,0,0
Additional Paid in Capital,"45,851,000","42,906,000","40,584,000","38,227,000"
Retained Earnings,"55,692,000","41,981,000","33,990,000","21,670,000"
Gains Losses Not Affecting Retained Earnings,"-489,000","-760,000","-227,000","-703,000"
Total Capitalization,"101,054,000","84,127,000","74,347,000","59,194,000"
Common Stock Equity,"101,054,000","84,127,000","74,347,000","59,194,000"
Capital Lease Obligations,"10,324,000",-,-,0
Net Tangible Assets,"81,445,000","64,532,000","54,242,000","38,537,000"
Working Capital,"51,172,000","43,463,000","44,803,000","31,526,000"
Invested Capital,"101,331,000","84,627,000","74,347,000","59,194,000"
Tangible Book Value,"81,445,000","64,532,000","54,242,000","38,537,000"
Total Debt,"10,601,000","500,000",-,0
Share Issued,"2,852,000","2,854,000","2,906,000","2,896,000"
Ordinary Shares Number,"2,852,000","2,854,000","2,906,000","2,892,000"
Treasury Shares Number,-,-,-,"4,000"
