,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"55,337,000","54,520,000","47,971,000","37,091,000","36,036,000"
Cash Flow from Continuing Operating Activities,"55,337,000","54,520,000","47,971,000","37,091,000","36,036,000"
Net Income from Continuing Operations,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Operating Gains Losses,"40,000","-2,798,000","-6,650,000","194,000","275,000"
Gain Loss On Sale of Business,-,-,-,-,0
Gain Loss On Investment Securities,"40,000","-2,798,000","-6,650,000","194,000","275,000"
Depreciation Amortization Depletion,"12,827,000","11,781,000","9,035,000","6,915,000","6,144,000"
Depreciation & amortization,"12,827,000","11,781,000","9,035,000","6,915,000","6,144,000"
Depreciation,"11,891,000","10,856,000","8,164,000","6,103,000","5,267,000"
Amortization,"936,000","925,000","871,000","812,000","877,000"
Amortization of Intangibles,"936,000","925,000","871,000","812,000","877,000"
Deferred Tax,"-863,000","173,000","778,000","258,000","-38,000"
Deferred Income Tax,"-863,000","173,000","778,000","258,000","-38,000"
Stock based compensation,"11,842,000","10,794,000","9,353,000","7,679,000","6,703,000"
Other non-cash items,"125,000","-592,000","-189,000","137,000","174,000"
Change in working capital,"-168,000","819,000","4,908,000","9,246,000","3,300,000"
Change in Receivables,"-1,844,000","-4,340,000","-2,169,000","-3,768,000","-2,578,000"
Changes in Account Receivables,"-1,844,000","-4,340,000","-2,169,000","-3,768,000","-2,578,000"
Change in Prepaid Assets,-,-,-,-,"312,000"
Change in Payables And Accrued Expense,"4,820,000","8,871,000","10,164,000","6,577,000","2,218,000"
Change in Payable,"182,000","428,000","1,067,000","731,000","110,000"
Change in Account Payable,"182,000","428,000","1,067,000","731,000","110,000"
Change in Accrued Expense,"4,638,000","8,443,000","9,097,000","5,846,000","2,108,000"
Change in Other Current Assets,"-804,000","-621,000","-1,207,000","-2,164,000",-
Change in Other Working Capital,"-2,340,000","-3,091,000","-1,880,000","8,601,000","3,348,000"
Investing Cash Flow,"-23,943,000","-29,491,000","-28,504,000","-31,401,000","-31,165,000"
Cash Flow from Continuing Investing Activities,"-23,943,000","-29,491,000","-28,504,000","-31,401,000","-31,165,000"
Net PPE Purchase And Sale,"-24,180,000","-23,548,000","-25,041,000","-13,085,000","-9,972,000"
Purchase of PPE,"-24,180,000","-23,548,000","-25,139,000","-13,184,000","-10,212,000"
Sale of PPE,-,-,"98,000","99,000","240,000"
Net Intangibles Purchase And Sale,-,"-2,515,000","-1,491,000","-287,000","-986,000"
Purchase of Intangibles,-,"-2,515,000","-1,491,000","-287,000","-986,000"
Net Business Purchase And Sale,"-2,623,000","-2,515,000","-1,491,000","-287,000","-986,000"
Purchase of Business,"-2,623,000","-2,515,000","-1,491,000","-287,000","-986,000"
Sale of Business,-,-,-,-,0
Net Investment Purchase And Sale,"1,829,000","-4,017,000","-1,972,000","-19,448,000","-17,779,000"
Purchase of Investment,"-121,850,000","-102,247,000","-52,231,000","-93,940,000","-85,618,000"
Sale of Investment,"123,679,000","98,230,000","50,259,000","74,492,000","67,839,000"
Net Other Investing Changes,"1,031,000","589,000",-,"1,419,000","-2,428,000"
Financing Cash Flow,"-29,964,000","-23,209,000","-13,179,000","-8,298,000","-8,332,000"
Cash Flow from Continuing Financing Activities,"-29,964,000","-23,209,000","-13,179,000","-8,298,000","-8,332,000"
Net Issuance Payments of Debt,"-276,000","-268,000","-61,000","-86,000","-1,335,000"
Net Long Term Debt Issuance,"-276,000","-268,000","-61,000","-86,000","-1,335,000"
Long Term Debt Issuance,"1,898,000","317,000","6,766,000","4,291,000","8,729,000"
Long Term Debt Payments,"-2,174,000","-585,000","-6,827,000","-4,377,000","-10,064,000"
Net Common Stock Issuance,"-27,142,000","-18,396,000","-8,125,000","-4,046,000","-3,693,000"
Common Stock Issuance,-,-,"950,000","800,000",-
Common Stock Payments,"-27,142,000","-18,396,000","-9,075,000","-4,846,000","-3,693,000"
Proceeds from Stock Option Exercised,"-5,046,000","-4,765,000","-4,993,000","-4,166,000","-3,304,000"
Net Other Financing Charges,"2,500,000","220,000",-,-,-
End Cash Position,"18,017,000","18,498,000","16,701,000","10,715,000","12,918,000"
Changes in Cash,"1,430,000","1,820,000","6,288,000","-2,608,000","-3,461,000"
Effect of Exchange Rate Changes,"-275,000","-23,000","-302,000","405,000","-170,000"
Beginning Cash Position,"16,587,000","16,701,000","10,715,000","12,918,000","16,549,000"
Income Tax Paid Supplemental Data,-,"8,203,000","5,671,000","6,191,000","1,643,000"
Interest Paid Supplemental Data,-,-,"69,000","84,000","84,000"
Capital Expenditure,"-24,180,000","-23,548,000","-25,139,000","-13,184,000","-10,212,000"
Issuance of Capital Stock,-,-,"950,000","800,000",-
Issuance of Debt,"1,898,000","317,000","6,766,000","4,291,000","8,729,000"
Repayment of Debt,"-2,174,000","-585,000","-6,827,000","-4,377,000","-10,064,000"
Repurchase of Capital Stock,"-27,142,000","-18,396,000","-9,075,000","-4,846,000","-3,693,000"
Free Cash Flow,"31,157,000","30,972,000","22,832,000","23,907,000","25,824,000"
