,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"166,030,000","161,857,000","136,819,000","110,855,000","90,272,000"
Operating Revenue,"165,010,000","160,743,000","136,224,000","95,375,000","79,383,000"
Cost of Revenue,"76,123,000","71,896,000","59,549,000","45,583,000","35,138,000"
Gross Profit,"89,907,000","89,961,000","77,270,000","65,272,000","55,134,000"
Operating Expense,"57,104,000","54,033,000","45,878,000","36,390,000","31,418,000"
Selling General and Administrative,"29,633,000","28,015,000","24,459,000","19,765,000","17,470,000"
General & Administrative Expense,"10,885,000","9,551,000","8,126,000","6,872,000","6,985,000"
Other G and A,"10,885,000","9,551,000","8,126,000","6,872,000","6,985,000"
Selling & Marketing Expense,"18,748,000","18,464,000","16,333,000","12,893,000","10,485,000"
Research & Development,"27,471,000","26,018,000","21,419,000","16,625,000","13,948,000"
Operating Income,"32,803,000","35,928,000","31,392,000","28,882,000","23,716,000"
Net Non Operating Interest Income Expense,"2,197,000","2,327,000","1,764,000","1,203,000","1,096,000"
Interest Income Non Operating,"2,271,000","2,427,000","1,878,000","1,312,000","1,220,000"
Interest Expense Non Operating,"74,000","100,000","114,000","109,000","124,000"
Total Other Finance Cost,-,"-5,394,000","-8,592,000","-1,047,000","-434,000"
Other Income Expense,"366,000","1,370,000","1,757,000","-2,892,000","-662,000"
Gain on Sale of Security,"-132,000","2,901,000","6,570,000","-315,000","-750,000"
Earnings from Equity Interest,"466,000","390,000","-120,000",-,-
Special Income Charges,0,"-1,697,000","-5,071,000","-2,736,000",-
Other Special Charges,-,"1,697,000","5,071,000","2,736,000",-
Other Non Operating Income Expenses,"32,000","-224,000","378,000","159,000","88,000"
Pretax Income,"35,366,000","39,625,000","34,913,000","27,193,000","24,150,000"
Tax Provision,"3,832,000","5,282,000","4,177,000","14,531,000","4,672,000"
Net Income Common Stockholders,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Net Income,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Net Income Including Non-Controlling Interests,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Net Income Continuous Operations,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Net Income Discontinuous Operations,-,-,-,-,0
Otherunder Preferred Stock Dividend,-,-,-,0,0
Diluted NI Available to Com Stockholders,"31,358,000","34,343,000","30,736,000","12,662,000","19,478,000"
Basic EPS,-,0.0496,0.0442,0.0183,0.0283
Diluted EPS,-,0.0492,0.0437,0.018,0.0279
Basic Average Shares,-,"692,596","695,070","693,049","687,782"
Diluted Average Shares,-,"698,556","703,341","703,444","699,390"
Total Operating Income as Reported,"32,803,000","34,231,000","26,321,000","26,146,000","23,716,000"
Total Expenses,"133,227,000","125,929,000","105,427,000","81,973,000","66,556,000"
Net Income from Continuing & Discontinued Operation,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Normalized Income,"31,651,697","33,299,132","29,416,880","14,492,600","20,083,250"
Interest Income,"2,271,000","2,427,000","1,878,000","1,312,000","1,220,000"
Interest Expense,"74,000","100,000","114,000","109,000","124,000"
Net Interest Income,"2,197,000","2,327,000","1,764,000","1,203,000","1,096,000"
EBIT,"35,440,000","39,725,000","35,027,000","27,302,000","24,274,000"
EBITDA,"48,267,000",-,-,-,-
Reconciled Cost of Revenue,"76,123,000","71,896,000","59,549,000","45,583,000","35,138,000"
Reconciled Depreciation,"12,827,000","11,781,000","9,035,000","6,915,000","6,144,000"
Net Income from Continuing Operation Net Minority Interest,"31,534,000","34,343,000","30,736,000","12,662,000","19,478,000"
Total Unusual Items Excluding Goodwill,"-132,000","1,204,000","1,499,000","-3,051,000","-750,000"
Total Unusual Items,"-132,000","1,204,000","1,499,000","-3,051,000","-750,000"
Normalized EBITDA,"48,399,000","50,302,000","42,563,000","37,268,000","31,168,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-14,303","160,132","179,880","-1,220,400","-144,750"
