,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"-5,073,000","23,868,000","20,421,000","-17,742,000","5,570,000"
Cash Flow from Continuing Operating Activities,"-5,073,000","23,868,000","20,421,000","-17,742,000","5,570,000"
Net Income from Continuing Operations,"5,380,000","8,466,000","10,459,000","4,286,000","7,398,000"
Operating Gains Losses,-,"-20,000","-160,000","-114,000","3,000"
Depreciation Amortization Depletion,"1,873,000","1,704,000","1,328,000","1,152,000","998,000"
Depreciation & amortization,"1,873,000","1,704,000","1,328,000","1,152,000","998,000"
Deferred Tax,-,"-334,000","-2,645,000","5,458,000","551,000"
Deferred Income Tax,-,"-334,000","-2,645,000","5,458,000","551,000"
Stock based compensation,"1,903,000","2,018,000","1,831,000","1,769,000","2,111,000"
Provision for Loan Lease And Other Losses,"3,154,000","1,065,000","674,000",-,-
Change in working capital,"-17,028,000","10,969,000","8,934,000","-30,293,000","-5,491,000"
Change in Receivables,-,-,-,"-30,082,000","-15,813,000"
Change in Loans,"749,000","-1,458,000",-,-,-
Change in Other Working Capital,"-17,777,000","12,427,000","8,934,000","-211,000","10,322,000"
Investing Cash Flow,"-51,333,000","-24,236,000","-22,677,000","-29,116,000","9,270,000"
Cash Flow from Continuing Investing Activities,"-51,333,000","-24,236,000","-22,677,000","-29,116,000","9,270,000"
Net Investment Purchase And Sale,"-27,214,000","-11,961,000","-3,379,000","-6,966,000","1,512,000"
Purchase of Investment,"-49,603,000","-29,773,000","-3,790,000","-9,853,000",-
Sale of Investment,"22,389,000","17,812,000","411,000","2,887,000","1,512,000"
Net Proceeds Payment for Loan,"-19,163,000","-9,661,000","-14,865,000","-17,156,000","-4,669,000"
Payment for Loans,"-19,163,000","-9,661,000","-14,865,000","-17,156,000","-4,669,000"
Net PPE Purchase And Sale,"-4,214,000","-1,811,000","-4,271,000","-2,611,000","-2,495,000"
Purchase of PPE,"-8,183,000","-8,443,000","-7,982,000","-3,185,000","-2,876,000"
Sale of PPE,"3,969,000","6,632,000","3,711,000","574,000","381,000"
Net Business Purchase And Sale,"-742,000","-803,000","-162,000","-2,383,000","14,922,000"
Purchase of Business,"-742,000","-803,000",-,-,-
Financing Cash Flow,"97,913,000","3,367,000","22,752,000","35,198,000","13,432,000"
Cash Flow from Continuing Financing Activities,"97,913,000","3,367,000","22,752,000","35,198,000","13,432,000"
Net Issuance Payments of Debt,"1,273,000","-24,008,000","7,121,000","29,360,000","8,703,000"
Net Long Term Debt Issuance,"-8,967,000","-21,972,000","4,198,000","30,266,000","11,017,000"
Long Term Debt Issuance,"51,396,000","29,638,000","50,923,000","65,748,000","54,949,000"
Long Term Debt Payments,"-60,363,000","-51,610,000","-46,725,000","-35,482,000","-43,932,000"
Net Short Term Debt Issuance,"10,240,000","-2,036,000","2,923,000","-906,000","-2,314,000"
Net Common Stock Issuance,"-4,763,000","-5,335,000","-3,256,000","-6,765,000","-6,072,000"
Common Stock Issuance,-,0,"38,000","7,000","6,000"
Common Stock Payments,"-4,763,000","-5,335,000","-3,294,000","-6,772,000","-6,078,000"
Net Preferred Stock Issuance,"-502,000","-2,000","-685,000","408,000","132,000"
Preferred Stock Issuance,"948,000","1,098,000",0,"1,495,000","1,303,000"
Preferred Stock Payments,"-1,450,000","-1,100,000","-685,000","-1,087,000","-1,171,000"
Cash Dividends Paid,"-2,358,000","-2,104,000","-1,810,000","-1,769,000","-1,706,000"
Net Other Financing Charges,"1,145,000","3,602,000","1,176,000","-542,000","2,317,000"
End Cash Position,"132,599,000","133,546,000","130,547,000","110,051,000","121,711,000"
Changes in Cash,"41,507,000","2,999,000","20,496,000","-11,660,000","28,272,000"
Beginning Cash Position,"91,092,000","130,547,000","110,051,000","121,711,000","93,439,000"
Income Tax Paid Supplemental Data,"1,472,000","1,266,000","1,270,000","1,420,000","1,060,000"
Interest Paid Supplemental Data,"15,548,000","18,645,000","16,720,000","11,170,000","7,140,000"
Capital Expenditure,"-8,183,000","-8,443,000","-7,982,000","-3,185,000","-2,876,000"
Issuance of Capital Stock,"948,000","1,098,000","38,000","1,502,000","1,309,000"
Issuance of Debt,"60,583,000","29,638,000","50,923,000","65,748,000","54,949,000"
Repayment of Debt,"-57,274,000","-51,610,000","-46,725,000","-35,482,000","-43,932,000"
Repurchase of Capital Stock,"-6,213,000","-6,435,000","-3,979,000","-7,859,000","-7,249,000"
Free Cash Flow,"-13,256,000","15,425,000","12,439,000","-20,927,000","2,694,000"
