,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,450,000","6,495,000","6,323,000","5,466,000","4,762,000"
Operating Revenue,"5,163,000","6,495,000","6,323,000","5,466,000","4,762,000"
Cost of Revenue,"4,925,000","5,279,000","4,959,000","5,714,000","6,288,000"
Gross Profit,"525,000","1,216,000","1,364,000","-248,000","-1,526,000"
Operating Expense,"788,000","630,000","835,000","941,000","1,857,000"
Selling General and Administrative,"412,000","397,000","473,000","434,000","415,000"
General & Administrative Expense,"412,000","397,000","473,000","434,000","415,000"
Other G and A,"412,000","397,000","473,000","434,000","415,000"
Other Operating Expenses,"376,000","233,000","362,000","507,000","1,442,000"
Operating Income,"-263,000","586,000","529,000","-1,189,000","-3,383,000"
Net Non Operating Interest Income Expense,"-417,000","-380,000","-399,000","-325,000","-338,000"
Interest Expense Non Operating,"417,000","380,000","399,000","325,000","338,000"
Other Income Expense,"-2,151,000","15,000","90,000","-4,264,000","-133,000"
Special Income Charges,"-2,118,000","22,000","-21,000","-4,289,000","-192,000"
Impairment of Capital Assets,"2,126,000",0,0,"4,203,000","67,000"
Write Off,-,0,0,"4,203,000","67,000"
Other Special Charges,-,-,"53,000",-,"148,000"
Gain on Sale of PPE,"8,000","22,000","32,000","-86,000","23,000"
Other Non Operating Income Expenses,"-33,000","-7,000","111,000","25,000","59,000"
Pretax Income,"-2,831,000","221,000","220,000","-5,778,000","-3,854,000"
Tax Provision,"147,000","461,000","335,000","-1,837,000","2,222,000"
Net Income Common Stockholders,"-3,187,000","-412,000","-328,000","-4,120,000","-6,173,000"
Net Income,"-3,187,000","-408,000","-282,000","-4,074,000","-6,132,000"
Net Income Including Non-Controlling Interests,"-2,978,000","-240,000","-115,000","-3,941,000","-6,076,000"
Net Income Continuous Operations,"-2,978,000","-240,000","-115,000","-3,941,000","-6,076,000"
Net Income Discontinuous Operations,-,-,-,0,0
Minority Interests,"-209,000","-168,000","-167,000","-133,000","-56,000"
Preferred Stock Dividends,-,"4,000","46,000","46,000","41,000"
Average Dilution Earnings,-,"4,000",-,-,-
Diluted NI Available to Com Stockholders,"-3,187,000","-412,000","-328,000","-4,120,000","-6,173,000"
Basic EPS,-,-0.0014,-0.0011,-0.0131,-0.0195
Diluted EPS,-,-0.0014,-0.0011,-0.0131,-0.0199
Basic Average Shares,-,"304,955","291,435","315,054","316,523"
Diluted Average Shares,-,"304,955","298,200","315,054","316,523"
Total Expenses,"5,713,000","5,909,000","5,794,000","6,655,000","8,145,000"
Interest Expense,"417,000","380,000","399,000","325,000","338,000"
Net Interest Income,"-417,000","-380,000","-399,000","-325,000","-338,000"
Net Income from Continuing & Discontinued Operation,"-3,187,000","-408,000","-282,000","-4,074,000","-6,132,000"
Normalized Income,"-1,640,860","-424,060","-266,670","-1,148,902","-6,016,800"
EBIT,"-2,414,000","601,000","619,000","-5,453,000","-3,516,000"
EBITDA,"-214,000",-,-,-,-
Reconciled Cost of Revenue,"4,925,000","5,279,000","4,959,000","5,714,000","6,288,000"
Reconciled Depreciation,"2,200,000","2,122,000","1,883,000","2,883,000","3,244,000"
Net Income from Continuing Operation Net Minority Interest,"-3,187,000","-408,000","-282,000","-4,074,000","-6,132,000"
Total Unusual Items Excluding Goodwill,"-2,118,000","22,000","-21,000","-4,289,000","-192,000"
Total Unusual Items,"-2,118,000","22,000","-21,000","-4,289,000","-192,000"
Normalized EBITDA,"1,904,000","2,701,000","2,523,000","1,719,000","-80,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-571,860","5,940","-5,670","-1,363,902","-76,800"
