,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"37,914,000","33,145,000","29,432,000","22,110,000","21,808,000"
Cash Flow from Continuing Operating Activities,"37,914,000","33,145,000","29,432,000","22,110,000","21,808,000"
Net Income from Continuing Operations,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Operating Gains Losses,"-1,574,000","-1,582,000","-82,000","-2,494,000","-432,000"
Gain Loss On Sale of Business,-,"-690,000","-497,000","-387,000",-
Earnings Losses from Equity Investments,"-884,000","-892,000","155,000","-2,583,000","-432,000"
Depreciation Amortization Depletion,"11,760,000","10,826,000","9,085,000","8,129,000","7,790,000"
Depreciation & amortization,"11,760,000","10,826,000","9,085,000","8,129,000","7,790,000"
Depreciation,"10,073,000","9,204,000","7,520,000","6,752,000","6,266,000"
Amortization,"1,687,000","1,622,000","1,565,000","1,377,000","1,524,000"
Amortization of Intangibles,"1,687,000","1,622,000","1,565,000","1,377,000","1,524,000"
Deferred Tax,-,-,"-1,749,000","1,548,000","257,000"
Deferred Income Tax,-,-,"-1,749,000","1,548,000","257,000"
Stock based compensation,"1,787,000","1,705,000","1,546,000","1,358,000","1,444,000"
Excess Tax Benefit from Stock Based Compensation,-,-,-,-,"-121,000"
Other non-cash items,-,-,-,"384,000","1,886,000"
Change in working capital,"2,280,000","1,148,000","-421,000","3,584,000","668,000"
Change in Receivables,"-1,201,000","-935,000","-1,714,000","-781,000","65,000"
Changes in Account Receivables,"-1,201,000","-935,000","-1,714,000","-781,000","65,000"
Change in Inventory,"-309,000","-1,481,000","-214,000","-1,300,000","119,000"
Change in Payables And Accrued Expense,"473,000","696,000","211,000","191,000","182,000"
Change in Payable,"473,000","696,000","211,000","191,000","182,000"
Change in Account Payable,"473,000","696,000","211,000","191,000","182,000"
Change in Other Working Capital,"3,034,000","2,868,000","1,296,000","5,474,000","302,000"
Investing Cash Flow,"-22,741,000","-14,405,000","-11,239,000","-15,762,000","-25,817,000"
Cash Flow from Continuing Investing Activities,"-22,741,000","-14,405,000","-11,239,000","-15,762,000","-25,817,000"
Net PPE Purchase And Sale,"-16,014,000","-16,213,000","-15,181,000","-11,778,000","-9,625,000"
Purchase of PPE,"-16,014,000","-16,213,000","-15,181,000","-11,778,000","-9,625,000"
Net Business Purchase And Sale,"-26,000","1,119,000","2,286,000","-12,976,000","-16,433,000"
Purchase of Business,-,"-2,480,000","-1,064,000","-16,100,000","-16,433,000"
Sale of Business,"2,454,000","3,599,000","3,350,000","3,124,000",-
Net Investment Purchase And Sale,"-6,900,000","-26,000","1,928,000","8,176,000","-1,093,000"
Purchase of Investment,"-21,198,000","-11,430,000","-13,346,000","-16,464,000","-21,506,000"
Sale of Investment,"14,298,000","11,404,000","15,274,000","24,640,000","20,413,000"
Net Other Investing Changes,"199,000","715,000","-272,000","816,000","1,334,000"
Financing Cash Flow,"-9,304,000","-17,565,000","-18,607,000","-8,475,000","-5,739,000"
Cash Flow from Continuing Financing Activities,"-9,304,000","-17,565,000","-18,607,000","-8,475,000","-5,739,000"
Net Issuance Payments of Debt,"7,673,000","765,000","-2,143,000","-364,000","1,219,000"
Net Long Term Debt Issuance,"8,669,000","765,000","-2,603,000","-364,000","1,234,000"
Long Term Debt Issuance,"13,038,000","3,392,000","423,000","7,716,000","2,734,000"
Long Term Debt Payments,"-4,369,000","-2,627,000","-3,026,000","-8,080,000","-1,500,000"
Net Short Term Debt Issuance,-,-,"460,000",-,"-15,000"
Net Common Stock Issuance,"-12,226,000","-13,576,000","-10,730,000","-3,615,000","-2,587,000"
Common Stock Payments,"-12,226,000","-13,576,000","-10,730,000","-3,615,000","-2,587,000"
Cash Dividends Paid,"-5,559,000","-5,576,000","-5,541,000","-5,072,000","-4,925,000"
Common Stock Dividend Paid,"-5,559,000","-5,576,000","-5,541,000","-5,072,000","-4,925,000"
Proceeds from Stock Option Exercised,"957,000","750,000","555,000","770,000","1,108,000"
Net Other Financing Charges,"-149,000","72,000","-748,000","-194,000","-554,000"
End Cash Position,"8,736,000","4,194,000","3,019,000","3,433,000","5,560,000"
Changes in Cash,"5,869,000","1,175,000","-414,000","-2,127,000","-9,748,000"
Effect of Exchange Rate Changes,-,-,-,-,0
Beginning Cash Position,"2,867,000","3,019,000","3,433,000","5,560,000","15,308,000"
Income Tax Paid Supplemental Data,"1,572,000","2,110,000","3,813,000","3,824,000","877,000"
Interest Paid Supplemental Data,"478,000","469,000","448,000","624,000","682,000"
Capital Expenditure,"-16,014,000","-16,213,000","-15,181,000","-11,778,000","-9,625,000"
Issuance of Debt,"13,038,000","3,392,000","423,000","7,716,000","2,734,000"
Repayment of Debt,"-4,369,000","-2,627,000","-3,026,000","-8,080,000","-1,500,000"
Repurchase of Capital Stock,"-12,226,000","-13,576,000","-10,730,000","-3,615,000","-2,587,000"
Free Cash Flow,"21,900,000","16,932,000","14,251,000","10,332,000","12,183,000"
