,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"78,955,000","71,965,000","70,848,000","62,761,000","59,387,000"
Operating Revenue,"78,955,000","71,965,000","70,848,000","62,761,000","59,387,000"
Cost of Revenue,"33,259,000","29,825,000","27,111,000","23,692,000","23,196,000"
Gross Profit,"45,696,000","42,140,000","43,737,000","39,069,000","36,191,000"
Operating Expense,"19,337,000","19,712,000","20,493,000","20,749,000","21,431,000"
Selling General and Administrative,"5,916,000","6,150,000","6,750,000","7,474,000","8,397,000"
Research & Development,"13,221,000","13,362,000","13,543,000","13,098,000","12,740,000"
Depreciation Amortization Depletion,-,"200,000","200,000","177,000","294,000"
Depreciation & amortization,-,"200,000","200,000","177,000","294,000"
Amortization,-,"200,000","200,000","177,000","294,000"
Amortization of Intangibles,-,"200,000","200,000","177,000","294,000"
Operating Income,"26,359,000","22,428,000","23,244,000","18,320,000","14,760,000"
Net Non Operating Interest Income Expense,"-138,000","-6,000","-30,000","-205,000","-511,000"
Interest Income Non Operating,"399,000","483,000","438,000","441,000","222,000"
Interest Expense Non Operating,"537,000","489,000","468,000","646,000","733,000"
Total Other Finance Cost,-,"-484,000","-126,000","235,000","444,000"
Other Income Expense,"1,115,000","1,636,000","103,000","2,237,000","-1,313,000"
Gain on Sale of Security,"1,344,000","1,661,000","299,000","3,716,000","731,000"
Earnings from Equity Interest,"671,000","1,091,000","-125,000","-232,000","-38,000"
Special Income Charges,"-633,000","-515,000","-352,000","-1,217,000","-2,073,000"
Restructuring & Mergers Acquisition,"331,000","393,000","-72,000","384,000","1,886,000"
Write Off,"302,000","122,000","424,000","833,000","187,000"
Other Non Operating Income Expenses,"404,000","490,000","156,000","-30,000","67,000"
Pretax Income,"27,336,000","24,058,000","23,317,000","20,352,000","12,936,000"
Tax Provision,"3,675,000","3,010,000","2,264,000","10,751,000","2,620,000"
Net Income Common Stockholders,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Net Income,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Net Income Including Non-Controlling Interests,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Net Income Continuous Operations,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Diluted NI Available to Com Stockholders,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Basic EPS,-,0.0048,0.0046,0.002,0.0022
Diluted EPS,-,0.0047,0.0045,0.002,0.0021
Basic Average Shares,-,"4,417,000","4,611,000","4,701,000","4,730,000"
Diluted Average Shares,-,"4,473,000","4,701,000","4,835,000","4,875,000"
Total Operating Income as Reported,"25,979,000","22,035,000","23,316,000","17,936,000","12,874,000"
Total Expenses,"52,596,000","49,537,000","47,604,000","44,441,000","44,627,000"
Net Income from Continuing & Discontinued Operation,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Normalized Income,"23,045,585","20,045,250","21,100,859","8,101,600","11,385,574"
Interest Income,"399,000","483,000","438,000","441,000","222,000"
Interest Expense,"537,000","489,000","468,000","646,000","733,000"
Net Interest Income,"-138,000","-6,000","-30,000","-205,000","-511,000"
EBIT,"27,873,000","24,547,000","23,785,000","20,998,000","13,669,000"
EBITDA,"39,633,000",-,-,-,-
Reconciled Cost of Revenue,"33,259,000","19,199,000","18,226,000","15,740,000","15,700,000"
Reconciled Depreciation,"11,760,000","10,826,000","9,085,000","8,129,000","7,790,000"
Net Income from Continuing Operation Net Minority Interest,"23,661,000","21,048,000","21,053,000","9,601,000","10,316,000"
Total Unusual Items Excluding Goodwill,"711,000","1,146,000","-53,000","2,499,000","-1,342,000"
Total Unusual Items,"711,000","1,146,000","-53,000","2,499,000","-1,342,000"
Normalized EBITDA,"38,922,000","34,227,000","32,923,000","26,628,000","22,801,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"95,585","143,250","-5,141","999,600","-272,426"
