,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"157,728,000","152,954,000","157,303,000","141,208,000"
Current Assets,"45,274,000","46,033,000","43,088,000","65,032,000"
"Cash, Cash Equivalents & Short Term Investments","19,287,000","19,687,000","18,296,000","41,907,000"
Cash And Cash Equivalents,"17,305,000","18,107,000","17,824,000","18,972,000"
Other Short Term Investments,"1,982,000","1,580,000","472,000","22,935,000"
Receivables,"14,481,000","14,098,000","13,490,000","11,699,000"
Accounts receivable,"14,481,000","14,098,000","13,490,000","11,699,000"
Gross Accounts Receivable,"14,707,000","14,346,000","13,781,000","11,951,000"
Allowance For Doubtful Accounts Receivable,"-226,000","-248,000","-291,000","-252,000"
Inventory,"9,020,000","8,599,000","8,765,000","8,144,000"
Raw Materials,"1,117,000","1,114,000","1,140,000","952,000"
Work in Process,"1,832,000","2,109,000","2,317,000","2,185,000"
Finished Goods,"6,071,000","5,376,000","5,308,000","5,007,000"
Prepaid Assets,"2,392,000","2,699,000","2,537,000","3,282,000"
Assets Held for Sale Current,"94,000","950,000",-,-
Total non-current assets,"112,454,000","106,921,000","114,215,000","76,176,000"
Net PPE,"17,658,000","17,035,000","17,005,000","15,912,000"
Gross PPE,"43,332,000","41,851,000","41,466,000","37,773,000"
Properties,0,0,0,0
Land And Improvements,"854,000","807,000","829,000","753,000"
Buildings And Improvements,"11,877,000","11,176,000","11,240,000","10,112,000"
Machinery Furniture Equipment,"26,964,000","25,992,000","25,949,000","23,554,000"
Construction in Progress,"3,637,000","3,876,000","3,448,000","3,354,000"
Accumulated Depreciation,"-25,674,000","-24,816,000","-24,461,000","-21,861,000"
Goodwill And Other Intangible Assets,"81,282,000","78,064,000","85,134,000","49,681,000"
Goodwill,"33,639,000","30,453,000","31,906,000","22,805,000"
Other Intangible Assets,"47,643,000","47,611,000","53,228,000","26,876,000"
Non Current Deferred Assets,"7,819,000","7,640,000","7,105,000","6,148,000"
Non Current Deferred Taxes Assets,"7,819,000","7,640,000","7,105,000","6,148,000"
Other Non Current Assets,"5,695,000","4,182,000","4,971,000","4,435,000"
Total Liabilities Net Minority Interest,"98,257,000","93,202,000","97,143,000","70,790,000"
Current Liabilities,"35,964,000","31,230,000","30,537,000","26,287,000"
Payables And Accrued Expenses,"31,408,000","25,336,000","23,678,000","18,927,000"
Payables,"10,810,000","8,355,000","9,164,000","7,889,000"
Accounts Payable,"8,544,000","7,537,000","7,310,000","6,918,000"
Total Tax Payable,"2,266,000","818,000","1,854,000","971,000"
Income Tax Payable,"2,266,000","818,000","1,854,000","971,000"
Current Accrued Expenses,"20,598,000","16,981,000","14,514,000","11,038,000"
Pension & Other Post Retirement Benefit Plans Current,"3,354,000","3,098,000","2,953,000","2,676,000"
Current Debt And Capital Lease Obligation,"1,202,000","2,796,000","3,906,000","4,684,000"
Current Debt,"1,202,000","2,796,000","3,906,000","4,684,000"
Total Non Current Liabilities Net Minority Interest,"62,293,000","61,972,000","66,606,000","44,503,000"
Long Term Debt And Capital Lease Obligation,"26,494,000","27,684,000","30,675,000","22,442,000"
Long Term Debt,"26,494,000","27,684,000","30,675,000","22,442,000"
Non Current Deferred Liabilities,"5,958,000","7,506,000","8,368,000","2,910,000"
Non Current Deferred Taxes Liabilities,"5,958,000","7,506,000","8,368,000","2,910,000"
Tradeand Other Payables Non Current,"7,444,000","8,242,000","8,472,000",-
Employee Benefits,"10,663,000","9,951,000","10,074,000","9,615,000"
Other Non Current Liabilities,"11,734,000","8,589,000","9,017,000","9,536,000"
Total Equity Gross Minority Interest,"59,471,000","59,752,000","60,160,000","70,418,000"
Stockholders' Equity,"59,471,000","59,752,000","60,160,000","70,418,000"
Capital Stock,"3,120,000","3,120,000","3,120,000","3,120,000"
Preferred Stock,0,0,0,0
Common Stock,"3,120,000","3,120,000","3,120,000","3,120,000"
Retained Earnings,"110,659,000","106,216,000","101,793,000","110,551,000"
Treasury Stock,"38,417,000","34,362,000","31,554,000","28,352,000"
Gains Losses Not Affecting Retained Earnings,"-15,891,000","-15,222,000","-13,199,000","-14,901,000"
Total Capitalization,"85,965,000","87,436,000","90,835,000","92,860,000"
Common Stock Equity,"59,471,000","59,752,000","60,160,000","70,418,000"
Net Tangible Assets,"-21,811,000","-18,312,000","-24,974,000","20,737,000"
Working Capital,"9,310,000","14,803,000","12,551,000","38,745,000"
Invested Capital,"87,167,000","90,232,000","94,741,000","97,544,000"
Tangible Book Value,"-21,811,000","-18,312,000","-24,974,000","20,737,000"
Total Debt,"27,696,000","30,480,000","34,581,000","27,126,000"
Net Debt,"10,391,000","12,373,000","16,757,000","8,154,000"
Share Issued,"3,119,843","3,119,843","3,119,843","3,119,843"
Ordinary Shares Number,"2,632,507","2,662,324","2,682,525","2,706,511"
Treasury Shares Number,"487,336","457,519","437,318","413,332"
