,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"20,735,000","23,416,000","22,201,000","21,056,000","18,767,000"
Cash Flow from Continuing Operating Activities,"20,735,000","23,416,000","22,201,000","21,056,000","18,767,000"
Net Income from Continuing Operations,"15,185,000","15,119,000","15,297,000","1,300,000","16,540,000"
Operating Gains Losses,"-135,000","-2,154,000","-1,217,000","-1,307,000","-563,000"
Net Foreign Currency Exchange Gain Loss,-,-,-,-,0
Depreciation Amortization Depletion,"7,016,000","7,009,000","6,929,000","5,642,000","3,754,000"
Depreciation & amortization,"7,016,000","7,009,000","6,929,000","5,642,000","3,754,000"
Deferred Tax,"-2,210,000","-2,476,000","-1,016,000","2,406,000","-341,000"
Deferred Income Tax,"-2,210,000","-2,476,000","-1,016,000","2,406,000","-341,000"
Asset Impairment Charge,"140,000","1,096,000","1,258,000","795,000","283,000"
Provision & Write Off of Assets,"96,000","-20,000","-31,000","17,000","-11,000"
Stock based compensation,"994,000","977,000","978,000","962,000","878,000"
Change in working capital,"632,000","3,865,000","3,000","11,241,000","-1,773,000"
Change in Receivables,"-473,000","-289,000","-1,185,000","-633,000","-1,065,000"
Changes in Account Receivables,"-473,000","-289,000","-1,185,000","-633,000","-1,065,000"
Change in Inventory,"-491,000","-277,000","-644,000","581,000","-249,000"
Change in Payables And Accrued Expense,"2,185,000","4,060,000","3,951,000","2,725,000","656,000"
Change in Other Current Assets,"-1,240,000","-1,054,000","-275,000","-411,000","18,000"
Change in Other Current Liabilities,"651,000","1,425,000","-1,844,000","8,979,000","-1,133,000"
Investing Cash Flow,"-11,092,000","-6,194,000","-3,167,000","-14,868,000","-4,761,000"
Cash Flow from Continuing Investing Activities,"-11,092,000","-6,194,000","-3,167,000","-14,868,000","-4,761,000"
Net PPE Purchase And Sale,"-3,292,000","-3,498,000","-3,670,000","-3,279,000","-3,226,000"
Purchase of PPE,"-3,292,000","-3,498,000","-3,670,000","-3,279,000","-3,226,000"
Net Business Purchase And Sale,"-1,413,000","-5,810,000","-899,000","-35,151,000","-4,509,000"
Purchase of Business,"-1,413,000","-5,810,000","-899,000","-35,151,000","-4,509,000"
Net Investment Purchase And Sale,"-6,272,000","-195,000","-1,337,000","21,964,000","1,830,000"
Purchase of Investment,"-10,954,000","-3,920,000","-5,626,000","-6,153,000","-33,950,000"
Sale of Investment,"4,682,000","3,725,000","4,289,000","28,117,000","35,780,000"
Net Other Investing Changes,"-115,000","3,309,000","2,739,000","1,598,000","1,144,000"
Financing Cash Flow,"-12,637,000","-18,015,000","-18,510,000","-7,673,000","-8,551,000"
Cash Flow from Continuing Financing Activities,"-12,637,000","-18,015,000","-18,510,000","-7,673,000","-8,551,000"
Net Issuance Payments of Debt,"810,000","-2,881,000","-3,949,000","6,754,000","7,875,000"
Net Long Term Debt Issuance,"-1,826,000","-2,820,000","-1,550,000","7,215,000","9,781,000"
Long Term Debt Issuance,"3,000","3,000","5,000","8,992,000","12,004,000"
Long Term Debt Payments,"-1,829,000","-2,823,000","-1,555,000","-1,777,000","-2,223,000"
Net Short Term Debt Issuance,"2,636,000","-61,000","-2,399,000","-461,000","-1,906,000"
Short Term Debt Issuance,"2,741,000","39,000","80,000","869,000","111,000"
Short Term Debt Payments,"-105,000","-100,000","-2,479,000","-1,330,000","-2,017,000"
Net Common Stock Issuance,"-4,471,000","-6,746,000","-5,868,000","-6,358,000","-8,979,000"
Common Stock Payments,"-4,471,000","-6,746,000","-5,868,000","-6,358,000","-8,979,000"
Cash Dividends Paid,"-10,163,000","-9,917,000","-9,494,000","-8,943,000","-8,621,000"
Common Stock Dividend Paid,"-10,163,000","-9,917,000","-9,494,000","-8,943,000","-8,621,000"
Proceeds from Stock Option Exercised,"1,199,000","954,000","949,000","1,062,000","1,189,000"
Net Other Financing Charges,"-12,000","575,000","-148,000","-188,000","-15,000"
End Cash Position,"11,382,000","17,305,000","18,107,000","17,824,000","18,972,000"
Changes in Cash,"-2,994,000","-793,000","524,000","-1,485,000","5,455,000"
Effect of Exchange Rate Changes,"-208,000","-9,000","-241,000","337,000","-215,000"
Beginning Cash Position,"14,376,000","18,107,000","17,824,000","18,972,000","13,732,000"
Income Tax Paid Supplemental Data,-,"4,191,000","4,570,000","-3,312,000","2,843,000"
Interest Paid Supplemental Data,-,"995,000","1,049,000","-960,000","730,000"
Capital Expenditure,"-3,292,000","-3,498,000","-3,670,000","-3,279,000","-3,226,000"
Issuance of Debt,"2,744,000","42,000","85,000","9,861,000","12,115,000"
Repayment of Debt,"-1,934,000","-2,923,000","-4,034,000","-3,107,000","-4,240,000"
Repurchase of Capital Stock,"-4,471,000","-6,746,000","-5,868,000","-6,358,000","-8,979,000"
Free Cash Flow,"17,443,000","19,918,000","18,531,000","17,777,000","15,541,000"
