,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"101,450,000","103,461,000","120,232,000","120,480,000"
Current Assets,"8,097,000","9,075,000","7,266,000","8,753,000"
"Cash, Cash Equivalents & Short Term Investments","2,279,000","1,130,000","1,629,000","4,204,000"
Cash And Cash Equivalents,"2,279,000","1,130,000","1,629,000","4,204,000"
Receivables,"2,146,000","2,281,000","1,856,000","898,000"
Accounts receivable,"1,973,000","2,129,000","1,274,000","898,000"
Gross Accounts Receivable,"2,006,000","2,153,000","1,297,000","918,000"
Allowance For Doubtful Accounts Receivable,"-33,000","-24,000","-23,000","-20,000"
Taxes Receivable,"173,000","152,000","582,000",-
Inventory,"2,721,000","2,667,000","2,815,000","2,684,000"
Raw Materials,"511,000","510,000","560,000","542,000"
Work in Process,"364,000","343,000","439,000","388,000"
Finished Goods,"1,846,000","1,814,000","1,816,000","1,754,000"
Prepaid Assets,"384,000","400,000",-,-
Assets Held for Sale Current,"122,000","1,376,000",-,-
Other Current Assets,"445,000","1,221,000","966,000","967,000"
Total non-current assets,"93,353,000","94,386,000","112,966,000","111,727,000"
Net PPE,"7,055,000","7,078,000","7,120,000","6,688,000"
Gross PPE,"10,242,000","9,662,000","9,214,000","8,518,000"
Properties,0,0,0,0
Land And Improvements,"210,000","218,000","250,000","264,000"
Buildings And Improvements,"2,447,000","2,375,000","2,232,000","1,884,000"
Machinery Furniture Equipment,"6,552,000","5,904,000","5,364,000","4,770,000"
Construction in Progress,"1,033,000","1,165,000","1,368,000","1,600,000"
Accumulated Depreciation,"-3,187,000","-2,584,000","-2,094,000","-1,830,000"
Goodwill And Other Intangible Assets,"84,198,000","85,971,000","104,273,000","103,422,000"
Goodwill,"35,546,000","36,503,000","44,824,000","44,125,000"
Other Intangible Assets,"48,652,000","49,468,000","59,449,000","59,297,000"
Other Non Current Assets,"2,100,000","1,337,000","1,573,000","1,617,000"
Total Liabilities Net Minority Interest,"49,701,000","51,686,000","53,991,000","62,906,000"
Current Liabilities,"7,875,000","7,503,000","10,132,000","9,501,000"
Payables And Accrued Expenses,"5,034,000","5,283,000","5,700,000","5,454,000"
Payables,"4,003,000","4,153,000","4,601,000","4,290,000"
Accounts Payable,"4,003,000","4,153,000","4,449,000","3,996,000"
Total Tax Payable,-,-,"152,000","255,000"
Income Tax Payable,-,-,"152,000","255,000"
Dividends Payable,-,-,-,"39,000"
Current Accrued Expenses,"1,031,000","1,130,000","1,099,000","1,164,000"
Interest Payable,"384,000","408,000","419,000","415,000"
Pension & Other Post Retirement Benefit Plans Current,-,-,"51,000","157,000"
Current Debt And Capital Lease Obligation,"1,028,000","398,000","3,203,000","2,691,000"
Current Debt,"1,028,000","398,000","3,203,000","2,691,000"
Other Current Liabilities,"1,813,000","1,822,000","1,178,000","1,199,000"
Total Non Current Liabilities Net Minority Interest,"41,826,000","44,183,000","43,859,000","53,405,000"
Long Term Debt And Capital Lease Obligation,"28,216,000","30,770,000","28,333,000","29,713,000"
Long Term Debt,"28,216,000","30,770,000","28,333,000","29,713,000"
Non Current Deferred Liabilities,"11,878,000","12,202,000","14,076,000","20,848,000"
Non Current Deferred Taxes Liabilities,"11,878,000","12,202,000","14,076,000","20,848,000"
Employee Benefits,"273,000","306,000","427,000","2,038,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"273,000","306,000","427,000","2,038,000"
Preferred Securities Outside Stock Equity,0,"3,000","6,000",0
Other Non Current Liabilities,"1,459,000","902,000","1,017,000","806,000"
Total Equity Gross Minority Interest,"51,749,000","51,775,000","66,241,000","57,574,000"
Stockholders' Equity,"51,623,000","51,657,000","66,034,000","57,358,000"
Capital Stock,"12,000","12,000","12,000","12,000"
Preferred Stock,-,-,-,0
Common Stock,"12,000","12,000","12,000","12,000"
Additional Paid in Capital,"56,828,000","58,723,000","58,711,000","58,593,000"
Retained Earnings,"-3,060,000","-4,853,000","8,589,000","588,000"
Treasury Stock,"271,000","282,000","224,000","207,000"
Gains Losses Not Affecting Retained Earnings,"-1,886,000","-1,943,000","-1,054,000","-1,628,000"
Minority Interest,"126,000","118,000","207,000","216,000"
Total Capitalization,"79,839,000","82,427,000","94,367,000","87,071,000"
Common Stock Equity,"51,623,000","51,657,000","66,034,000","57,358,000"
Net Tangible Assets,"-32,575,000","-34,314,000","-38,239,000","-46,064,000"
Working Capital,"222,000","1,572,000","-2,866,000","-748,000"
Invested Capital,"80,867,000","82,825,000","97,570,000","89,762,000"
Tangible Book Value,"-32,575,000","-34,314,000","-38,239,000","-46,064,000"
Total Debt,"29,244,000","31,168,000","31,536,000","32,404,000"
Net Debt,"26,965,000","30,038,000","29,907,000","28,200,000"
Share Issued,"1,224,000","1,224,000","1,221,000","1,218,947"
Ordinary Shares Number,"1,221,000","1,220,000","1,219,000","1,216,476"
Treasury Shares Number,"3,000","4,000","2,000","2,471"
