,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"25,417,000","24,977,000","26,268,000","26,232,000","26,487,000"
Operating Revenue,"25,417,000","24,977,000","26,268,000","26,232,000","26,487,000"
Cost of Revenue,"17,053,000","16,830,000","17,347,000","16,529,000","16,901,000"
Gross Profit,"8,364,000","8,147,000","8,921,000","9,703,000","9,586,000"
Operating Expense,"3,379,000","3,178,000","3,205,000","2,930,000","3,444,000"
Selling General and Administrative,"3,379,000","3,178,000","3,205,000","2,930,000","3,444,000"
Operating Income,"4,985,000","4,969,000","5,716,000","6,773,000","6,142,000"
Net Non Operating Interest Income Expense,"-1,473,000","-1,361,000","-1,284,000","-1,234,000","-1,134,000"
Interest Expense Non Operating,"1,476,000","1,361,000","1,284,000","1,234,000","1,134,000"
Other Income Expense,"-3,185,000","-947,000","-15,753,000","-9,000","15,000"
Special Income Charges,"-4,028,000","-1,899,000","-15,936,000",-,-
Impairment of Capital Assets,"3,780,000","1,899,000","15,936,000",-,-
Other Non Operating Income Expenses,"884,000","952,000","183,000","-9,000","15,000"
Pretax Income,"327,000","2,661,000","-11,321,000","5,530,000","5,023,000"
Tax Provision,"517,000","728,000","-1,067,000","-5,460,000","1,381,000"
Net Income Common Stockholders,"-192,000","1,935,000","-10,192,000","10,999,000","3,452,000"
Net Income,"-192,000","1,935,000","-10,192,000","10,999,000","3,632,000"
Net Income Including Non-Controlling Interests,"-190,000","1,933,000","-10,254,000","10,990,000","3,642,000"
Net Income Continuous Operations,"-190,000","1,933,000","-10,254,000","10,990,000","3,642,000"
Minority Interests,"-2,000","2,000","62,000","9,000","-10,000"
Preferred Stock Dividends,-,-,-,-,"180,000"
Diluted NI Available to Com Stockholders,"-192,000","1,935,000","-10,192,000","10,999,000","3,452,000"
Basic EPS,-,0.0016,-0.0084,0.009,0.0028
Diluted EPS,-,0.0016,-0.0084,0.009,0.0028
Basic Average Shares,-,"1,221,000","1,219,000","1,218,051","1,217,000"
Diluted Average Shares,-,"1,224,000","1,219,000","1,228,939","1,226,000"
Total Operating Income as Reported,"1,205,000","3,070,000","-10,220,000","6,773,000","6,142,000"
Total Expenses,"20,432,000","20,008,000","20,552,000","19,459,000","20,345,000"
Net Income from Continuing & Discontinued Operation,"-192,000","1,935,000","-10,192,000","10,999,000","3,632,000"
Normalized Income,"2,748,440","3,313,674","4,246,016","10,999,000","3,632,000"
Interest Expense,"1,476,000","1,361,000","1,284,000","1,234,000","1,134,000"
Net Interest Income,"-1,473,000","-1,361,000","-1,284,000","-1,234,000","-1,134,000"
EBIT,"1,803,000","4,022,000","-10,037,000","6,764,000","6,157,000"
EBITDA,"2,793,000",-,-,-,-
Reconciled Cost of Revenue,"17,053,000","16,830,000","17,347,000","16,529,000","16,901,000"
Reconciled Depreciation,"990,000","994,000","983,000","1,036,000","1,337,000"
Net Income from Continuing Operation Net Minority Interest,"-192,000","1,935,000","-10,192,000","10,999,000","3,632,000"
Total Unusual Items Excluding Goodwill,"-4,028,000","-1,899,000","-15,936,000",-,-
Total Unusual Items,"-4,028,000","-1,899,000","-15,936,000",-,-
Normalized EBITDA,"6,821,000","6,915,000","6,882,000","7,800,000","7,494,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,087,560","-520,326","-1,497,984",0,0
