,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Operating Cash Flow,"1,482,000","1,608,000","1,735,000","1,944,000","1,801,000"
Cash Flow from Continuing Operating Activities,"1,482,000","1,608,000","1,735,000","1,944,000","1,801,000"
Net Income from Continuing Operations,"-3,153,000","564,000","1,098,000","1,536,000","611,000"
Operating Gains Losses,"-100,000","-131,000","-389,000","-544,000","-209,000"
Gain Loss On Investment Securities,"-135,000","-162,000","-389,000","-544,000","-209,000"
Pension And Employee Benefit Expense,"35,000","31,000",-,-,-
Depreciation Amortization Depletion,"982,000","981,000","962,000","991,000","1,058,000"
Depreciation & amortization,"982,000","981,000","962,000","991,000","1,058,000"
Deferred Tax,"-238,000","-6,000",-,-,-
Deferred Income Tax,"-238,000","-6,000",-,-,-
Asset Impairment Charge,-,-,-,-,"479,000"
Stock based compensation,"30,000","38,000","63,000","58,000","61,000"
Other non-cash items,"3,880,000","416,000","209,000","246,000","84,000"
Change in working capital,"362,000","-254,000","-208,000","-343,000","-283,000"
Change in Receivables,"64,000","-9,000","-61,000","120,000","-1,000"
Change in Inventory,"575,000","75,000","-87,000","221,000","107,000"
Change in Prepaid Assets,"107,000","89,000","21,000","-14,000","-8,000"
Change in Payables And Accrued Expense,"-271,000","-277,000","-37,000","-131,000","-169,000"
Change in Payable,"-271,000","-277,000","-37,000","-131,000","-169,000"
Change in Tax Payable,"-421,000","-60,000","-136,000","-114,000","125,000"
Change in Income Tax Payable,"-421,000","-60,000","-136,000","-114,000","125,000"
Change in Account Payable,"150,000","-217,000","99,000","-17,000","-294,000"
Change in Other Current Liabilities,-,-,-,-,"-73,000"
Change in Other Working Capital,"-113,000","-132,000","-44,000","-539,000","-139,000"
Investing Cash Flow,"-878,000","-1,002,000","-456,000","-373,000","-187,000"
Cash Flow from Continuing Investing Activities,"-878,000","-1,002,000","-456,000","-373,000","-187,000"
Capital Expenditure Reported,"-233,000","-255,000","-275,000","-273,000","-316,000"
Net PPE Purchase And Sale,"-648,000","-717,000","-183,000","-76,000","77,000"
Purchase of PPE,"-820,000","-902,000","-657,000","-487,000","-596,000"
Sale of PPE,"172,000","185,000","474,000","411,000","673,000"
Net Intangibles Purchase And Sale,"-233,000","-255,000","-275,000","-273,000","-316,000"
Purchase of Intangibles,"-233,000","-255,000","-275,000","-273,000","-316,000"
Net Business Purchase And Sale,-,-,-,0,0
Purchase of Business,-,-,-,0,0
Net Other Investing Changes,"3,000","-30,000","2,000","-24,000","52,000"
Financing Cash Flow,"183,000","-1,123,000","-1,544,000","-1,413,000","-1,426,000"
Cash Flow from Continuing Financing Activities,"183,000","-1,123,000","-1,544,000","-1,413,000","-1,426,000"
Net Issuance Payments of Debt,"902,000","-659,000","-1,133,000","-969,000","-688,000"
Net Long Term Debt Issuance,"902,000","-597,000","-1,149,000","-954,000","-749,000"
Long Term Debt Issuance,-,-,-,0,"2,000"
Long Term Debt Payments,"-598,000","-597,000","-1,149,000","-954,000","-751,000"
Net Short Term Debt Issuance,"-45,000","-62,000","16,000","-15,000","61,000"
Net Common Stock Issuance,"-1,000","5,000","45,000","5,000","-280,000"
Common Stock Issuance,0,"6,000","45,000","6,000","36,000"
Common Stock Payments,-,"-1,000",0,"-1,000","-316,000"
Cash Dividends Paid,"-467,000","-466,000","-463,000","-461,000","-459,000"
Common Stock Dividend Paid,"-467,000","-466,000","-463,000","-461,000","-459,000"
Net Other Financing Charges,"-251,000","-3,000","7,000","12,000","1,000"
End Cash Position,"1,602,000","731,000","1,248,000","1,455,000","1,297,000"
Changes in Cash,"787,000","-517,000","-265,000","158,000","188,000"
Beginning Cash Position,"815,000","1,248,000","1,513,000","1,297,000","1,109,000"
Income Tax Paid Supplemental Data,"219,000","229,000","345,000","496,000","352,000"
Interest Paid Supplemental Data,"234,000","242,000","328,000","361,000","396,000"
Capital Expenditure,"-1,053,000","-1,157,000","-932,000","-760,000","-912,000"
Issuance of Capital Stock,0,"6,000","45,000","6,000","36,000"
Issuance of Debt,-,-,-,0,"2,000"
Repayment of Debt,"-598,000","-597,000","-1,149,000","-954,000","-751,000"
Repurchase of Capital Stock,-,"-1,000",0,"-1,000","-316,000"
Free Cash Flow,"429,000","451,000","803,000","1,184,000","889,000"
