,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Assets,"21,172,000","19,194,000","19,381,000","19,851,000"
Current Assets,"6,810,000","7,445,000","7,444,000","7,626,000"
"Cash, Cash Equivalents & Short Term Investments","685,000","1,162,000","1,455,000","1,297,000"
Cash And Cash Equivalents,"685,000","1,162,000","1,455,000","1,297,000"
Receivables,"409,000","400,000","363,000","522,000"
Accounts receivable,"409,000","400,000","363,000","522,000"
Inventory,"5,188,000","5,263,000","5,178,000","5,399,000"
Finished Goods,"5,188,000","5,263,000","5,178,000","5,399,000"
Prepaid Assets,"528,000","620,000","448,000","408,000"
Total non-current assets,"14,362,000","11,749,000","11,937,000","12,225,000"
Net PPE,"9,301,000","6,637,000","6,672,000","7,017,000"
Gross PPE,"13,693,000","11,132,000","11,282,000","11,873,000"
Properties,0,0,0,0
Land And Improvements,"1,436,000","1,454,000","1,494,000","1,541,000"
Buildings And Improvements,"5,187,000","5,423,000","5,550,000","5,757,000"
Machinery Furniture Equipment,"4,402,000","4,230,000","4,204,000","4,541,000"
Other Properties,"2,668,000",-,-,-
Leases,0,"25,000","34,000","34,000"
Accumulated Depreciation,"-4,392,000","-4,495,000","-4,610,000","-4,856,000"
Goodwill And Other Intangible Assets,"4,989,000","4,386,000","4,385,000","4,395,000"
Goodwill,"3,908,000","3,908,000","3,897,000","3,897,000"
Other Intangible Assets,"1,081,000","478,000","488,000","498,000"
Other Non Current Assets,"72,000","726,000","880,000","813,000"
Total Liabilities Net Minority Interest,"14,795,000","12,758,000","13,720,000","15,529,000"
Current Liabilities,"5,750,000","5,232,000","5,075,000","5,647,000"
Payables And Accrued Expenses,"3,475,000","3,554,000","3,440,000","3,265,000"
Payables,"2,885,000","2,940,000","2,778,000","2,695,000"
Accounts Payable,"2,659,000","2,638,000","2,325,000","2,177,000"
Total Tax Payable,"226,000","302,000","453,000","518,000"
Income Tax Payable,"81,000","168,000","296,000","352,000"
Current Accrued Expenses,"590,000","614,000","662,000","570,000"
Interest Payable,"41,000","51,000","70,000","74,000"
Current Provisions,"213,000","269,000","90,000","96,000"
Pension & Other Post Retirement Benefit Plans Current,"285,000","306,000","302,000","493,000"
Current Debt And Capital Lease Obligation,"938,000","223,000","211,000","483,000"
Current Debt,"533,000","36,000","22,000","300,000"
Current Notes Payable,-,-,-,0
Other Current Borrowings,"533,000","36,000",-,"300,000"
Current Capital Lease Obligation,"405,000","187,000","211,000","183,000"
Current Deferred Liabilities,"839,000","880,000","1,032,000","1,310,000"
Current Deferred Revenue,"839,000","880,000","1,032,000","1,310,000"
Total Non Current Liabilities Net Minority Interest,"9,045,000","7,526,000","8,645,000","9,882,000"
Long Term Debt And Capital Lease Obligation,"6,539,000","4,708,000","5,861,000","6,562,000"
Long Term Debt,"3,621,000","4,683,000","5,835,000","6,535,000"
Long Term Capital Lease Obligation,"2,918,000","25,000","26,000","27,000"
Non Current Deferred Liabilities,"1,169,000","1,238,000","1,122,000","1,443,000"
Non Current Deferred Taxes Liabilities,"1,169,000","1,238,000","1,122,000","1,443,000"
Other Non Current Liabilities,"1,337,000","1,580,000","1,662,000","1,877,000"
Total Equity Gross Minority Interest,"6,377,000","6,436,000","5,661,000","4,322,000"
Stockholders' Equity,"6,377,000","6,436,000","5,673,000","4,323,000"
Capital Stock,"3,000","3,000","3,000","3,000"
Common Stock,"3,000","3,000","3,000","3,000"
Additional Paid in Capital,"621,000","652,000","676,000","617,000"
Retained Earnings,"7,989,000","8,050,000","7,174,000","6,088,000"
Treasury Stock,"1,241,000","1,318,000","1,456,000","1,489,000"
Gains Losses Not Affecting Retained Earnings,"-995,000","-951,000","-724,000","-896,000"
Minority Interest,0,0,"-12,000","-1,000"
Total Capitalization,"9,998,000","11,119,000","11,508,000","10,858,000"
Common Stock Equity,"6,377,000","6,436,000","5,673,000","4,323,000"
Capital Lease Obligations,"3,323,000","212,000","237,000","210,000"
Net Tangible Assets,"1,388,000","2,050,000","1,288,000","-72,000"
Working Capital,"1,060,000","2,213,000","2,369,000","1,979,000"
Invested Capital,"10,531,000","11,155,000","11,508,000","11,158,000"
Tangible Book Value,"1,388,000","2,050,000","1,288,000","-72,000"
Total Debt,"7,477,000","4,931,000","6,072,000","7,045,000"
Net Debt,"3,469,000","3,557,000","4,380,000","5,538,000"
Share Issued,"333,606","307,500","333,606","304,100"
Ordinary Shares Number,"309,031","307,500","304,765","304,100"
Treasury Shares Number,"24,575",-,"28,841",-
