,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"22,803,000","25,331,000","25,739,000","24,837,000","25,778,000"
Operating Revenue,"22,803,000","25,331,000","25,739,000","24,837,000","25,778,000"
Cost of Revenue,"14,269,000","15,171,000","15,215,000","15,152,000","15,621,000"
Gross Profit,"8,534,000","10,160,000","10,524,000","9,685,000","10,157,000"
Operating Expense,"8,484,000","8,998,000","9,039,000","8,131,000","8,265,000"
Selling General and Administrative,"8,484,000","8,998,000","9,039,000","8,131,000","8,265,000"
Operating Income,"50,000","1,162,000","1,485,000","1,554,000","1,892,000"
Net Non Operating Interest Income Expense,"-185,000","-185,000","-236,000","-310,000","-363,000"
Interest Income Non Operating,"15,000","20,000","25,000","11,000","4,000"
Interest Expense Non Operating,"199,000","204,000","261,000","323,000","384,000"
Total Other Finance Cost,-,"1,000",-,"-2,000","-17,000"
Other Income Expense,"-3,457,000","-249,000","171,000","263,000","-577,000"
Gain on Sale of Security,"129,000","162,000","389,000","544,000",-
Special Income Charges,"-3,432,000","-384,000","-169,000","-176,000","-479,000"
Restructuring & Mergers Acquisition,"548,000","354,000","136,000",-,-
Write Off,-,-,-,"186,000","479,000"
Other Special Charges,-,"30,000","33,000","-10,000",-
Gain on Sale of PPE,"135,000","162,000","389,000","544,000",-
Other Non Operating Income Expenses,"-25,000","-27,000","-49,000","-105,000","-98,000"
Pretax Income,"-3,592,000","728,000","1,420,000","1,507,000","952,000"
Tax Provision,"-439,000","164,000","322,000","-29,000","341,000"
Net Income Common Stockholders,"-3,153,000","564,000","1,108,000","1,547,000","619,000"
Net Income,"-3,153,000","564,000","1,108,000","1,547,000","619,000"
Net Income Including Non-Controlling Interests,"-3,153,000","564,000","1,098,000","1,536,000","611,000"
Net Income Continuous Operations,"-3,153,000","564,000","1,098,000","1,536,000","611,000"
Minority Interests,-,0,"10,000","11,000","8,000"
Diluted NI Available to Com Stockholders,"-3,153,000","564,000","1,108,000","1,547,000","619,000"
Basic EPS,-,0.0018,0.0036,0.0051,0.002
Diluted EPS,-,0.0018,0.0036,0.005,0.002
Basic Average Shares,-,"309,700","307,700","305,400","308,500"
Diluted Average Shares,-,"311,400","311,400","306,800","310,800"
Total Operating Income as Reported,"-3,352,000","970,000","1,738,000","1,807,000","1,315,000"
Total Expenses,"22,753,000","24,169,000","24,254,000","23,283,000","23,886,000"
Net Income from Continuing & Discontinued Operation,"-3,153,000","564,000","1,108,000","1,547,000","619,000"
Normalized Income,"-140,445","736,050","937,940","1,185,992","926,518"
Interest Income,"15,000","20,000","25,000","11,000","4,000"
Interest Expense,"199,000","204,000","261,000","323,000","384,000"
Net Interest Income,"-185,000","-185,000","-236,000","-310,000","-363,000"
EBIT,"-3,393,000","932,000","1,681,000","1,830,000","1,336,000"
EBITDA,"-2,411,000",-,-,-,-
Reconciled Cost of Revenue,"14,269,000","15,171,000","15,215,000","15,152,000","15,621,000"
Reconciled Depreciation,"982,000","981,000","962,000","991,000","1,058,000"
Net Income from Continuing Operation Net Minority Interest,"-3,153,000","564,000","1,108,000","1,547,000","619,000"
Total Unusual Items Excluding Goodwill,"-3,432,000","-222,000","220,000","368,000","-479,000"
Total Unusual Items,"-3,432,000","-222,000","220,000","368,000","-479,000"
Normalized EBITDA,"1,021,000","2,135,000","2,423,000","2,453,000","2,873,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-419,445","-49,950","49,940","6,992","-171,482"
