,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"44,659,000","36,500,000","37,987,000","32,906,000"
Current Assets,"12,971,000","13,709,000","14,277,000","11,726,000"
"Cash, Cash Equivalents & Short Term Investments","2,451,000","3,233,000","4,129,000","2,678,000"
Cash And Cash Equivalents,"2,353,000","2,853,000","3,053,000","2,398,000"
Other Short Term Investments,"98,000","380,000","1,076,000","280,000"
Receivables,"4,963,000","5,123,000","4,982,000","4,501,000"
Accounts receivable,"4,791,000","5,020,000","4,911,000","4,392,000"
Gross Accounts Receivable,"4,952,000","5,115,000","5,014,000","4,480,000"
Allowance For Doubtful Accounts Receivable,"-161,000","-95,000","-103,000","-88,000"
Other Receivables,"172,000","103,000","71,000","109,000"
Inventory,"4,134,000","4,366,000","4,034,000","3,385,000"
Raw Materials,"937,000","954,000","901,000","717,000"
Work in Process,"1,194,000","1,292,000","1,218,000","1,039,000"
Finished Goods,"2,003,000","2,120,000","1,915,000","1,629,000"
Prepaid Assets,"704,000","741,000","937,000","1,014,000"
Restricted Cash,"470,000",-,-,-
Hedging Assets Current,"75,000","88,000","37,000","148,000"
Other Current Assets,"174,000","158,000","158,000","109,000"
Total non-current assets,"31,688,000","22,791,000","23,710,000","21,180,000"
Net PPE,"10,191,000","8,738,000","8,866,000","8,516,000"
Gross PPE,"26,982,000","24,873,000","24,914,000","23,499,000"
Properties,0,0,0,0
Land And Improvements,"351,000","340,000","348,000","341,000"
Buildings And Improvements,"7,877,000","7,517,000","7,681,000","7,252,000"
Machinery Furniture Equipment,"16,586,000","15,680,000","15,907,000","14,935,000"
Other Properties,"858,000","143,000","135,000","162,000"
Construction in Progress,"1,310,000","1,193,000","843,000","809,000"
Accumulated Depreciation,"-16,791,000","-16,135,000","-16,048,000","-14,983,000"
Goodwill And Other Intangible Assets,"19,823,000","12,708,000","13,449,000","11,486,000"
Goodwill,"13,444,000","10,051,000","10,513,000","9,166,000"
Other Intangible Assets,"6,379,000","2,657,000","2,936,000","2,320,000"
Investments And Advances,"196,000","188,000","150,000","145,000"
Long Term Equity Investment,"70,000","70,000","70,000","60,000"
Investment in Financial Assets,"126,000","118,000","80,000","84,000"
Other Investments,-,-,-,"1,000"
Non Current Accounts Receivable,"67,000","68,000","63,000","68,000"
Non Current Deferred Assets,"521,000","365,000","511,000","422,000"
Non Current Deferred Taxes Assets,"521,000","365,000","511,000","422,000"
