,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"7,478,000","7,070,000","6,439,000","6,240,000","6,662,000"
Cash Flow from Continuing Operating Activities,"7,478,000","7,070,000","6,439,000","6,240,000","6,662,000"
Net Income from Continuing Operations,"5,139,000","4,582,000","5,363,000","4,869,000","5,058,000"
Operating Gains Losses,"-117,000","408,000","-135,000","-253,000","251,000"
Gain Loss On Sale of Business,"-495,000","51,000","-545,000","-586,000",-
Pension And Employee Benefit Expense,"378,000","357,000","410,000","333,000","251,000"
Depreciation Amortization Depletion,"1,774,000","1,593,000","1,488,000","1,544,000","1,474,000"
Depreciation & amortization,"1,774,000","1,593,000","1,488,000","1,544,000","1,474,000"
Deferred Tax,"-158,000","-273,000","-57,000","107,000","7,000"
Deferred Income Tax,"-158,000","-273,000","-57,000","107,000","7,000"
Stock based compensation,"268,000","278,000","302,000","324,000","298,000"
Excess Tax Benefit from Stock Based Compensation,-,-,-,0,0
Other non-cash items,"-797,000","-321,000","-250,000","-710,000","-419,000"
Change in working capital,"1,369,000","803,000","-272,000","359,000","-7,000"
Change in Receivables,"844,000","345,000","-305,000","-245,000","-313,000"
Changes in Account Receivables,"844,000","345,000","-305,000","-245,000","-313,000"
Change in Inventory,"97,000","370,000","-509,000","-387,000","57,000"
Change in Payables And Accrued Expense,"428,000","88,000","542,000","991,000","249,000"
Change in Payable,"428,000","88,000","542,000","991,000","249,000"
Change in Tax Payable,"641,000","205,000","134,000","967,000","101,000"
Change in Income Tax Payable,"641,000","205,000","134,000","967,000","101,000"
Change in Account Payable,"-213,000","-117,000","408,000","24,000","148,000"
Investing Cash Flow,"-5,007,000","-6,444,000","222,000","-3,086,000","-1,403,000"
Cash Flow from Continuing Investing Activities,"-5,007,000","-6,444,000","222,000","-3,086,000","-1,403,000"
Net PPE Purchase And Sale,"-1,462,000","-1,576,000","-1,315,000","-1,324,000","-1,362,000"
Purchase of PPE,"-1,598,000","-1,699,000","-1,577,000","-1,373,000","-1,420,000"
Sale of PPE,"136,000","123,000","262,000","49,000","58,000"
Net Business Purchase And Sale,"-3,502,000","-4,748,000","859,000","-958,000","126,000"
Purchase of Business,"-4,305,000","-4,984,000",-,"-2,023,000","-16,000"
Sale of Business,"803,000","236,000","859,000","1,065,000","142,000"
Net Investment Purchase And Sale,"-104,000","-192,000","669,000","-798,000","-163,000"
Purchase of Investment,"-1,518,000","-1,635,000","-1,828,000","-2,152,000","-1,410,000"
Sale of Investment,"1,414,000","1,443,000","2,497,000","1,354,000","1,247,000"
Net Other Investing Changes,"61,000","72,000","9,000","-6,000","-4,000"
Financing Cash Flow,"-1,048,000","-1,124,000","-6,701,000","-2,655,000","-4,626,000"
Cash Flow from Continuing Financing Activities,"-1,048,000","-1,124,000","-6,701,000","-2,655,000","-4,626,000"
Net Issuance Payments of Debt,"2,763,000","3,249,000","933,000","1,603,000","1,043,000"
Net Long Term Debt Issuance,"2,770,000","3,565,000","1,217,000","1,025,000","1,840,000"
Long Term Debt Issuance,"5,761,000","6,281,000","2,251,000","1,987,000","2,832,000"
Long Term Debt Payments,"-2,991,000","-2,716,000","-1,034,000","-962,000","-992,000"
Net Short Term Debt Issuance,"-7,000","-316,000","-284,000","578,000","-797,000"
Net Common Stock Issuance,"-254,000","-860,000","-4,385,000","-1,334,000","-2,949,000"
Common Stock Issuance,"418,000","547,000","485,000","734,000","804,000"
Common Stock Payments,"-672,000","-1,407,000","-4,870,000","-2,068,000","-3,753,000"
Cash Dividends Paid,"-3,349,000","-3,316,000","-3,193,000","-2,803,000","-2,678,000"
Common Stock Dividend Paid,"-3,349,000","-3,316,000","-3,193,000","-2,803,000","-2,678,000"
Net Other Financing Charges,"-208,000","-197,000","-56,000","-121,000","-42,000"
End Cash Position,"4,272,000","2,353,000","2,853,000","3,053,000","2,398,000"
Changes in Cash,"1,423,000","-498,000","-40,000","499,000","633,000"
Effect of Exchange Rate Changes,"-53,000","-2,000","-160,000","156,000","-33,000"
Beginning Cash Position,"2,849,000","2,853,000","3,053,000","2,398,000","1,798,000"
Income Tax Paid Supplemental Data,-,"1,198,000","1,560,000","1,604,000","1,888,000"
Interest Paid Supplemental Data,-,"370,000","328,000","214,000","194,000"
Capital Expenditure,"-1,598,000","-1,699,000","-1,577,000","-1,373,000","-1,420,000"
Issuance of Capital Stock,"418,000","547,000","485,000","734,000","804,000"
Issuance of Debt,"5,761,000","6,281,000","2,251,000","1,987,000","2,832,000"
Repayment of Debt,"-2,991,000","-2,716,000","-1,034,000","-962,000","-992,000"
Repurchase of Capital Stock,"-672,000","-1,407,000","-4,870,000","-2,068,000","-3,753,000"
Free Cash Flow,"5,880,000","5,371,000","4,862,000","4,867,000","5,242,000"
