,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"31,353,000","32,136,000","32,765,000","31,657,000","30,109,000"
Operating Revenue,"31,353,000","32,136,000","32,765,000","31,657,000","30,109,000"
Cost of Revenue,"16,427,000","17,136,000","16,682,000","16,001,000","15,040,000"
Gross Profit,"14,926,000","15,000,000","16,083,000","15,656,000","15,069,000"
Operating Expense,"8,682,000","8,940,000","9,423,000","8,422,000","7,846,000"
Selling General and Administrative,"6,757,000","7,029,000","7,602,000","6,572,000","6,111,000"
Research & Development,"1,925,000","1,911,000","1,821,000","1,850,000","1,735,000"
Operating Income,"6,244,000","6,060,000","6,660,000","7,234,000","7,223,000"
Net Non Operating Interest Income Expense,"-432,000","-368,000","-280,000","-272,000","-170,000"
Interest Income Non Operating,"61,000","80,000","70,000","50,000","29,000"
Interest Expense Non Operating,"493,000","448,000","350,000","322,000","199,000"
Other Income Expense,"562,000","20,000","620,000","586,000",-
Special Income Charges,"495,000","-48,000","547,000","586,000",-
Gain on Sale of Business,"495,000","-48,000","547,000","586,000",-
Other Non Operating Income Expenses,"67,000","68,000","73,000","-272,000",-
Pretax Income,"6,374,000","5,712,000","7,000,000","7,548,000","7,053,000"
Tax Provision,"1,235,000","1,130,000","1,637,000","2,679,000","1,995,000"
Net Income Common Stockholders,"5,134,000","4,570,000","5,349,000","4,858,000","5,050,000"
Net Income,"5,134,000","4,570,000","5,349,000","4,858,000","5,050,000"
Net Income Including Non-Controlling Interests,"5,139,000","4,582,000","5,363,000","4,869,000","5,058,000"
Net Income Continuous Operations,"5,139,000","4,582,000","5,363,000","4,869,000","5,058,000"
Minority Interests,"-5,000","-12,000","-14,000","-11,000","-8,000"
Diluted NI Available to Com Stockholders,"5,134,000","4,570,000","5,349,000","4,858,000","5,050,000"
Basic EPS,-,0.0079,0.0091,0.0081,0.0084
Diluted EPS,-,0.0078,0.0089,0.0079,0.0082
Basic Average Shares,-,"577,000","588,500","597,500","604,700"
Diluted Average Shares,-,"585,100","602,000","612,700","618,700"
Total Operating Income as Reported,"6,739,000","6,174,000","7,207,000","7,820,000","7,223,000"
Total Expenses,"25,109,000","26,076,000","26,105,000","24,423,000","22,886,000"
Net Income from Continuing & Discontinued Operation,"5,134,000","4,570,000","5,349,000","4,858,000","5,050,000"
Normalized Income,"4,734,909","4,608,496","4,929,998","4,480,030","5,050,000"
Interest Income,"61,000","80,000","70,000","50,000","29,000"
Interest Expense,"493,000","448,000","350,000","322,000","199,000"
Net Interest Income,"-432,000","-368,000","-280,000","-272,000","-170,000"
EBIT,"6,867,000","6,160,000","7,350,000","7,870,000","7,252,000"
EBITDA,"8,641,000",-,-,-,-
Reconciled Cost of Revenue,"16,427,000","17,136,000","16,682,000","16,001,000","15,040,000"
Reconciled Depreciation,"1,774,000","1,593,000","1,488,000","1,544,000","1,474,000"
Net Income from Continuing Operation Net Minority Interest,"5,134,000","4,570,000","5,349,000","4,858,000","5,050,000"
Total Unusual Items Excluding Goodwill,"495,000","-48,000","547,000","586,000",-
Total Unusual Items,"495,000","-48,000","547,000","586,000",-
Normalized EBITDA,"8,146,000","7,801,000","8,291,000","8,828,000","8,726,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"95,909","-9,504","127,998","208,030",0
