,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"81,575","60,209","135,068","205,825","108,396"
Operating Revenue,"81,575","60,209","135,068","205,825","108,396"
Operating Expense,"651,232","605,929","548,334","475,181","332,167"
Selling General and Administrative,"122,017","109,620","94,252","64,722","57,450"
General & Administrative Expense,"122,017","109,620","94,252","64,722","57,450"
Other G and A,"122,017","109,620","94,252","64,722","57,450"
Research & Development,"529,215","496,309","454,082","410,459","274,717"
Operating Income,"-569,657","-545,720","-413,266","-269,356","-223,771"
Net Non Operating Interest Income Expense,"36,394","31,918","27,023","15,235","11,312"
Interest Income Non Operating,"39,440","38,530","27,023","15,235","11,312"
Interest Expense Non Operating,"6,858","6,612",-,-,-
Other Income Expense,574,-914,"1,835","-1,875","-2,709"
Gain on Sale of Security,"1,200",323,-,-,-
Other Non Operating Income Expenses,"1,843","-1,237","1,835","-1,875","-2,709"
Pretax Income,"-532,689","-514,716","-384,408","-255,996","-215,168"
Tax Provision,-358,-695,326,-80,"1,043"
Net Income Common Stockholders,"-535,004","-514,021","-401,857","-269,841","-230,314"
Net Income,"-532,331","-514,021","-384,734","-255,916","-216,211"
Net Income Including Non-Controlling Interests,"-532,331","-514,021","-384,734","-255,916","-216,211"
Net Income Continuous Operations,"-532,331","-514,021","-384,734","-255,916","-216,211"
Preferred Stock Dividends,-,-,"12,996","13,925","5,440"
Otherunder Preferred Stock Dividend,-,0,"4,127",0,"8,663"
Diluted NI Available to Com Stockholders,"-535,004","-514,021","-401,857","-269,841","-230,314"
Basic EPS,-,-0.0016,-0.0012,0,0
Diluted EPS,-,-0.0016,-0.0012,0,0
Basic Average Shares,-,"330,802","328,799","269,649","296,681"
Diluted Average Shares,-,"330,802","328,799","269,649","296,681"
Total Operating Income as Reported,"-569,657","-545,720","-413,266","-269,356","-223,771"
Total Expenses,"651,232","605,929","548,334","475,181","332,167"
Net Income from Continuing & Discontinued Operation,"-532,331","-514,021","-384,734","-255,916","-216,211"
Normalized Income,"-532,331","-514,344","-384,734","-255,916","-216,211"
Interest Income,"39,440","38,530","27,023","15,235","11,312"
Interest Expense,"6,858","6,612",-,-,-
Net Interest Income,"36,394","31,918","27,023","15,235","11,312"
EBIT,"-558,501","-508,104","-413,266","-269,356","-223,771"
EBITDA,"-529,069",-,-,-,-
Reconciled Depreciation,"29,432","31,021","24,862","20,537","15,114"
Net Income from Continuing Operation Net Minority Interest,"-532,331","-514,021","-384,734","-255,916","-216,211"
Total Unusual Items Excluding Goodwill,"1,200",323,-,-,-
Total Unusual Items,"1,200",323,-,-,-
Normalized EBITDA,"-529,069","-477,406","-388,404","-248,819","-208,657"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
