,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"1,589,422","1,962,149","1,084,489","1,417,161"
Current Assets,"1,128,804","1,563,006","783,223","1,087,152"
"Cash, Cash Equivalents & Short Term Investments","1,103,000","1,521,427","756,029","1,058,138"
Cash And Cash Equivalents,"235,876","658,364","134,859","50,080"
Other Short Term Investments,"867,124","863,063","621,170","1,008,058"
Receivables,"16,297","30,583","16,656","17,951"
Accounts receivable,"5,369","12,585","13,417","13,523"
Accrued Interest Receivable,"6,835","7,909","3,239","4,428"
Other Receivables,"4,093","10,089",-,-
Prepaid Assets,"8,475","10,401","9,587","11,063"
Restricted Cash,"1,032",595,951,0
Total non-current assets,"460,618","399,143","301,266","330,009"
Net PPE,"287,909","211,977","139,031","81,207"
Gross PPE,"382,493","276,433","187,062","109,016"
Properties,0,0,0,0
Buildings And Improvements,0,"140,442",0,0
Machinery Furniture Equipment,"130,578","117,562","93,791","74,959"
Other Properties,"96,267",-,290,275
Construction in Progress,"3,222","4,688","80,759","21,873"
Leases,"152,426","13,741","12,222","11,909"
Accumulated Depreciation,"-94,584","-64,456","-48,031","-27,809"
Investments And Advances,"159,987","172,990","145,851","236,569"
Investment in Financial Assets,"159,987","172,990","145,851","236,569"
Available for Sale Securities,"159,987","172,990","145,851","236,569"
Other Non Current Assets,"12,722","14,176","16,384","12,233"
Total Liabilities Net Minority Interest,"414,612","431,908","459,193","575,310"
Current Liabilities,"143,115","222,803","191,461","162,802"
Payables And Accrued Expenses,"47,314","86,877","75,219","41,520"
Payables,"7,090","31,210","20,725","28,157"
Accounts Payable,"7,090","31,210","20,725","28,157"
Current Accrued Expenses,"40,224","55,667","54,494","13,363"
Pension & Other Post Retirement Benefit Plans Current,"27,428","23,406","18,221","11,689"
Current Deferred Liabilities,"63,310","109,056","96,739","107,739"
Current Deferred Revenue,"63,310","109,056","96,739","107,739"
Other Current Liabilities,"5,063","3,464","1,282","1,854"
Total Non Current Liabilities Net Minority Interest,"271,497","209,105","267,732","412,508"
Long Term Debt And Capital Lease Obligation,"132,364","33,489","15,687","12,500"
Long Term Capital Lease Obligation,"132,364","33,489","15,687","12,500"
Non Current Deferred Liabilities,"138,995","175,358","250,515","398,904"
Non Current Deferred Revenue,"138,995","165,352","242,929","394,250"
Preferred Securities Outside Stock Equity,-,0,"1,176,661","1,176,661"
Other Non Current Liabilities,138,258,"1,530","1,104"
Total Equity Gross Minority Interest,"1,174,810","1,530,241","625,296","841,851"
Stockholders' Equity,"1,174,810","1,530,241","625,296","841,851"
Capital Stock,34,33,"1,176,667","1,176,667"
Preferred Stock,0,0,"1,176,661","1,176,661"
Common Stock,34,33,6,6
Additional Paid in Capital,"2,669,426","2,538,155","71,679","31,305"
Retained Earnings,"-1,496,454","-1,006,627","-621,893","-365,718"
Gains Losses Not Affecting Retained Earnings,"1,804","-1,320","-1,157",-403
Other Equity Adjustments,"1,804","-1,320","-1,157",-403
Total Capitalization,"1,174,810","1,530,241","625,296","841,851"
Preferred Stock Equity,-,-,"1,176,661","1,176,661"
Common Stock Equity,"1,174,810","1,530,241","-551,365","-334,810"
Capital Lease Obligations,"132,364","33,489","15,687","12,500"
Net Tangible Assets,"1,174,810","1,530,241","625,296","841,851"
Working Capital,"985,689","1,340,203","591,762","924,350"
Invested Capital,"1,174,810","1,530,241","-551,365","-334,810"
Tangible Book Value,"1,174,810","1,530,241","-551,365","-334,810"
Total Debt,"132,364","33,489","15,687","12,500"
Share Issued,"336,537","328,799","324,411","324,411"
Ordinary Shares Number,"336,537","328,799","324,411","324,411"
