,ttm,6/30/2020,6/30/2019,6/30/2018,6/30/2017
Operating Cash Flow,"60,675,000","60,675,000","52,185,000","43,884,000","39,507,000"
Cash Flow from Continuing Operating Activities,"60,675,000","60,675,000","52,185,000","43,884,000","39,507,000"
Net Income from Continuing Operations,"44,281,000","44,281,000","39,240,000","16,571,000","21,204,000"
Operating Gains Losses,"-219,000","-219,000","-792,000","-2,212,000","-59,808,000"
Gain Loss On Investment Securities,"-219,000","-219,000","-792,000","-2,212,000","-2,073,000"
Depreciation Amortization Depletion,"12,796,000","12,796,000","11,682,000","10,261,000","8,778,000"
Depreciation & amortization,"12,796,000","12,796,000","11,682,000","10,261,000","8,778,000"
Deferred Tax,"-3,620,000","-3,620,000","-3,534,000","13,040,000","-3,296,000"
Deferred Income Tax,"-3,620,000","-3,620,000","-3,534,000","13,040,000","-3,296,000"
Asset Impairment Charge,-,-,-,0,0
Stock based compensation,"5,289,000","5,289,000","4,652,000","3,940,000","3,266,000"
Change in working capital,"2,148,000","2,148,000","937,000","2,284,000","69,363,000"
Change in Receivables,"-2,577,000","-2,577,000","-2,812,000","-3,862,000","-925,000"
Changes in Account Receivables,"-2,577,000","-2,577,000","-2,812,000","-3,862,000","-925,000"
Change in Inventory,"168,000","168,000","597,000","-465,000","50,000"
Change in Payables And Accrued Expense,"3,018,000","3,018,000","232,000","1,148,000","81,000"
Change in Payable,"3,018,000","3,018,000","232,000","1,148,000","81,000"
Change in Account Payable,"3,018,000","3,018,000","232,000","1,148,000","81,000"
Change in Other Current Assets,"-2,330,000","-2,330,000","-1,718,000","-952,000","1,066,000"
Change in Other Current Liabilities,"1,346,000","1,346,000","1,419,000","798,000","386,000"
Change in Other Working Capital,"2,523,000","2,523,000","3,219,000","5,617,000","68,705,000"
Investing Cash Flow,"-12,223,000","-12,223,000","-15,773,000","-6,061,000","-46,781,000"
Cash Flow from Continuing Investing Activities,"-12,223,000","-12,223,000","-15,773,000","-6,061,000","-46,781,000"
Net PPE Purchase And Sale,"-15,441,000","-15,441,000","-13,925,000","-11,632,000","-8,129,000"
Purchase of PPE,"-15,441,000","-15,441,000","-13,925,000","-11,632,000","-8,129,000"
Net Business Purchase And Sale,"-2,521,000","-2,521,000","-2,388,000","-888,000","-25,944,000"
Purchase of Business,"-2,521,000","-2,521,000","-2,388,000","-888,000","-25,944,000"
Net Investment Purchase And Sale,"6,980,000","6,980,000","540,000","6,557,000","-12,511,000"
Purchase of Investment,"-77,190,000","-77,190,000","-57,697,000","-137,380,000","-176,905,000"
Sale of Investment,"84,170,000","84,170,000","58,237,000","143,937,000","164,394,000"
Net Other Investing Changes,"-1,241,000","-1,241,000",-,"-98,000","-197,000"
Financing Cash Flow,"-46,031,000","-46,031,000","-36,887,000","-33,590,000","8,408,000"
Cash Flow from Continuing Financing Activities,"-46,031,000","-46,031,000","-36,887,000","-33,590,000","8,408,000"
Net Issuance Payments of Debt,"-5,518,000","-5,518,000","-4,000,000","-10,201,000","31,459,000"
Net Long Term Debt Issuance,"-5,518,000","-5,518,000","-4,000,000","-2,877,000","36,422,000"
Long Term Debt Issuance,0,0,0,"7,183,000","44,344,000"
Long Term Debt Payments,"-5,518,000","-5,518,000","-4,000,000","-10,060,000","-7,922,000"
Net Short Term Debt Issuance,0,0,0,"-7,324,000","-4,963,000"
Net Common Stock Issuance,"-21,625,000","-21,625,000","-18,401,000","-9,719,000","-11,016,000"
Common Stock Issuance,"1,343,000","1,343,000","1,142,000","1,002,000","772,000"
Common Stock Payments,"-22,968,000","-22,968,000","-19,543,000","-10,721,000","-11,788,000"
Cash Dividends Paid,"-15,137,000","-15,137,000","-13,811,000","-12,699,000","-11,845,000"
Common Stock Dividend Paid,"-15,137,000","-15,137,000","-13,811,000","-12,699,000","-11,845,000"
Net Other Financing Charges,"-3,751,000","-3,751,000","-675,000","-971,000","-190,000"
End Cash Position,"13,576,000","13,576,000","11,356,000","11,946,000","7,663,000"
Changes in Cash,"2,421,000","2,421,000","-475,000","4,233,000","1,134,000"
Effect of Exchange Rate Changes,"-201,000","-201,000","-115,000","50,000","19,000"
Beginning Cash Position,"11,356,000","11,356,000","11,946,000","7,663,000","6,510,000"
Capital Expenditure,"-15,441,000","-15,441,000","-13,925,000","-11,632,000","-8,129,000"
Issuance of Capital Stock,"1,343,000","1,343,000","1,142,000","1,002,000","772,000"
Issuance of Debt,0,0,0,"7,183,000","44,344,000"
Repayment of Debt,"-5,518,000","-5,518,000","-4,000,000","-10,060,000","-7,922,000"
Repurchase of Capital Stock,"-22,968,000","-22,968,000","-19,543,000","-10,721,000","-11,788,000"
Free Cash Flow,"45,234,000","45,234,000","38,260,000","32,252,000","31,378,000"
