,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,"551,669,000","531,864,000","444,097,000","403,821,000"
Current Assets,"54,761,000","51,427,000","79,146,000","38,369,000"
"Cash, Cash Equivalents & Short Term Investments","12,130,000","5,204,000","50,498,000","5,788,000"
Cash And Cash Equivalents,"12,130,000","5,204,000","50,498,000","5,788,000"
Cash,"2,654,000",-,-,-
Cash Equivalents,"9,476,000",-,-,-
Receivables,"22,636,000","26,472,000","16,522,000","16,794,000"
Accounts receivable,"22,636,000","26,472,000","16,522,000","16,794,000"
Gross Accounts Receivable,"23,871,000","27,379,000","17,185,000","17,455,000"
Allowance For Doubtful Accounts Receivable,"-1,235,000","-907,000","-663,000","-661,000"
Prepaid Assets,"1,631,000","2,047,000","1,369,000","1,555,000"
Other Current Assets,"18,364,000","17,704,000","10,757,000","14,232,000"
Total non-current assets,"496,908,000","480,437,000","364,951,000","365,452,000"
Net PPE,"154,167,000","131,473,000","125,222,000","124,899,000"
Gross PPE,"357,577,000","330,690,000","313,499,000","319,648,000"
Properties,0,0,0,0
Land And Improvements,"2,651,000","2,714,000","1,630,000","1,643,000"
Buildings And Improvements,"38,924,000","38,013,000","36,319,000","35,036,000"
Machinery Furniture Equipment,"287,787,000","284,437,000","271,505,000","277,851,000"
Other Properties,"24,039,000","76,358,000","70,662,000","81,989,000"
Construction in Progress,"4,176,000","5,526,000","4,045,000","5,118,000"
Accumulated Depreciation,"-203,410,000","-199,217,000","-188,277,000","-194,749,000"
Goodwill And Other Intangible Assets,"303,858,000","310,197,000","219,725,000","222,067,000"
Goodwill,"146,241,000","146,370,000","105,449,000","105,207,000"
Other Intangible Assets,"157,617,000","163,827,000","114,276,000","116,860,000"
Investments And Advances,"3,695,000","6,245,000","1,560,000","1,674,000"
Long Term Equity Investment,"3,695,000","6,245,000","1,560,000","1,674,000"
Investments in Associatesat Cost,"3,695,000","6,245,000","1,560,000","1,674,000"
Other Non Current Assets,"35,188,000","32,522,000","18,444,000","16,812,000"
Total Liabilities Net Minority Interest,"349,735,000","337,980,000","302,090,000","279,711,000"
Current Liabilities,"68,911,000","64,420,000","81,389,000","50,576,000"
Payables And Accrued Expenses,"49,421,000","46,753,000","37,217,000","34,581,000"
Payables,"34,633,000","32,051,000","28,771,000","27,114,000"
Accounts Payable,"29,640,000","27,018,000","24,439,000","22,027,000"
Total Tax Payable,"1,212,000","1,179,000","1,262,000","2,079,000"
Dividends Payable,"3,781,000","3,854,000","3,070,000","3,008,000"
Current Accrued Expenses,"14,788,000","14,702,000","8,446,000","7,467,000"
Interest Payable,"2,498,000","2,557,000","2,661,000","2,023,000"
Pension & Other Post Retirement Benefit Plans Current,"1,528,000","1,464,000","1,585,000","1,644,000"
Current Debt And Capital Lease Obligation,"11,838,000","10,255,000","38,374,000","9,832,000"
Current Debt,"11,676,000","10,255,000","38,374,000","9,832,000"
Commercial Paper,0,"3,048,000",-,-
Line of Credit,-,"4,000","2,000","4,000"
Other Current Borrowings,"11,676,000","7,207,000","38,374,000","9,832,000"
Current Capital Lease Obligation,"162,000",-,-,-
Current Deferred Liabilities,"6,124,000","5,948,000","4,213,000","4,519,000"
Current Deferred Revenue,"6,124,000","5,948,000","4,213,000","4,519,000"
Total Non Current Liabilities Net Minority Interest,"280,824,000","273,560,000","220,701,000","229,135,000"
Long Term Debt And Capital Lease Obligation,"173,113,000","166,250,000","125,972,000","113,681,000"
Long Term Debt,"149,437,000","166,250,000","125,972,000","113,681,000"
Long Term Capital Lease Obligation,"23,676,000",-,-,-
Non Current Deferred Liabilities,"59,502,000","57,859,000","43,207,000","60,128,000"
Non Current Deferred Taxes Liabilities,"59,502,000","57,859,000","43,207,000","60,128,000"
Employee Benefits,"18,788,000","19,218,000","31,775,000","33,578,000"
Non Current Pension And Other Post-Retirement Benefit Plans,"18,788,000","19,218,000","31,775,000","33,578,000"
Other Non Current Liabilities,"29,421,000","30,233,000","19,747,000","21,748,000"
Total Equity Gross Minority Interest,"201,934,000","193,884,000","142,007,000","124,110,000"
Stockholders' Equity,"184,221,000","184,089,000","140,861,000","123,135,000"
Capital Stock,"7,621,000","7,621,000","6,495,000","6,495,000"
Preferred Stock,0,-,-,-
Common Stock,"7,621,000","7,621,000","6,495,000","6,495,000"
Additional Paid in Capital,"126,279,000","125,525,000","89,563,000","89,604,000"
Retained Earnings,"57,936,000","58,753,000","50,500,000","34,734,000"
Treasury Stock,"13,085,000","12,059,000","12,714,000","12,659,000"
Gains Losses Not Affecting Retained Earnings,"5,470,000","4,249,000","7,017,000","4,961,000"
Minority Interest,"17,713,000","9,795,000","1,146,000","975,000"
Total Capitalization,"333,658,000","350,339,000","266,833,000","236,816,000"
Common Stock Equity,"184,221,000","184,089,000","140,861,000","123,135,000"
Capital Lease Obligations,"23,838,000",-,-,-
Net Tangible Assets,"-119,637,000","-126,108,000","-78,864,000","-98,932,000"
Working Capital,"-14,150,000","-12,993,000","-2,243,000","-12,207,000"
Invested Capital,"345,334,000","360,594,000","305,207,000","246,648,000"
Tangible Book Value,"-119,637,000","-126,108,000","-78,864,000","-98,932,000"
Total Debt,"184,951,000","176,505,000","164,346,000","123,513,000"
Net Debt,"148,983,000","171,301,000","113,848,000","117,725,000"
Share Issued,"7,620,749","7,620,749","6,495,231","6,495,231"
Ordinary Shares Number,"7,254,555","7,281,629","6,139,425","6,138,994"
Preferred Shares Number,48,-,-,-
Treasury Shares Number,"366,193","339,120","355,807","356,237"
