,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"44,257,000","48,668,000","43,602,000","39,151,000","39,344,000"
Cash Flow from Continuing Operating Activities,"44,257,000","48,668,000","43,602,000","39,151,000","39,344,000"
Net Income from Continuing Operations,"13,179,000","14,975,000","19,953,000","29,847,000","13,333,000"
Operating Gains Losses,"3,516,000","3,704,000","-3,813,000","4,064,000","1,179,000"
Gain Loss On Investment Securities,"-1,018,000","-1,218,000","-739,000","-282,000","-169,000"
Earnings Losses from Equity Investments,"283,000","295,000","292,000","174,000","-37,000"
Pension And Employee Benefit Expense,"351,000","3,169,000","-3,412,000","1,258,000","1,024,000"
Depreciation Amortization Depletion,"28,417,000","28,217,000","28,430,000","24,387,000","25,847,000"
Depreciation & amortization,"28,417,000","28,217,000","28,430,000","24,387,000","25,847,000"
Deferred Tax,"1,379,000","1,806,000","610,000","-15,940,000","2,947,000"
Deferred Income Tax,"1,379,000","1,806,000","610,000","-15,940,000","2,947,000"
Provision & Write Off of Assets,"2,558,000","2,575,000","1,791,000","1,642,000","1,474,000"
Other non-cash items,"9,139,000","9,317,000","6,663,000","-2,217,000","-3,324,000"
Change in working capital,"-13,931,000","-11,926,000","-10,032,000","-2,632,000","-2,112,000"
Change in Receivables,"1,380,000","3,360,000","-1,734,000","-1,249,000","-1,579,000"
Changes in Account Receivables,"1,750,000","2,812,000","-1,244,000","-986,000","-1,003,000"
Change in Payables And Accrued Expense,"-2,315,000","-1,524,000","1,602,000","816,000","118,000"
Change in Other Current Assets,"-13,022,000","-12,852,000","-6,442,000","-777,000","1,708,000"
Change in Other Working Capital,"26,000","-910,000","-3,458,000","-1,422,000","-2,359,000"
Investing Cash Flow,"-19,669,000","-16,690,000","-63,145,000","-20,371,000","-24,215,000"
Cash Flow from Continuing Investing Activities,"-19,669,000","-16,690,000","-63,145,000","-20,371,000","-24,215,000"
Net PPE Purchase And Sale,"-18,265,000","-19,435,000","-20,758,000","-20,647,000","-21,516,000"
Purchase of PPE,"-18,265,000","-19,435,000","-20,758,000","-20,647,000","-21,516,000"
Net Business Purchase And Sale,"-1,342,000","2,510,000","-42,211,000","1,182,000","-2,313,000"
Purchase of Business,"-2,780,000","-2,174,000","-44,359,000",-,"-2,959,000"
Sale of Business,"1,438,000","4,684,000","2,148,000","1,182,000","646,000"
Net Investment Purchase And Sale,"86,000","435,000","-185,000","-4,000","506,000"
Purchase of Investment,-,-,"-185,000",-,-
Interest Received CFI,"-148,000","-200,000","-493,000","-903,000","-892,000"
Net Other Investing Changes,-,-,"502,000","1,000",-
Financing Cash Flow,"-16,211,000","-25,083,000","-25,989,000","25,930,000","-14,462,000"
Cash Flow from Continuing Financing Activities,"-16,211,000","-25,083,000","-25,989,000","25,930,000","-14,462,000"
Net Issuance Payments of Debt,"-926,000","-13,721,000","-8,789,000","36,454,000","-683,000"
Net Long Term Debt Issuance,"-683,000","-10,553,000","-10,768,000","36,454,000","-683,000"
Long Term Debt Issuance,"28,069,000","17,039,000","41,875,000","48,793,000","10,140,000"
Long Term Debt Payments,"-28,752,000","-27,592,000","-52,643,000","-12,339,000","-10,823,000"
Net Short Term Debt Issuance,"-243,000","-3,168,000","1,979,000",-,0
Short Term Debt Issuance,"9,385,000","4,012,000","4,898,000",-,-
Short Term Debt Payments,"-9,628,000","-7,180,000","-2,919,000",-,0
Net Common Stock Issuance,"-7,397,000","-1,786,000","136,000","-430,000","-366,000"
Common Stock Issuance,"260,000","631,000","745,000","33,000","146,000"
Common Stock Payments,"-7,657,000","-2,417,000","-609,000","-463,000","-512,000"
Net Preferred Stock Issuance,"5,033,000","1,164,000",-,-,-
Preferred Stock Issuance,"5,033,000","1,164,000",-,-,-
Cash Dividends Paid,"-14,926,000","-14,888,000","-13,410,000","-12,038,000","-11,797,000"
Common Stock Dividend Paid,"-14,926,000","-14,888,000","-13,410,000","-12,038,000","-11,797,000"
Net Other Financing Charges,"2,005,000","4,148,000","-3,926,000","1,944,000","-1,616,000"
End Cash Position,"17,031,000","12,295,000","5,400,000","50,498,000","5,788,000"
Changes in Cash,"8,377,000","6,895,000","-45,532,000","44,710,000","667,000"
Beginning Cash Position,"8,654,000","5,400,000","50,932,000","5,788,000","5,121,000"
Income Tax Paid Supplemental Data,-,-,-,"2,006,000","3,721,000"
Interest Paid Supplemental Data,-,-,"8,818,000","6,622,000","5,696,000"
Capital Expenditure,"-18,265,000","-19,435,000","-20,758,000","-20,647,000","-21,516,000"
Issuance of Capital Stock,"5,293,000","1,795,000","745,000","33,000","146,000"
Issuance of Debt,"37,454,000","21,051,000","46,773,000","48,793,000","10,140,000"
Repayment of Debt,"-38,380,000","-34,772,000","-55,562,000","-12,339,000","-10,823,000"
Repurchase of Capital Stock,"-7,657,000","-2,417,000","-609,000","-463,000","-512,000"
Free Cash Flow,"25,992,000","29,233,000","22,844,000","18,504,000","17,828,000"
