,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"175,138,000","181,193,000","170,756,000","160,546,000","163,786,000"
Operating Revenue,"175,138,000","181,193,000","170,756,000","160,546,000","163,786,000"
Cost of Revenue,"80,061,000","84,141,000","79,419,000","77,379,000","76,884,000"
Gross Profit,"95,077,000","97,052,000","91,337,000","83,167,000","86,902,000"
Operating Expense,"66,937,000","67,639,000","65,195,000","59,304,000","62,194,000"
Selling General and Administrative,"38,520,000","39,422,000","36,765,000","34,917,000","36,347,000"
Depreciation Amortization Depletion,"28,417,000","28,217,000","28,430,000","24,387,000","25,847,000"
Depreciation & amortization,"28,417,000","28,217,000","28,430,000","24,387,000","25,847,000"
Operating Income,"28,140,000","29,413,000","26,142,000","23,863,000","24,708,000"
Net Non Operating Interest Income Expense,"-8,191,000","-8,422,000","-7,957,000","-6,300,000","-4,910,000"
Interest Expense Non Operating,"8,191,000","8,422,000","7,957,000","6,300,000","4,910,000"
Other Income Expense,"-3,162,000","-2,523,000","6,688,000","-2,424,000","14,000"
Earnings from Equity Interest,"-43,000","6,000","-48,000","-128,000","98,000"
Special Income Charges,"-3,900,000","-1,458,000","-46,000","-2,914,000","-361,000"
Impairment of Capital Assets,-,"1,458,000","46,000","2,914,000","361,000"
Gain on Sale of PPE,-,"-1,458,000","-46,000","-2,914,000","-361,000"
Other Non Operating Income Expenses,"781,000","-1,071,000","6,782,000","618,000","277,000"
Pretax Income,"16,787,000","18,468,000","24,873,000","15,139,000","19,812,000"
Tax Provision,"3,608,000","3,493,000","4,920,000","-14,708,000","6,479,000"
Net Income Common Stockholders,"11,898,000","13,900,000","19,370,000","29,450,000","12,976,000"
Net Income,"11,985,000","13,903,000","19,370,000","29,450,000","12,976,000"
Net Income Including Non-Controlling Interests,"13,179,000","14,975,000","19,953,000","29,847,000","13,333,000"
Net Income Continuous Operations,"13,179,000","14,975,000","19,953,000","29,847,000","13,333,000"
Minority Interests,"-1,194,000","-1,072,000","-583,000","-397,000","-357,000"
Preferred Stock Dividends,-,"3,000",-,-,-
Average Dilution Earnings,"22,000","21,000","19,000","13,000","13,000"
Diluted NI Available to Com Stockholders,"11,920,000","13,921,000","19,389,000","29,463,000","12,989,000"
Basic EPS,-,0.0019,0.0029,0.0048,0.0021
Diluted EPS,-,0.0019,0.0029,0.0048,0.0021
Basic Average Shares,-,"7,319,000","6,778,000","6,164,000","6,168,000"
Diluted Average Shares,-,"7,348,000","6,806,000","6,183,000","6,189,000"
Total Operating Income as Reported,"24,240,000","27,955,000","26,096,000","20,949,000","24,347,000"
Total Expenses,"146,998,000","151,780,000","144,614,000","136,683,000","139,078,000"
Net Income from Continuing & Discontinued Operation,"11,985,000","13,903,000","19,370,000","29,450,000","12,976,000"
Normalized Income,"15,046,780","15,085,438","19,406,892","31,198,400","13,218,953"
Interest Expense,"8,191,000","8,422,000","7,957,000","6,300,000","4,910,000"
Net Interest Income,"-8,191,000","-8,422,000","-7,957,000","-6,300,000","-4,910,000"
EBIT,"24,978,000","26,890,000","32,830,000","21,439,000","24,722,000"
EBITDA,"53,395,000",-,-,-,-
Reconciled Cost of Revenue,"80,061,000","84,141,000","79,419,000","77,379,000","76,884,000"
Reconciled Depreciation,"28,417,000","28,217,000","28,430,000","24,387,000","25,847,000"
Net Income from Continuing Operation Net Minority Interest,"11,985,000","13,903,000","19,370,000","29,450,000","12,976,000"
Total Unusual Items Excluding Goodwill,"-3,900,000","-1,458,000","-46,000","-2,914,000","-361,000"
Total Unusual Items,"-3,900,000","-1,458,000","-46,000","-2,914,000","-361,000"
Normalized EBITDA,"57,295,000","56,565,000","61,306,000","48,740,000","50,930,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-838,220","-275,562","-9,108","-1,165,600","-118,047"
