,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"5,947,000","4,889,000","10,564,000","6,472,000","5,336,000"
Cash Flow from Continuing Operating Activities,"5,947,000","4,889,000","10,564,000","6,472,000","5,336,000"
Net Income from Continuing Operations,"6,386,000","6,914,000","7,096,000","6,218,000","5,888,000"
Operating Gains Losses,"-1,449,000","-1,231,000","-904,000","-1,274,000","-1,571,000"
Gain Loss On Investment Securities,"-489,000","-469,000","-510,000","-502,000","-617,000"
Realized Gain Loss On Sale of Loans And Lease,"-960,000","-762,000","-394,000","-772,000","-954,000"
Depreciation Amortization Depletion,"511,000","502,000","467,000","468,000","470,000"
Depreciation & amortization,"511,000","502,000","467,000","468,000","470,000"
Depreciation,"341,000","334,000","306,000","293,000","291,000"
Amortization,"170,000","168,000","161,000","175,000","179,000"
Amortization of Intangibles,"170,000","168,000","161,000","175,000","179,000"
Other non-cash items,"-1,621,000","-2,800,000","2,526,000","-330,000","-775,000"
Provision for Loan Lease And Other Losses,"2,120,000","1,504,000","1,379,000","1,390,000","1,324,000"
Investing Cash Flow,"-37,275,000","-21,560,000","-8,977,000","-12,126,000","-17,958,000"
Cash Flow from Continuing Investing Activities,"-37,275,000","-21,560,000","-8,977,000","-12,126,000","-17,958,000"
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,"3,633,000","-816,000",-,-,-
Net Investment Purchase And Sale,"-6,566,000","-8,672,000","-440,000","-3,140,000","-4,620,000"
Purchase of Investment,"-50,441,000","-40,515,000","-19,870,000","-27,572,000","-38,855,000"
Sale of Investment,"43,875,000","31,843,000","19,430,000","24,432,000","34,235,000"
Net Proceeds Payment for Loan,"-32,064,000","-10,777,000","-8,066,000","-8,636,000","-13,660,000"
Proceeds from Loans,"2,924,000","2,899,000","4,862,000","2,458,000","2,604,000"
Payment for Loans,"-34,988,000","-13,676,000","-12,928,000","-11,094,000","-16,264,000"
Net Business Purchase And Sale,-,-,-,-,0
Net Other Investing Changes,"-2,278,000","-1,295,000","-471,000","-350,000","322,000"
Financing Cash Flow,"60,018,000","17,623,000","361,000","9,454,000","17,180,000"
Cash Flow from Continuing Financing Activities,"60,018,000","17,623,000","361,000","9,454,000","17,180,000"
Net Issuance Payments of Debt,"21,500,000","8,364,000","6,638,000","1,605,000","-12,694,000"
Net Long Term Debt Issuance,"10,552,000","-1,220,000","9,150,000","-1,083,000","1,220,000"
Long Term Debt Issuance,"18,170,000","9,899,000","12,078,000","9,434,000","10,715,000"
Long Term Debt Payments,"-7,618,000","-11,119,000","-2,928,000","-10,517,000","-9,495,000"
Net Short Term Debt Issuance,"10,948,000","9,584,000","-2,512,000","2,688,000","-13,914,000"
Net Common Stock Issuance,"-5,455,000","-4,437,000","-2,736,000","-2,472,000","-2,201,000"
Common Stock Issuance,"82,000","88,000","86,000","159,000","355,000"
Common Stock Payments,"-5,537,000","-4,525,000","-2,822,000","-2,631,000","-2,556,000"
Net Preferred Stock Issuance,-,0,"565,000","-92,000",0
Preferred Stock Issuance,-,0,"565,000","993,000",0
Preferred Stock Payments,-,0,0,"-1,085,000",-
Cash Dividends Paid,"-2,794,000","-2,745,000","-2,366,000","-2,212,000","-2,077,000"
Common Stock Dividend Paid,"-2,493,000","-2,443,000","-2,092,000","-1,928,000","-1,810,000"
Preferred Stock Dividend Paid,"-301,000","-302,000","-274,000","-284,000","-267,000"
Net Other Financing Charges,-,-,-,-,"-40,000"
End Cash Position,"46,805,000","22,405,000","21,453,000","19,505,000","15,705,000"
Changes in Cash,"28,690,000","952,000","1,948,000","3,800,000","4,558,000"
Beginning Cash Position,"18,115,000","21,453,000","19,505,000","15,705,000","11,147,000"
Income Tax Paid Supplemental Data,-,"941,000","365,000","555,000","595,000"
Interest Paid Supplemental Data,-,"4,404,000","3,056,000","2,086,000","1,591,000"
Issuance of Capital Stock,"82,000","88,000","651,000","1,152,000","355,000"
Issuance of Debt,"18,170,000","9,899,000","12,078,000","9,434,000","10,715,000"
Repayment of Debt,"-7,618,000","-11,119,000","-2,928,000","-10,517,000","-9,495,000"
Repurchase of Capital Stock,"-5,537,000","-4,525,000","-2,822,000","-3,716,000","-2,556,000"
Free Cash Flow,"5,947,000","4,889,000","10,564,000","6,472,000","5,336,000"
