,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Operating Cash Flow,"21,705,000","29,716,000","36,014,000","30,066,000","22,082,000"
Cash Flow from Continuing Operating Activities,"21,705,000","29,716,000","36,014,000","30,066,000","22,082,000"
Net Income from Continuing Operations,"7,038,000","14,774,000","21,421,000","19,848,000","8,375,000"
Operating Gains Losses,-,"-2,537,000","-2,607,000","801,000","-2,590,000"
Earnings Losses from Equity Investments,-,"-936,000","-1,684,000",-,"-579,000"
Pension And Employee Benefit Expense,-,"109,000","1,070,000","1,135,000","-329,000"
Depreciation Amortization Depletion,"20,531,000","18,998,000","18,745,000","19,893,000","22,308,000"
Depreciation & amortization,-,-,"18,745,000","19,893,000","22,308,000"
Depreciation,-,-,"18,745,000","19,893,000","22,308,000"
Deferred Tax,-,"-944,000","-60,000","-8,577,000","-4,386,000"
Deferred Income Tax,-,"-944,000","-60,000","-8,577,000","-4,386,000"
Provision & Write Off of Assets,-,"-3,038,000","-68,000","-610,000","-19,000"
Other non-cash items,"3,148,000","1,540,000","-61,000","-771,000","-214,000"
Change in working capital,"-2,493,000","923,000","-1,356,000","-649,000","-1,392,000"
Change in Receivables,-,"-2,640,000","-545,000","-3,954,000","-2,090,000"
Change in Inventory,-,"72,000","-3,107,000","-1,682,000","-388,000"
Change in Payables And Accrued Expense,-,"3,725,000","2,321,000","5,104,000","915,000"
Change in Payable,-,"3,725,000","2,321,000","5,104,000","915,000"
Change in Other Current Assets,-,"-234,000","-25,000","-117,000","171,000"
Dividend Paid CFO,-,-,"-1,684,000",-,"-579,000"
Dividend Received CFO,-,-,-,"131,000",-
Investing Cash Flow,"-21,862,000","-23,084,000","-16,446,000","-15,730,000","-12,403,000"
Cash Flow from Continuing Investing Activities,"-21,862,000","-23,084,000","-16,446,000","-15,730,000","-12,403,000"
Net PPE Purchase And Sale,"-23,351,000","-24,361,000","-19,574,000","-15,402,000","-16,163,000"
Purchase of PPE,"-23,351,000","-24,361,000","-19,574,000","-15,402,000","-16,163,000"
Net Business Purchase And Sale,"3,681,000","3,692,000","4,123,000","3,103,000","4,275,000"
Sale of Business,"3,681,000","3,692,000","4,123,000","3,103,000","4,275,000"
Net Investment Purchase And Sale,"-3,699,000","-3,905,000","-1,981,000","-5,507,000","-1,417,000"
Purchase of Investment,"-3,699,000","-3,905,000","-1,981,000","-5,507,000","-1,417,000"
Net Other Investing Changes,"1,507,000","1,490,000","986,000","2,076,000","902,000"
Financing Cash Flow,"8,940,000","-6,618,000","-19,446,000","-15,130,000","-9,293,000"
Cash Flow from Continuing Financing Activities,"8,940,000","-6,618,000","-19,446,000","-15,130,000","-9,293,000"
Net Issuance Payments of Debt,"23,896,000","8,662,000","-4,925,000","-1,048,000","4,293,000"
Net Long Term Debt Issuance,"30,191,000","7,051,000","46,000","60,000","12,066,000"
Long Term Debt Issuance,"30,195,000","7,052,000","46,000","60,000","12,066,000"
Long Term Debt Payments,"-4,000","-1,000",-,0,0
Net Short Term Debt Issuance,"-6,295,000","1,611,000","-4,971,000","-1,108,000","-7,773,000"
Short Term Debt Issuance,"-4,439,000","5,654,000",0,"3,916,000",-
Short Term Debt Payments,"-1,856,000","-4,043,000","-4,971,000","-5,024,000","-7,773,000"
Net Common Stock Issuance,"-478,000","-594,000","-626,000","-747,000","-971,000"
Common Stock Issuance,-,-,0,0,"6,000"
Common Stock Payments,"-478,000","-594,000","-626,000","-747,000","-977,000"
Cash Dividends Paid,"-14,866,000","-14,652,000","-13,798,000","-13,001,000","-12,453,000"
Common Stock Dividend Paid,"-14,866,000","-14,652,000","-13,798,000","-13,001,000","-12,453,000"
Net Other Financing Charges,"388,000","-34,000","-97,000","-334,000","-162,000"
End Cash Position,"12,996,000","3,089,000","3,042,000","3,177,000","3,657,000"
Changes in Cash,"8,783,000","14,000","122,000","-794,000","386,000"
Effect of Exchange Rate Changes,"-420,000","33,000","-257,000","314,000","-434,000"
Beginning Cash Position,"4,213,000","3,042,000","3,177,000","3,657,000","3,705,000"
Capital Expenditure,"-23,351,000","-24,361,000","-19,574,000","-15,402,000","-16,163,000"
Issuance of Capital Stock,-,-,0,0,"6,000"
Issuance of Debt,"25,756,000","12,706,000","46,000","3,976,000","12,066,000"
Repayment of Debt,"-1,860,000","-4,044,000","-4,971,000","-5,024,000","-7,773,000"
Repurchase of Capital Stock,"-478,000","-594,000","-626,000","-747,000","-977,000"
Free Cash Flow,"-1,646,000","5,355,000","16,440,000","14,664,000","5,919,000"
