,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"213,857,000","255,583,000","279,332,000","237,162,000","218,608,000"
Operating Revenue,"213,857,000","255,583,000","279,332,000","237,162,000","218,608,000"
Cost of Revenue,"170,267,000","199,625,000","211,599,000","182,238,000","179,496,000"
Gross Profit,"43,590,000","55,958,000","67,733,000","54,924,000","39,112,000"
Operating Expense,"39,378,000","43,192,000","45,609,000","42,850,000","38,176,000"
Selling General and Administrative,"10,789,000","11,398,000","11,480,000","10,956,000","10,799,000"
Other Taxes,"27,431,000","30,525,000","32,663,000","30,104,000","25,910,000"
Other Operating Expenses,"1,158,000","1,269,000","1,466,000","1,790,000","1,467,000"
Operating Income,"4,212,000","12,766,000","22,124,000","12,074,000","936,000"
Net Non Operating Interest Income Expense,"-999,000","-830,000","-766,000","-601,000","-453,000"
Interest Expense Non Operating,"999,000","830,000","766,000","601,000","453,000"
Other Income Expense,"6,024,000","8,120,000","9,595,000","7,201,000","7,486,000"
Earnings from Equity Interest,"3,251,000","5,441,000","7,355,000","5,380,000","4,806,000"
Other Non Operating Income Expenses,"2,773,000","2,679,000","2,240,000","1,821,000","2,680,000"
Pretax Income,"9,237,000","20,056,000","30,953,000","18,674,000","7,969,000"
Tax Provision,"2,199,000","5,282,000","9,532,000","-1,174,000","-406,000"
Net Income Common Stockholders,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
Net Income,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
Net Income Including Non-Controlling Interests,"7,038,000","14,774,000","21,421,000","19,848,000","8,375,000"
Net Income Continuous Operations,"7,038,000","14,774,000","21,421,000","19,848,000","8,375,000"
Minority Interests,"132,000","-434,000","-581,000","-138,000","-535,000"
Diluted NI Available to Com Stockholders,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
Basic EPS,-,0.0034,0.0049,0.0046,0.0019
Diluted EPS,-,0.0034,0.0049,0.0046,0.0019
Basic Average Shares,-,"4,234,000","4,237,000","4,256,000","4,170,213"
Diluted Average Shares,-,"4,270,000","4,237,000","4,256,000","4,170,213"
Total Expenses,"209,645,000","242,817,000","257,208,000","225,088,000","217,672,000"
Interest Expense,"999,000","830,000","766,000","601,000","453,000"
Net Interest Income,"-999,000","-830,000","-766,000","-601,000","-453,000"
Net Income from Continuing & Discontinued Operation,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
Normalized Income,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
EBIT,"10,236,000","20,886,000","31,719,000","19,275,000","8,422,000"
EBITDA,"30,767,000",-,-,-,-
Reconciled Cost of Revenue,"170,267,000","199,625,000","211,599,000","182,238,000","179,496,000"
Reconciled Depreciation,"20,531,000","18,998,000","18,745,000","19,893,000","22,308,000"
Net Income from Continuing Operation Net Minority Interest,"7,170,000","14,340,000","20,840,000","19,710,000","7,840,000"
Normalized EBITDA,"30,767,000","39,884,000","50,464,000","39,168,000","30,730,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
